,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,LMP Simmons,A Dananjaya,E Lewis,1,0,1,1,1,1,1,1,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
1,E Lewis,A Dananjaya,LMP Simmons,4,0,4,5,4,1,2,1,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
2,E Lewis,A Dananjaya,LMP Simmons,0,0,0,5,4,2,3,1,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
3,E Lewis,A Dananjaya,LMP Simmons,0,0,0,5,4,3,4,1,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
4,E Lewis,A Dananjaya,LMP Simmons,6,0,6,11,10,4,5,1,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
5,E Lewis,A Dananjaya,LMP Simmons,0,0,0,11,10,5,6,1,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
6,LMP Simmons,PVD Chameera,E Lewis,0,4,4,15,1,2,1,2,{'legbyes': 4},legbyes,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
7,LMP Simmons,PVD Chameera,E Lewis,0,0,0,15,1,3,2,2,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
8,LMP Simmons,PVD Chameera,E Lewis,1,0,1,16,2,4,3,2,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
9,E Lewis,PVD Chameera,LMP Simmons,1,0,1,17,11,6,4,2,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
10,LMP Simmons,PVD Chameera,E Lewis,2,0,2,19,4,5,5,2,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
11,LMP Simmons,PVD Chameera,E Lewis,1,0,1,20,5,6,6,2,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
12,LMP Simmons,A Dananjaya,E Lewis,1,0,1,21,6,7,1,3,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
13,E Lewis,A Dananjaya,LMP Simmons,0,0,0,21,11,7,2,3,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
14,E Lewis,A Dananjaya,LMP Simmons,0,0,0,21,11,8,3,3,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
15,E Lewis,A Dananjaya,LMP Simmons,0,0,0,21,11,9,4,3,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
16,E Lewis,A Dananjaya,LMP Simmons,4,0,4,25,15,10,5,3,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
17,E Lewis,A Dananjaya,LMP Simmons,1,0,1,26,16,11,6,3,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
18,E Lewis,PVD Chameera,LMP Simmons,0,0,0,26,16,12,1,4,,-,,0,,,bat,Sri Lanka,2,"Coolidge Cricket Ground, Antigua",2021-03-07,West Indies,Sri Lanka
