,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,TS Kamunhukamwe,Mohammad Hasnain,W Madhevere,0,0,0,0,0,1,1,1,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
1,TS Kamunhukamwe,Mohammad Hasnain,W Madhevere,0,0,0,0,0,2,2,1,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
2,TS Kamunhukamwe,Mohammad Hasnain,W Madhevere,1,0,1,1,1,3,3,1,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
3,W Madhevere,Mohammad Hasnain,TS Kamunhukamwe,4,0,4,5,4,1,4,1,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
4,W Madhevere,Mohammad Hasnain,TS Kamunhukamwe,0,0,0,5,4,2,5,1,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
5,W Madhevere,Mohammad Hasnain,TS Kamunhukamwe,0,0,0,5,4,3,6,1,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
6,TS Kamunhukamwe,Faheem Ashraf,W Madhevere,0,0,0,5,1,4,1,2,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
7,TS Kamunhukamwe,Faheem Ashraf,W Madhevere,4,0,4,9,5,5,2,2,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
8,TS Kamunhukamwe,Faheem Ashraf,W Madhevere,0,0,0,9,5,6,3,2,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
9,TS Kamunhukamwe,Faheem Ashraf,W Madhevere,1,0,1,10,6,7,4,2,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
10,W Madhevere,Faheem Ashraf,TS Kamunhukamwe,4,0,4,14,8,4,5,2,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
11,W Madhevere,Faheem Ashraf,TS Kamunhukamwe,4,0,4,18,12,5,6,2,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
12,TS Kamunhukamwe,Mohammad Hasnain,W Madhevere,1,0,1,19,7,8,1,3,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
13,W Madhevere,Mohammad Hasnain,TS Kamunhukamwe,0,0,0,19,12,6,2,3,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
14,W Madhevere,Mohammad Hasnain,TS Kamunhukamwe,0,0,0,19,12,7,3,3,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
15,W Madhevere,Mohammad Hasnain,TS Kamunhukamwe,2,0,2,21,14,8,4,3,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
16,W Madhevere,Mohammad Hasnain,TS Kamunhukamwe,0,0,0,21,14,9,5,3,caught,W Madhevere,Babar Azam,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
17,T Marumani,Mohammad Hasnain,TS Kamunhukamwe,0,0,0,21,0,1,6,3,caught,T Marumani,Babar Azam,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
18,TS Kamunhukamwe,Mohammad Nawaz (3),CR Ervine,0,0,0,21,7,9,1,4,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
19,TS Kamunhukamwe,Mohammad Nawaz (3),CR Ervine,0,0,0,21,7,10,2,4,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
20,TS Kamunhukamwe,Mohammad Nawaz (3),CR Ervine,1,0,1,22,8,11,3,4,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
21,CR Ervine,Mohammad Nawaz (3),TS Kamunhukamwe,0,0,0,22,0,1,4,4,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
22,CR Ervine,Mohammad Nawaz (3),TS Kamunhukamwe,4,0,4,26,4,2,5,4,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
23,CR Ervine,Mohammad Nawaz (3),TS Kamunhukamwe,0,0,0,26,4,3,6,4,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
24,TS Kamunhukamwe,Faheem Ashraf,CR Ervine,0,0,0,26,8,12,1,5,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
25,TS Kamunhukamwe,Faheem Ashraf,CR Ervine,0,0,0,26,8,13,2,5,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
26,TS Kamunhukamwe,Faheem Ashraf,CR Ervine,1,0,1,27,9,14,3,5,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
27,CR Ervine,Faheem Ashraf,TS Kamunhukamwe,0,1,1,28,4,4,4,5,0,,,legbyes,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
28,TS Kamunhukamwe,Faheem Ashraf,CR Ervine,1,0,1,29,10,15,5,5,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
29,CR Ervine,Faheem Ashraf,TS Kamunhukamwe,1,0,1,30,5,5,6,5,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
30,CR Ervine,Haris Rauf,TS Kamunhukamwe,0,0,0,30,5,6,1,6,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
31,CR Ervine,Haris Rauf,TS Kamunhukamwe,1,0,1,31,6,7,2,6,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
32,TS Kamunhukamwe,Haris Rauf,CR Ervine,4,0,4,35,14,16,3,6,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
33,TS Kamunhukamwe,Haris Rauf,CR Ervine,0,0,0,35,14,17,4,6,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
34,TS Kamunhukamwe,Haris Rauf,CR Ervine,0,0,0,35,14,18,5,6,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
35,TS Kamunhukamwe,Haris Rauf,CR Ervine,0,0,0,35,14,19,6,6,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
36,CR Ervine,Usman Qadir,TS Kamunhukamwe,6,0,6,41,12,8,1,7,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
37,CR Ervine,Usman Qadir,TS Kamunhukamwe,1,0,1,42,13,9,2,7,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
38,TS Kamunhukamwe,Usman Qadir,CR Ervine,0,0,0,42,14,20,3,7,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
39,TS Kamunhukamwe,Usman Qadir,CR Ervine,1,0,1,43,15,21,4,7,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
40,CR Ervine,Usman Qadir,TS Kamunhukamwe,0,0,0,43,13,10,5,7,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
41,CR Ervine,Usman Qadir,TS Kamunhukamwe,4,0,4,47,17,11,6,7,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
42,TS Kamunhukamwe,Mohammad Nawaz (3),CR Ervine,0,0,0,47,15,22,1,8,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
43,TS Kamunhukamwe,Mohammad Nawaz (3),CR Ervine,1,0,1,48,16,23,2,8,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
44,CR Ervine,Mohammad Nawaz (3),TS Kamunhukamwe,4,0,4,52,21,12,3,8,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
45,CR Ervine,Mohammad Nawaz (3),TS Kamunhukamwe,1,0,1,53,22,13,4,8,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
46,TS Kamunhukamwe,Mohammad Nawaz (3),CR Ervine,4,0,4,57,20,24,5,8,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
47,TS Kamunhukamwe,Mohammad Nawaz (3),CR Ervine,0,0,0,57,20,25,6,8,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
48,CR Ervine,Mohammad Hafeez,TS Kamunhukamwe,2,0,2,59,24,14,1,9,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
49,CR Ervine,Mohammad Hafeez,TS Kamunhukamwe,1,0,1,60,25,15,2,9,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
50,TS Kamunhukamwe,Mohammad Hafeez,CR Ervine,1,0,1,61,21,26,3,9,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
51,CR Ervine,Mohammad Hafeez,TS Kamunhukamwe,1,0,1,62,26,16,4,9,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
52,TS Kamunhukamwe,Mohammad Hafeez,CR Ervine,2,0,2,64,23,27,5,9,0,,,-,field,Zimbabwe,2,Harare Sports Club,2021-04-21,Zimbabwe,Pakistan
