,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Mohammad Rizwan,B Muzarabani,Babar Azam,0,0,0,0,118,0,1,0,1,1,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
1,Mohammad Rizwan,B Muzarabani,Babar Azam,0,0,0,0,118,0,2,0,2,1,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
2,Mohammad Rizwan,B Muzarabani,Babar Azam,2,0,2,2,116,2,3,0,3,1,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
3,Mohammad Rizwan,B Muzarabani,Babar Azam,0,0,0,2,116,2,4,0,4,1,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
4,Mohammad Rizwan,B Muzarabani,Babar Azam,1,0,1,3,115,3,5,0,5,1,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
5,Babar Azam,B Muzarabani,Mohammad Rizwan,0,0,0,3,115,0,1,0,6,1,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
6,Mohammad Rizwan,R Ngarava,Babar Azam,4,0,4,7,111,7,6,0,1,2,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
7,Mohammad Rizwan,R Ngarava,Babar Azam,0,0,0,7,111,7,7,0,2,2,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
8,Mohammad Rizwan,R Ngarava,Babar Azam,1,0,1,8,110,8,8,0,3,2,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
9,Babar Azam,R Ngarava,Mohammad Rizwan,1,0,1,9,109,1,2,0,4,2,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
10,Mohammad Rizwan,R Ngarava,Babar Azam,0,0,0,9,109,8,9,0,5,2,0,,,-,field,Pakistan,2,Harare Sports Club,2021,04,Zimbabwe_Pakistan_2021-04-23,Zimbabwe,Pakistan,Zimbabwe
