,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,W Madhevere,Mohammad Hasnain,TK Musakanda,2,0,2,2,2,1,1,1,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
1,W Madhevere,Mohammad Hasnain,TK Musakanda,0,0,0,2,2,2,2,1,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
2,W Madhevere,Mohammad Hasnain,TK Musakanda,0,0,0,2,2,3,3,1,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
3,W Madhevere,Mohammad Hasnain,TK Musakanda,4,0,4,6,6,4,4,1,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
4,W Madhevere,Mohammad Hasnain,TK Musakanda,4,0,4,10,10,5,5,1,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
5,W Madhevere,Mohammad Hasnain,TK Musakanda,1,0,1,11,11,6,6,1,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
6,W Madhevere,Hasan Ali,TK Musakanda,0,0,0,11,11,7,1,2,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
7,W Madhevere,Hasan Ali,TK Musakanda,1,0,1,12,12,8,2,2,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
8,TK Musakanda,Hasan Ali,W Madhevere,1,0,1,13,1,1,3,2,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
9,W Madhevere,Hasan Ali,TK Musakanda,1,0,1,14,13,9,4,2,-,0,,,bat,Pakistan,2,Harare Sports Club,2021-04-25,Pakistan,Zimbabwe,Pakistan
