,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Q de Kock,OC McCoy,RR Hendricks,,0,0,0,0,0,1,1,-,1,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
1,Q de Kock,OC McCoy,RR Hendricks,,0,0,0,0,0,2,2,-,1,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
2,Q de Kock,OC McCoy,RR Hendricks,,2,0,2,2,2,3,3,-,1,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
3,Q de Kock,OC McCoy,RR Hendricks,,0,0,0,2,2,4,4,-,1,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
4,Q de Kock,OC McCoy,RR Hendricks,,0,0,0,2,2,5,5,-,1,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
5,Q de Kock,OC McCoy,RR Hendricks,"{'byes': 4, 'noballs': 1}",0,5,5,7,2,6,6,byesnoballs,1,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
6,Q de Kock,OC McCoy,RR Hendricks,,0,0,0,7,2,7,7,-,1,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
7,RR Hendricks,JO Holder,Q de Kock,,1,0,1,8,1,1,1,-,2,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
8,Q de Kock,JO Holder,RR Hendricks,,1,0,1,9,3,8,2,-,2,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
9,RR Hendricks,JO Holder,Q de Kock,,0,0,0,9,1,2,3,-,2,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
10,RR Hendricks,JO Holder,Q de Kock,,1,0,1,10,2,3,4,-,2,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
11,Q de Kock,JO Holder,RR Hendricks,,1,0,1,11,4,9,5,-,2,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
12,RR Hendricks,JO Holder,Q de Kock,,4,0,4,15,6,4,6,-,2,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
13,Q de Kock,AD Russell,RR Hendricks,,6,0,6,21,10,10,1,-,3,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
14,Q de Kock,AD Russell,RR Hendricks,,4,0,4,25,14,11,2,-,3,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
15,Q de Kock,AD Russell,RR Hendricks,,1,0,1,26,15,12,3,-,3,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
16,RR Hendricks,AD Russell,Q de Kock,,1,0,1,27,7,5,4,-,3,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
17,Q de Kock,AD Russell,RR Hendricks,,4,0,4,31,19,13,5,-,3,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
18,Q de Kock,AD Russell,RR Hendricks,,0,0,0,31,19,14,6,-,3,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
19,RR Hendricks,K Sinclair,Q de Kock,,1,0,1,32,8,6,1,-,4,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
20,Q de Kock,K Sinclair,RR Hendricks,,1,0,1,33,20,15,2,-,4,0,,,,field,West Indies,1,"National Cricket Stadium, St George's, Grenada",2021-06-29,South Africa,West Indies
