,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,JR Philippe,SS Cottrell,AJ Finch,0,0,0,0,199,0,1,0,1,-,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
1,JR Philippe,SS Cottrell,AJ Finch,0,1,1,1,198,0,2,0,2,legbyes,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
2,AJ Finch,SS Cottrell,JR Philippe,0,0,0,1,198,0,1,0,3,-,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
3,AJ Finch,SS Cottrell,JR Philippe,0,1,1,2,197,0,2,0,4,wides,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
4,AJ Finch,SS Cottrell,JR Philippe,1,0,1,3,196,1,3,0,5,-,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
5,JR Philippe,SS Cottrell,AJ Finch,0,0,0,3,196,0,3,0,6,-,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
6,JR Philippe,SS Cottrell,AJ Finch,0,1,1,4,195,0,4,0,7,wides,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
7,JR Philippe,SS Cottrell,AJ Finch,0,5,5,9,190,0,5,0,8,wides,0,,,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
8,JR Philippe,SS Cottrell,AJ Finch,0,0,0,9,190,0,6,1,9,-,caught,JR Philippe,LMP Simmons,1,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
9,MR Marsh,O Thomas,AJ Finch,0,0,0,9,190,0,1,1,1,-,0,,,2,bat,West Indies,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,Australia,West Indies
