,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,ADS Fletcher,JP Behrendorff,E Lewis,1,0,1,1,188,1,1,0,1,1,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
1,E Lewis,JP Behrendorff,ADS Fletcher,1,0,1,2,187,1,1,0,2,1,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
2,ADS Fletcher,JP Behrendorff,E Lewis,0,0,0,2,187,1,2,0,3,1,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
3,ADS Fletcher,JP Behrendorff,E Lewis,0,0,0,2,187,1,3,0,4,1,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
4,ADS Fletcher,JP Behrendorff,E Lewis,1,0,1,3,186,2,4,0,5,1,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
5,E Lewis,JP Behrendorff,ADS Fletcher,6,0,6,9,180,7,2,0,6,1,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
6,ADS Fletcher,JR Hazlewood,E Lewis,0,0,0,9,180,2,5,0,1,2,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
7,ADS Fletcher,JR Hazlewood,E Lewis,0,0,0,9,180,2,6,0,2,2,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
8,ADS Fletcher,JR Hazlewood,E Lewis,0,0,0,9,180,2,7,0,3,2,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
9,ADS Fletcher,JR Hazlewood,E Lewis,1,0,1,10,179,3,8,0,4,2,-,0,,,bat,West Indies,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-16,West Indies,West Indies,Australia,199
