,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,BR McDermott,PVD Chameera,AJ Finch,0,0,0,0,149,0,1,0,1,1,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
1,BR McDermott,PVD Chameera,AJ Finch,2,0,2,2,147,2,2,0,2,1,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
2,BR McDermott,PVD Chameera,AJ Finch,0,0,0,2,147,2,3,0,3,1,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
3,BR McDermott,PVD Chameera,AJ Finch,4,0,4,6,143,6,4,0,4,1,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
4,BR McDermott,PVD Chameera,AJ Finch,4,0,4,10,139,10,5,0,5,1,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
5,BR McDermott,PVD Chameera,AJ Finch,0,0,0,10,139,10,6,0,6,1,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
6,AJ Finch,N Thushara,BR McDermott,0,0,0,10,139,0,1,0,1,2,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
7,AJ Finch,N Thushara,BR McDermott,3,0,3,13,136,3,2,0,2,2,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
8,BR McDermott,N Thushara,AJ Finch,0,0,0,13,136,10,7,0,3,2,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
9,BR McDermott,N Thushara,AJ Finch,0,0,0,13,136,10,8,0,4,2,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
10,BR McDermott,N Thushara,AJ Finch,0,0,0,13,136,10,9,0,5,2,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
11,BR McDermott,N Thushara,AJ Finch,2,0,2,15,134,12,10,0,6,2,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
12,AJ Finch,M Theekshana,BR McDermott,1,0,1,16,133,4,3,0,1,3,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
13,BR McDermott,M Theekshana,AJ Finch,0,0,0,16,133,12,11,0,2,3,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
14,BR McDermott,M Theekshana,AJ Finch,4,0,4,20,129,16,12,0,3,3,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
15,BR McDermott,M Theekshana,AJ Finch,1,0,1,21,128,17,13,0,4,3,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
16,AJ Finch,M Theekshana,BR McDermott,4,0,4,25,124,8,4,0,5,3,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
17,AJ Finch,M Theekshana,BR McDermott,0,1,1,26,123,8,5,0,6,3,"{'by': 'Sri Lanka', 'umpire': 'DM Koch', 'batter': 'AJ Finch', 'decision': 'struck down', 'umpires_call': True}",legbyes,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
18,AJ Finch,N Thushara,BR McDermott,0,0,0,26,123,8,6,0,1,4,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
19,AJ Finch,N Thushara,BR McDermott,1,0,1,27,122,9,7,0,2,4,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
20,BR McDermott,N Thushara,AJ Finch,1,0,1,28,121,18,14,0,3,4,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
21,AJ Finch,N Thushara,BR McDermott,4,0,4,32,117,13,8,0,4,4,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
22,AJ Finch,N Thushara,BR McDermott,1,0,1,33,116,14,9,0,5,4,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
23,BR McDermott,N Thushara,AJ Finch,0,0,0,33,116,18,15,1,6,4,,-,caught,BR McDermott,PWH de Silva,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
24,AJ Finch,M Theekshana,JP Inglis,4,0,4,37,112,18,10,1,1,5,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
25,AJ Finch,M Theekshana,JP Inglis,1,0,1,38,111,19,11,1,2,5,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
26,JP Inglis,M Theekshana,AJ Finch,0,0,0,38,111,0,1,1,3,5,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
27,JP Inglis,M Theekshana,AJ Finch,1,0,1,39,110,1,2,1,4,5,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
28,AJ Finch,M Theekshana,JP Inglis,0,0,0,39,110,19,12,1,5,5,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
29,AJ Finch,M Theekshana,JP Inglis,1,0,1,40,109,20,13,1,6,5,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
30,AJ Finch,PWH de Silva,JP Inglis,1,0,1,41,108,21,14,1,1,6,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
31,JP Inglis,PWH de Silva,AJ Finch,4,0,4,45,104,5,3,1,2,6,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
32,JP Inglis,PWH de Silva,AJ Finch,4,0,4,49,100,9,4,1,3,6,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
33,JP Inglis,PWH de Silva,AJ Finch,2,0,2,51,98,11,5,1,4,6,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
34,JP Inglis,PWH de Silva,AJ Finch,1,0,1,52,97,12,6,1,5,6,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
35,AJ Finch,PWH de Silva,JP Inglis,0,0,0,52,97,21,15,1,6,6,"{'by': 'Sri Lanka', 'umpire': 'RJ Tucker', 'batter': 'AJ Finch', 'decision': 'struck down', 'umpires_call': True}",-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
36,JP Inglis,C Karunaratne,AJ Finch,2,0,2,54,95,14,7,1,1,7,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022,02,Australia_Sri Lanka_2022-02-13,tie,Australia,Sri Lanka,164
