,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,P Nissanka,JR Hazlewood,MD Gunathilaka,0,0,0,0,0,1,1,0,,,1,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
1,P Nissanka,JR Hazlewood,MD Gunathilaka,0,0,0,0,0,2,2,0,,,1,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
2,P Nissanka,JR Hazlewood,MD Gunathilaka,2,0,2,2,2,3,3,0,,,1,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
3,P Nissanka,JR Hazlewood,MD Gunathilaka,1,0,1,3,3,4,4,0,,,1,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
4,MD Gunathilaka,JR Hazlewood,P Nissanka,0,0,0,3,0,1,5,caught,MD Gunathilaka,BR McDermott,1,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
5,WIA Fernando,JR Hazlewood,P Nissanka,0,0,0,3,0,1,6,0,,,1,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
6,P Nissanka,PJ Cummins,WIA Fernando,0,0,0,3,3,5,1,0,,,2,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
7,P Nissanka,PJ Cummins,WIA Fernando,0,4,4,7,3,6,2,0,,,2,{'legbyes': 4},legbyes,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
8,P Nissanka,PJ Cummins,WIA Fernando,0,0,0,7,3,7,3,0,,,2,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
9,P Nissanka,PJ Cummins,WIA Fernando,4,0,4,11,7,8,4,0,,,2,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
10,P Nissanka,PJ Cummins,WIA Fernando,1,0,1,12,8,9,5,0,,,2,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
11,WIA Fernando,PJ Cummins,P Nissanka,0,0,0,12,0,2,6,0,,,2,,-,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
12,P Nissanka,JR Hazlewood,WIA Fernando,0,1,1,13,8,10,1,0,,,3,{'legbyes': 1},legbyes,field,Sri Lanka,2,Sydney Cricket Ground,2022-02-13,Sri Lanka,Australia
