,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,P Nissanka,DR Sams,MD Gunathilaka,1,0,1,1,1,1,1,1,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
1,MD Gunathilaka,DR Sams,P Nissanka,0,0,0,1,0,1,2,1,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
2,MD Gunathilaka,DR Sams,P Nissanka,1,0,1,2,1,2,3,1,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
3,P Nissanka,DR Sams,MD Gunathilaka,1,0,1,3,2,2,4,1,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
4,MD Gunathilaka,DR Sams,P Nissanka,1,0,1,4,2,3,5,1,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
5,P Nissanka,DR Sams,MD Gunathilaka,4,0,4,8,6,3,6,1,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
6,MD Gunathilaka,JA Richardson,P Nissanka,2,0,2,10,4,4,1,2,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
7,MD Gunathilaka,JA Richardson,P Nissanka,0,0,0,10,4,5,2,2,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
8,MD Gunathilaka,JA Richardson,P Nissanka,0,0,0,10,4,6,3,2,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
9,MD Gunathilaka,JA Richardson,P Nissanka,1,0,1,11,5,7,4,2,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
10,P Nissanka,JA Richardson,MD Gunathilaka,0,0,0,11,6,4,5,2,0,,,,-,field,Australia,1,Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia
