,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Naim,MA Starc,Soumya Sarkar,0,0,0,0,0,1,1,1,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
1,Mohammad Naim,MA Starc,Soumya Sarkar,0,0,0,0,0,2,2,1,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
2,Mohammad Naim,MA Starc,Soumya Sarkar,0,0,0,0,0,3,3,1,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
3,Mohammad Naim,MA Starc,Soumya Sarkar,0,0,0,0,0,4,4,1,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
4,Mohammad Naim,MA Starc,Soumya Sarkar,2,0,2,2,2,5,5,1,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
5,Mohammad Naim,MA Starc,Soumya Sarkar,1,0,1,3,3,6,6,1,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
6,Mohammad Naim,JR Hazlewood,Soumya Sarkar,0,0,0,3,3,7,1,2,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
7,Mohammad Naim,JR Hazlewood,Soumya Sarkar,2,0,2,5,5,8,2,2,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
8,Mohammad Naim,JR Hazlewood,Soumya Sarkar,0,0,0,5,5,9,3,2,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
9,Mohammad Naim,JR Hazlewood,Soumya Sarkar,2,0,2,7,7,10,4,2,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
10,Mohammad Naim,JR Hazlewood,Soumya Sarkar,0,0,0,7,7,11,5,2,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
11,Mohammad Naim,JR Hazlewood,Soumya Sarkar,2,0,2,9,9,12,6,2,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
12,Soumya Sarkar,MA Starc,Mohammad Naim,0,0,0,9,0,1,1,3,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
13,Soumya Sarkar,MA Starc,Mohammad Naim,0,0,0,9,0,2,2,3,bowled,Soumya Sarkar,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
14,Shakib Al Hasan,MA Starc,Mohammad Naim,4,0,4,13,4,1,3,3,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
15,Shakib Al Hasan,MA Starc,Mohammad Naim,4,0,4,17,8,2,4,3,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
16,Shakib Al Hasan,MA Starc,Mohammad Naim,4,0,4,21,12,3,5,3,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
17,Shakib Al Hasan,MA Starc,Mohammad Naim,0,0,0,21,12,4,6,3,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
18,Mohammad Naim,JR Hazlewood,Shakib Al Hasan,0,0,0,21,9,13,1,4,bowled,Mohammad Naim,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
19,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,0,0,0,21,0,1,2,4,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
20,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,0,0,0,21,0,2,3,4,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
21,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,0,1,1,22,0,3,4,4,0,,,{'wides': 1},wides,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
22,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,0,0,0,22,0,4,5,4,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
23,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,0,0,0,22,0,5,6,4,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
24,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,0,0,0,22,0,6,7,4,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
25,Shakib Al Hasan,AC Agar,Mahedi Hasan,0,0,0,22,12,5,1,5,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
26,Shakib Al Hasan,AC Agar,Mahedi Hasan,1,0,1,23,13,6,2,5,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
27,Mahedi Hasan,AC Agar,Shakib Al Hasan,2,0,2,25,2,7,3,5,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
28,Mahedi Hasan,AC Agar,Shakib Al Hasan,1,0,1,26,3,8,4,5,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
29,Shakib Al Hasan,AC Agar,Mahedi Hasan,1,0,1,27,14,7,5,5,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
30,Mahedi Hasan,AC Agar,Shakib Al Hasan,2,0,2,29,5,9,6,5,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
31,Shakib Al Hasan,JR Hazlewood,Mahedi Hasan,1,0,1,30,15,8,1,6,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
32,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,1,0,1,31,6,10,2,6,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
33,Shakib Al Hasan,JR Hazlewood,Mahedi Hasan,1,0,1,32,16,9,3,6,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
34,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,2,0,2,34,8,11,4,6,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
35,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,2,0,2,36,10,12,5,6,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
36,Mahedi Hasan,JR Hazlewood,Shakib Al Hasan,2,0,2,38,12,13,6,6,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
37,Shakib Al Hasan,AC Agar,Mahedi Hasan,0,0,0,38,16,10,1,7,0,,,,-,"{'by': 'Bangladesh', 'umpire': 'Masudur Rahman', 'batter': 'Shakib Al Hasan', 'decision': 'upheld'}",bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
38,Shakib Al Hasan,AC Agar,Mahedi Hasan,1,0,1,39,17,11,2,7,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
39,Mahedi Hasan,AC Agar,Shakib Al Hasan,2,0,2,41,14,14,3,7,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
40,Mahedi Hasan,AC Agar,Shakib Al Hasan,0,0,0,41,14,15,4,7,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
41,Mahedi Hasan,AC Agar,Shakib Al Hasan,0,0,0,41,14,16,5,7,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
42,Mahedi Hasan,AC Agar,Shakib Al Hasan,0,0,0,41,14,17,6,7,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
43,Shakib Al Hasan,A Zampa,Mahedi Hasan,1,0,1,42,18,12,1,8,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
44,Mahedi Hasan,A Zampa,Shakib Al Hasan,1,0,1,43,15,18,2,8,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
45,Shakib Al Hasan,A Zampa,Mahedi Hasan,1,0,1,44,19,13,3,8,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
46,Mahedi Hasan,A Zampa,Shakib Al Hasan,6,0,6,50,21,19,4,8,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
47,Mahedi Hasan,A Zampa,Shakib Al Hasan,1,0,1,51,22,20,5,8,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
48,Shakib Al Hasan,A Zampa,Mahedi Hasan,1,0,1,52,20,14,6,8,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
49,Shakib Al Hasan,AJ Tye,Mahedi Hasan,2,0,2,54,22,15,1,9,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
50,Shakib Al Hasan,AJ Tye,Mahedi Hasan,4,0,4,58,26,16,2,9,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
51,Shakib Al Hasan,AJ Tye,Mahedi Hasan,0,0,0,58,26,17,3,9,bowled,Shakib Al Hasan,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
52,Mahmudullah,AJ Tye,Mahedi Hasan,0,0,0,58,0,1,4,9,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
53,Mahmudullah,AJ Tye,Mahedi Hasan,0,0,0,58,0,2,5,9,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
54,Mahmudullah,AJ Tye,Mahedi Hasan,0,0,0,58,0,3,6,9,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
55,Mahedi Hasan,AC Agar,Mahmudullah,0,0,0,58,22,21,1,10,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
56,Mahedi Hasan,AC Agar,Mahmudullah,1,0,1,59,23,22,2,10,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
57,Mahmudullah,AC Agar,Mahedi Hasan,0,0,0,59,0,4,3,10,bowled,Mahmudullah,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
58,Afif Hossain,AC Agar,Mahedi Hasan,0,0,0,59,0,1,4,10,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
59,Afif Hossain,AC Agar,Mahedi Hasan,1,0,1,60,1,2,5,10,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
60,Mahedi Hasan,AC Agar,Afif Hossain,0,0,0,60,23,23,6,10,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
61,Afif Hossain,MR Marsh,Mahedi Hasan,0,0,0,60,1,3,1,11,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
62,Afif Hossain,MR Marsh,Mahedi Hasan,0,0,0,60,1,4,2,11,0,,,,-,"{'by': 'Bangladesh', 'umpire': 'Masudur Rahman', 'batter': 'Afif Hossain', 'decision': 'upheld'}",bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
63,Afif Hossain,MR Marsh,Mahedi Hasan,0,0,0,60,1,5,3,11,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
64,Afif Hossain,MR Marsh,Mahedi Hasan,4,0,4,64,5,6,4,11,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
65,Afif Hossain,MR Marsh,Mahedi Hasan,2,0,2,66,7,7,5,11,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
66,Afif Hossain,MR Marsh,Mahedi Hasan,0,0,0,66,7,8,6,11,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
67,Mahedi Hasan,A Zampa,Afif Hossain,0,1,1,67,23,24,1,12,0,,,{'wides': 1},wides,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
68,Mahedi Hasan,A Zampa,Afif Hossain,0,0,0,67,23,25,2,12,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
69,Mahedi Hasan,A Zampa,Afif Hossain,0,0,0,67,23,26,3,12,stumped,Mahedi Hasan,MS Wade,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
70,Nurul Hasan,A Zampa,Afif Hossain,0,0,0,67,0,1,4,12,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
71,Nurul Hasan,A Zampa,Afif Hossain,0,0,0,67,0,2,5,12,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
72,Nurul Hasan,A Zampa,Afif Hossain,0,0,0,67,0,3,6,12,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
73,Nurul Hasan,A Zampa,Afif Hossain,4,0,4,71,4,4,7,12,0,,,,-,,bat,Australia,2,"Shere Bangla National Stadium, Mirpur",2021-08-04,Bangladesh,Australia
