,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,BR McDermott,Mahedi Hasan,MS Wade,1,0,1,1,126,1,1,0,1,1,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
1,MS Wade,Mahedi Hasan,BR McDermott,0,0,0,1,126,0,1,0,2,1,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
2,MS Wade,Mahedi Hasan,BR McDermott,1,0,1,2,125,1,2,0,3,1,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
3,BR McDermott,Mahedi Hasan,MS Wade,0,0,0,2,125,1,2,0,4,1,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
4,BR McDermott,Mahedi Hasan,MS Wade,6,0,6,8,119,7,3,0,5,1,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
5,BR McDermott,Mahedi Hasan,MS Wade,0,0,0,8,119,7,4,0,6,1,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
6,MS Wade,Nasum Ahmed,BR McDermott,0,0,0,8,119,1,3,0,1,2,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
7,MS Wade,Nasum Ahmed,BR McDermott,0,0,0,8,119,1,4,0,2,2,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
8,MS Wade,Nasum Ahmed,BR McDermott,0,0,0,8,119,1,5,1,3,2,caught,MS Wade,Shoriful Islam,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
9,MR Marsh,Nasum Ahmed,BR McDermott,1,0,1,9,118,1,1,1,4,2,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
10,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,9,118,7,5,1,5,2,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
11,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,9,118,7,6,1,6,2,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
12,MR Marsh,Shakib Al Hasan,BR McDermott,1,0,1,10,117,2,2,1,1,3,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
13,BR McDermott,Shakib Al Hasan,MR Marsh,0,0,0,10,117,7,7,1,2,3,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
14,BR McDermott,Shakib Al Hasan,MR Marsh,1,0,1,11,116,8,8,1,3,3,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
15,MR Marsh,Shakib Al Hasan,BR McDermott,0,0,0,11,116,2,3,1,4,3,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
16,MR Marsh,Shakib Al Hasan,BR McDermott,0,0,0,11,116,2,4,1,5,3,0,,,"{'by': 'Australia', 'umpire': 'Sharfuddoula', 'batter': 'MR Marsh', 'decision': 'upheld'}",-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
17,MR Marsh,Shakib Al Hasan,BR McDermott,0,0,0,11,116,2,5,1,6,3,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
18,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,11,116,8,9,1,1,4,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
19,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,11,116,8,10,1,2,4,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
20,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,11,116,8,11,1,3,4,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
21,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,11,116,8,12,1,4,4,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
22,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,11,116,8,13,1,5,4,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
23,BR McDermott,Nasum Ahmed,MR Marsh,0,0,0,11,116,8,14,1,6,4,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
24,MR Marsh,Shakib Al Hasan,BR McDermott,0,0,0,11,116,2,6,1,1,5,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
25,MR Marsh,Shakib Al Hasan,BR McDermott,4,0,4,15,112,6,7,1,2,5,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
26,MR Marsh,Shakib Al Hasan,BR McDermott,0,0,0,15,112,6,8,1,3,5,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
27,MR Marsh,Shakib Al Hasan,BR McDermott,1,0,1,16,111,7,9,1,4,5,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
28,BR McDermott,Shakib Al Hasan,MR Marsh,0,0,0,16,111,8,15,1,5,5,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
29,BR McDermott,Shakib Al Hasan,MR Marsh,1,0,1,17,110,9,16,1,6,5,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
30,BR McDermott,Mustafizur Rahman,MR Marsh,0,0,0,17,110,9,17,1,1,6,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
31,BR McDermott,Mustafizur Rahman,MR Marsh,1,0,1,18,109,10,18,1,2,6,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
32,MR Marsh,Mustafizur Rahman,BR McDermott,1,0,1,19,108,8,10,1,3,6,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
33,BR McDermott,Mustafizur Rahman,MR Marsh,1,0,1,20,107,11,19,1,4,6,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
34,MR Marsh,Mustafizur Rahman,BR McDermott,0,0,0,20,107,8,11,1,5,6,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
35,MR Marsh,Mustafizur Rahman,BR McDermott,0,0,0,20,107,8,12,1,6,6,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
36,BR McDermott,Nasum Ahmed,MR Marsh,2,0,2,22,105,13,20,1,1,7,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
37,BR McDermott,Nasum Ahmed,MR Marsh,1,0,1,23,104,14,21,1,2,7,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
38,MR Marsh,Nasum Ahmed,BR McDermott,0,0,0,23,104,8,13,1,3,7,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
39,MR Marsh,Nasum Ahmed,BR McDermott,4,0,4,27,100,12,14,1,4,7,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
40,MR Marsh,Nasum Ahmed,BR McDermott,6,0,6,33,94,18,15,1,5,7,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
41,MR Marsh,Nasum Ahmed,BR McDermott,0,0,0,33,94,18,16,1,6,7,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
42,BR McDermott,Shoriful Islam,MR Marsh,0,0,0,33,94,14,22,1,1,8,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
43,BR McDermott,Shoriful Islam,MR Marsh,1,0,1,34,93,15,23,1,2,8,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
44,MR Marsh,Shoriful Islam,BR McDermott,0,0,0,34,93,18,17,1,3,8,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
45,MR Marsh,Shoriful Islam,BR McDermott,0,0,0,34,93,18,18,1,4,8,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
46,MR Marsh,Shoriful Islam,BR McDermott,1,0,1,35,92,19,19,1,5,8,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
47,BR McDermott,Shoriful Islam,MR Marsh,1,0,1,36,91,16,24,1,6,8,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
48,BR McDermott,Shakib Al Hasan,MR Marsh,1,0,1,37,90,17,25,1,1,9,0,,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-06,Bangladesh,Australia,Bangladesh,117
