,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Mohammad Naim,AJ Turner,Soumya Sarkar,0,0,0,0,,0,1,0,1,0,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
1,Mohammad Naim,AJ Turner,Soumya Sarkar,0,0,0,0,,0,2,0,2,0,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
2,Mohammad Naim,AJ Turner,Soumya Sarkar,1,0,1,1,,1,3,0,3,0,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
3,Soumya Sarkar,AJ Turner,Mohammad Naim,0,0,0,1,,0,1,0,4,0,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
4,Soumya Sarkar,AJ Turner,Mohammad Naim,1,0,1,2,,1,2,0,5,0,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
5,Mohammad Naim,AJ Turner,Soumya Sarkar,0,0,0,2,,1,4,0,6,0,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
6,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,,1,3,0,1,1,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
7,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,,1,4,0,2,1,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
8,Soumya Sarkar,JR Hazlewood,Mohammad Naim,1,0,1,3,,2,5,0,3,1,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
9,Mohammad Naim,JR Hazlewood,Soumya Sarkar,4,0,4,7,,5,5,0,4,1,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
10,Mohammad Naim,JR Hazlewood,Soumya Sarkar,4,0,4,11,,9,6,0,5,1,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
11,Mohammad Naim,JR Hazlewood,Soumya Sarkar,1,0,1,12,,10,7,0,6,1,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
12,Mohammad Naim,AJ Turner,Soumya Sarkar,1,0,1,13,,11,8,0,1,2,-,0,,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Bangladesh,Australia,False,104
