,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,MDKJ Perera,BC Fortuin,WIA Fernando,1,0,1,1,102,1,1,0,1,-,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
1,WIA Fernando,BC Fortuin,MDKJ Perera,0,1,1,2,101,0,1,0,2,wides,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
2,WIA Fernando,BC Fortuin,MDKJ Perera,0,2,2,4,99,0,2,0,3,wides,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
3,MDKJ Perera,BC Fortuin,WIA Fernando,1,0,1,5,98,2,2,0,4,-,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
4,WIA Fernando,BC Fortuin,MDKJ Perera,2,0,2,7,96,2,3,0,5,-,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
5,WIA Fernando,BC Fortuin,MDKJ Perera,0,0,0,7,96,2,4,0,6,-,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
6,WIA Fernando,BC Fortuin,MDKJ Perera,4,0,4,11,92,6,5,0,7,-,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
7,WIA Fernando,BC Fortuin,MDKJ Perera,0,0,0,11,92,6,6,0,8,-,1,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
8,MDKJ Perera,K Rabada,WIA Fernando,1,0,1,12,91,3,3,0,1,-,2,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
9,WIA Fernando,K Rabada,MDKJ Perera,0,0,0,12,91,6,7,0,2,-,2,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
10,WIA Fernando,K Rabada,MDKJ Perera,4,0,4,16,87,10,8,0,3,-,2,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
11,WIA Fernando,K Rabada,MDKJ Perera,2,0,2,18,85,12,9,0,4,-,2,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
12,WIA Fernando,K Rabada,MDKJ Perera,0,0,0,18,85,12,10,1,5,-,2,caught and bowled,WIA Fernando,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
13,DM de Silva,K Rabada,MDKJ Perera,1,0,1,19,84,1,1,1,6,-,2,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
14,DM de Silva,BC Fortuin,MDKJ Perera,0,0,0,19,84,1,2,1,1,-,3,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
15,DM de Silva,BC Fortuin,MDKJ Perera,0,0,0,19,84,1,3,2,2,-,3,stumped,DM de Silva,Q de Kock,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
16,PBB Rajapaksa,BC Fortuin,MDKJ Perera,0,0,0,19,84,0,1,2,3,-,3,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
17,PBB Rajapaksa,BC Fortuin,MDKJ Perera,1,0,1,20,83,1,2,2,4,-,3,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
18,MDKJ Perera,BC Fortuin,PBB Rajapaksa,1,0,1,21,82,4,4,2,5,-,3,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
19,PBB Rajapaksa,BC Fortuin,MDKJ Perera,0,0,0,21,82,1,3,2,6,-,3,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
20,MDKJ Perera,K Rabada,PBB Rajapaksa,2,0,2,23,80,6,5,2,1,-,4,0,,,,bat,Sri Lanka,1,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,Sri Lanka,South Africa
