,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,TA Blundell,Mahedi Hasan,R Ravindra,0,0,0,0,,0,1,0,-,1.0,0,,,0,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
1,TA Blundell,Mahedi Hasan,R Ravindra,1,0,1,1,,1,2,0,-,2.0,0,,,0,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
2,R Ravindra,Mahedi Hasan,TA Blundell,0,0,0,1,,0,1,1,-,3.0,caught and bowled,R Ravindra,,0,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
3,WA Young,Mahedi Hasan,TA Blundell,0,0,0,1,,0,1,1,-,4.0,0,,,0,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
4,WA Young,Mahedi Hasan,TA Blundell,1,0,1,2,,1,2,1,-,5.0,0,,,0,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
5,TA Blundell,Mahedi Hasan,WA Young,0,0,0,2,,1,3,1,-,6.0,0,,,0,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
6,WA Young,Nasum Ahmed,TA Blundell,0,0,0,2,,1,3,1,-,1.0,0,,,1,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
7,WA Young,Nasum Ahmed,TA Blundell,0,0,0,2,,1,4,1,-,2.0,0,,,1,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
8,WA Young,Nasum Ahmed,TA Blundell,0,0,0,2,,1,5,1,-,3.0,0,,,1,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
9,WA Young,Nasum Ahmed,TA Blundell,0,0,0,2,,1,6,1,-,4.0,0,,,1,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-01,Bangladesh,New Zealand,Bangladesh,False,60
