,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Mohammad Naim,HK Bennett,Liton Das,0,0,0,0,93,0,1,0,1,1,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
1,Mohammad Naim,HK Bennett,Liton Das,0,0,0,0,93,0,2,0,2,1,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
2,Mohammad Naim,HK Bennett,Liton Das,1,0,1,1,92,1,3,0,3,1,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
3,Liton Das,HK Bennett,Mohammad Naim,0,0,0,1,92,0,1,0,4,1,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
4,Liton Das,HK Bennett,Mohammad Naim,0,0,0,1,92,0,2,0,5,1,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
5,Liton Das,HK Bennett,Mohammad Naim,1,0,1,2,91,1,3,0,6,1,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
6,Liton Das,AY Patel,Mohammad Naim,0,0,0,2,91,1,4,0,1,2,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
7,Liton Das,AY Patel,Mohammad Naim,0,0,0,2,91,1,5,0,2,2,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
8,Liton Das,AY Patel,Mohammad Naim,0,0,0,2,91,1,6,0,3,2,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
9,Liton Das,AY Patel,Mohammad Naim,0,0,0,2,91,1,7,0,4,2,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
10,Liton Das,AY Patel,Mohammad Naim,0,0,0,2,91,1,8,0,5,2,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
11,Liton Das,AY Patel,Mohammad Naim,0,1,1,3,90,1,9,0,6,2,wides,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
12,Liton Das,AY Patel,Mohammad Naim,1,0,1,4,89,2,10,0,7,2,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
13,Liton Das,CE McConchie,Mohammad Naim,4,0,4,8,85,6,11,0,1,3,-,0,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
14,Liton Das,CE McConchie,Mohammad Naim,0,0,0,8,85,6,12,1,2,3,-,caught,Liton Das,FH Allen,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,Bangladesh,New Zealand,96
