,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,W Madhevere,PR Stirling,T Marumani,1,0,1,1,177,1,1,0,1,1,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
1,T Marumani,PR Stirling,W Madhevere,1,0,1,2,176,1,1,0,2,1,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
2,W Madhevere,PR Stirling,T Marumani,4,0,4,6,172,5,2,0,3,1,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
3,W Madhevere,PR Stirling,T Marumani,4,0,4,10,168,9,3,0,4,1,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
4,W Madhevere,PR Stirling,T Marumani,4,0,4,14,164,13,4,0,5,1,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
5,W Madhevere,PR Stirling,T Marumani,0,0,0,14,164,13,5,0,6,1,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
6,T Marumani,MR Adair,W Madhevere,0,1,1,15,163,1,2,0,1,2,legbyes,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
7,W Madhevere,MR Adair,T Marumani,0,0,0,15,163,13,6,1,2,2,-,caught,W Madhevere,A Balbirnie,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
8,RW Chakabva,MR Adair,T Marumani,1,0,1,16,162,1,1,1,3,2,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
9,T Marumani,MR Adair,RW Chakabva,2,0,2,18,160,3,3,1,4,2,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
10,T Marumani,MR Adair,RW Chakabva,1,0,1,19,159,4,4,1,5,2,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
11,RW Chakabva,MR Adair,T Marumani,0,0,0,19,159,1,2,1,6,2,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
12,T Marumani,Simi Singh,RW Chakabva,1,0,1,20,158,5,5,1,1,3,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
13,RW Chakabva,Simi Singh,T Marumani,1,0,1,21,157,2,3,1,2,3,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
14,T Marumani,Simi Singh,RW Chakabva,4,0,4,25,153,9,6,1,3,3,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
15,T Marumani,Simi Singh,RW Chakabva,1,0,1,26,152,10,7,1,4,3,-,0,,,field,Zimbabwe,2,"Bready Cricket Club, Magheramason, Bready",2021,09,Ireland_Zimbabwe_2021-09-01,Ireland,Zimbabwe,Ireland,138
