,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,W Madhevere,CA Young,TS Kamunhukamwe,0,0,0,0,174,0,1,0,1,1,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
1,W Madhevere,CA Young,TS Kamunhukamwe,0,0,0,0,174,0,2,0,2,1,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
2,W Madhevere,CA Young,TS Kamunhukamwe,0,0,0,0,174,0,3,0,3,1,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
3,W Madhevere,CA Young,TS Kamunhukamwe,1,0,1,1,173,1,4,0,4,1,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
4,TS Kamunhukamwe,CA Young,W Madhevere,0,0,0,1,173,0,1,0,5,1,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
5,TS Kamunhukamwe,CA Young,W Madhevere,0,0,0,1,173,0,2,0,6,1,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
6,W Madhevere,MR Adair,TS Kamunhukamwe,0,0,0,1,173,1,5,0,1,2,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
7,W Madhevere,MR Adair,TS Kamunhukamwe,0,0,0,1,173,1,6,0,2,2,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
8,W Madhevere,MR Adair,TS Kamunhukamwe,0,0,0,1,173,1,7,0,3,2,-,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
9,W Madhevere,MR Adair,TS Kamunhukamwe,0,2,2,3,171,1,8,0,4,2,wides,0,,,bat,Zimbabwe,1,"Bready Cricket Club, Magheramason, Bready",2021,09,Zimbabwe_Ireland_2021-09-04,Zimbabwe,Zimbabwe,Ireland
