,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,PR Stirling,C Karunaratne,KJ O'Brien,1,0,1,1,170,1,1,0,1,-,0,,,0,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
1,KJ O'Brien,C Karunaratne,PR Stirling,4,0,4,5,166,4,1,0,2,-,0,,,0,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
2,KJ O'Brien,C Karunaratne,PR Stirling,1,0,1,6,165,5,2,0,3,-,0,,,0,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
3,PR Stirling,C Karunaratne,KJ O'Brien,0,0,0,6,165,1,2,0,4,-,0,,,0,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
4,PR Stirling,C Karunaratne,KJ O'Brien,1,0,1,7,164,2,3,0,5,-,0,,,0,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
5,KJ O'Brien,C Karunaratne,PR Stirling,0,1,1,8,163,5,3,0,6,wides,0,,,0,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
6,KJ O'Brien,C Karunaratne,PR Stirling,0,0,0,8,163,5,4,1,7,-,caught,KJ O'Brien,M Theekshana,0,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
7,A Balbirnie,PVD Chameera,PR Stirling,0,0,0,8,163,0,1,1,1,-,0,,,1,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
8,A Balbirnie,PVD Chameera,PR Stirling,0,0,0,8,163,0,2,1,2,-,0,,,1,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
9,A Balbirnie,PVD Chameera,PR Stirling,1,0,1,9,162,1,3,1,3,-,0,,,1,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
10,PR Stirling,PVD Chameera,A Balbirnie,1,0,1,10,161,3,4,1,4,-,0,,,1,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
11,A Balbirnie,PVD Chameera,PR Stirling,0,0,0,10,161,1,4,1,5,-,0,,,1,field,Ireland,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Ireland,Sri Lanka,101
