,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Naim,C Karunaratne,Liton Das,0,0,0,0,0,1,1,1,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
1,Mohammad Naim,C Karunaratne,Liton Das,0,0,0,0,0,2,2,1,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
2,Mohammad Naim,C Karunaratne,Liton Das,1,0,1,1,1,3,3,1,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
3,Liton Das,C Karunaratne,Mohammad Naim,0,0,0,1,0,1,4,1,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
4,Liton Das,C Karunaratne,Mohammad Naim,1,0,1,2,1,2,5,1,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
5,Mohammad Naim,C Karunaratne,Liton Das,0,0,0,2,1,4,6,1,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
6,Liton Das,B Fernando,Mohammad Naim,0,0,0,2,1,3,1,2,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
7,Liton Das,B Fernando,Mohammad Naim,0,0,0,2,1,4,2,2,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
8,Liton Das,B Fernando,Mohammad Naim,0,0,0,2,1,5,3,2,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
9,Liton Das,B Fernando,Mohammad Naim,4,0,4,6,5,6,4,2,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
10,Liton Das,B Fernando,Mohammad Naim,1,0,1,7,6,7,5,2,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
11,Mohammad Naim,B Fernando,Liton Das,2,0,2,9,3,5,6,2,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
12,Liton Das,PVD Chameera,Mohammad Naim,1,0,1,10,7,8,1,3,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
13,Mohammad Naim,PVD Chameera,Liton Das,1,0,1,11,4,6,2,3,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
14,Liton Das,PVD Chameera,Mohammad Naim,1,0,1,12,8,9,3,3,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
15,Mohammad Naim,PVD Chameera,Liton Das,0,0,0,12,4,7,4,3,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
16,Mohammad Naim,PVD Chameera,Liton Das,0,1,1,13,4,8,5,3,{'noballs': 1},noballs,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
17,Mohammad Naim,PVD Chameera,Liton Das,2,1,3,16,6,9,6,3,{'noballs': 1},noballs,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
18,Mohammad Naim,PVD Chameera,Liton Das,4,0,4,20,10,10,7,3,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
19,Mohammad Naim,PVD Chameera,Liton Das,1,0,1,21,11,11,8,3,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
20,Mohammad Naim,CBRLS Kumara,Liton Das,3,0,3,24,14,12,1,4,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
21,Liton Das,CBRLS Kumara,Mohammad Naim,0,0,0,24,8,10,2,4,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
22,Liton Das,CBRLS Kumara,Mohammad Naim,1,0,1,25,9,11,3,4,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
23,Mohammad Naim,CBRLS Kumara,Liton Das,0,0,0,25,14,13,4,4,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
24,Mohammad Naim,CBRLS Kumara,Liton Das,4,0,4,29,18,14,5,4,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
25,Mohammad Naim,CBRLS Kumara,Liton Das,0,0,0,29,18,15,6,4,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
26,Liton Das,PVD Chameera,Mohammad Naim,1,0,1,30,10,12,1,5,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
27,Mohammad Naim,PVD Chameera,Liton Das,2,0,2,32,20,16,2,5,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
28,Mohammad Naim,PVD Chameera,Liton Das,1,0,1,33,21,17,3,5,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
29,Liton Das,PVD Chameera,Mohammad Naim,4,0,4,37,14,13,4,5,,-,0,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka
