,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,T Bavuma,AJ Hosein,RR Hendricks,1,0,1,1,1,1,1,0,,,1,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
1,RR Hendricks,AJ Hosein,T Bavuma,1,0,1,2,1,1,2,0,,,1,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
2,T Bavuma,AJ Hosein,RR Hendricks,1,0,1,3,2,2,3,0,,,1,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
3,RR Hendricks,AJ Hosein,T Bavuma,0,0,0,3,1,2,4,0,,,1,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
4,RR Hendricks,AJ Hosein,T Bavuma,1,0,1,4,2,3,5,0,,,1,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
5,T Bavuma,AJ Hosein,RR Hendricks,0,0,0,4,2,3,6,run out,T Bavuma,AD Russell,1,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
6,HE van der Dussen,R Rampaul,RR Hendricks,0,0,0,4,0,1,1,0,,,2,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
7,HE van der Dussen,R Rampaul,RR Hendricks,1,0,1,5,1,2,2,0,,,2,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
8,RR Hendricks,R Rampaul,HE van der Dussen,0,0,0,5,2,4,3,0,,,2,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
9,RR Hendricks,R Rampaul,HE van der Dussen,0,0,0,5,2,5,4,0,,,2,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
10,RR Hendricks,R Rampaul,HE van der Dussen,1,0,1,6,3,6,5,0,,,2,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
11,HE van der Dussen,R Rampaul,RR Hendricks,0,0,0,6,1,3,6,0,,,2,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
12,RR Hendricks,AJ Hosein,HE van der Dussen,6,0,6,12,9,7,1,0,,,3,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
13,RR Hendricks,AJ Hosein,HE van der Dussen,4,0,4,16,13,8,2,0,,,3,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
14,RR Hendricks,AJ Hosein,HE van der Dussen,1,0,1,17,14,9,3,0,,,3,-,field,South Africa,2,Dubai International Cricket Stadium,2021-10-26,South Africa,South Africa,West Indies
