,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,LMP Simmons,AK Markram,E Lewis,1,0,1,1,150,1,1,0,1,-,0,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
1,E Lewis,AK Markram,LMP Simmons,0,1,1,2,149,0,1,0,2,wides,0,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
2,E Lewis,AK Markram,LMP Simmons,0,0,0,2,149,0,2,0,3,-,0,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
3,E Lewis,AK Markram,LMP Simmons,1,0,1,3,148,1,3,0,4,-,0,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
4,LMP Simmons,AK Markram,E Lewis,0,0,0,3,148,1,2,0,5,-,0,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
5,LMP Simmons,AK Markram,E Lewis,0,0,0,3,148,1,3,0,6,-,0,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
6,LMP Simmons,AK Markram,E Lewis,1,0,1,4,147,2,4,0,7,-,0,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
7,LMP Simmons,K Rabada,E Lewis,0,0,0,4,147,2,5,0,1,-,1,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
8,LMP Simmons,K Rabada,E Lewis,0,0,0,4,147,2,6,0,2,-,1,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
9,LMP Simmons,K Rabada,E Lewis,0,0,0,4,147,2,7,0,3,-,1,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
10,LMP Simmons,K Rabada,E Lewis,1,0,1,5,146,3,8,0,4,-,1,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
11,E Lewis,K Rabada,LMP Simmons,0,1,1,6,145,1,4,0,5,legbyes,1,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
12,LMP Simmons,K Rabada,E Lewis,0,0,0,6,145,3,9,0,6,-,1,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
13,E Lewis,AK Markram,LMP Simmons,0,0,0,6,145,1,5,0,1,-,2,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
14,E Lewis,AK Markram,LMP Simmons,0,0,0,6,145,1,6,0,2,-,2,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
15,E Lewis,AK Markram,LMP Simmons,0,0,0,6,145,1,7,0,3,-,2,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
16,E Lewis,AK Markram,LMP Simmons,0,0,0,6,145,1,8,0,4,-,2,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
17,E Lewis,AK Markram,LMP Simmons,0,0,0,6,145,1,9,0,5,-,2,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
18,E Lewis,AK Markram,LMP Simmons,0,0,0,6,145,1,10,0,6,-,2,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
19,LMP Simmons,K Rabada,E Lewis,0,0,0,6,145,3,10,0,1,-,3,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
20,LMP Simmons,K Rabada,E Lewis,1,0,1,7,144,4,11,0,2,-,3,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
21,E Lewis,K Rabada,LMP Simmons,0,0,0,7,144,1,11,0,3,-,3,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
22,E Lewis,K Rabada,LMP Simmons,4,0,4,11,140,5,12,0,4,-,3,0,,,,field,South Africa,1,Dubai International Cricket Stadium,2021,10,West Indies_South Africa_2021-10-26,South Africa,West Indies,South Africa,143
