,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JJ Roy,Shakib Al Hasan,JC Buttler,4,0,4,4,120,4,1,0,1,0,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
1,JJ Roy,Shakib Al Hasan,JC Buttler,1,0,1,5,119,5,2,0,2,0,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
2,JC Buttler,Shakib Al Hasan,JJ Roy,0,0,0,5,119,0,1,0,3,0,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
3,JC Buttler,Shakib Al Hasan,JJ Roy,1,0,1,6,118,1,2,0,4,0,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
4,JJ Roy,Shakib Al Hasan,JC Buttler,1,0,1,7,117,6,3,0,5,0,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
5,JC Buttler,Shakib Al Hasan,JJ Roy,0,0,0,7,117,1,3,0,6,0,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
6,JJ Roy,Mustafizur Rahman,JC Buttler,0,1,1,8,116,6,4,0,1,1,legbyes,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
7,JC Buttler,Mustafizur Rahman,JJ Roy,0,0,0,8,116,1,4,0,2,1,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
8,JC Buttler,Mustafizur Rahman,JJ Roy,0,0,0,8,116,1,5,0,3,1,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
9,JC Buttler,Mustafizur Rahman,JJ Roy,0,1,1,9,115,1,6,0,4,1,legbyes,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
10,JJ Roy,Mustafizur Rahman,JC Buttler,0,1,1,10,114,6,5,0,5,1,wides,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
11,JJ Roy,Mustafizur Rahman,JC Buttler,4,0,4,14,110,10,6,0,6,1,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
12,JJ Roy,Mustafizur Rahman,JC Buttler,4,0,4,18,106,14,7,0,7,1,-,0,,,,bat,Bangladesh,2,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Bangladesh_England_2021-10-27,England,England,Bangladesh,126
