,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,JJ Roy,PVD Chameera,JC Buttler,2,0,2,2,,2,1,0,-,1.0,0,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Fast
1,JJ Roy,PVD Chameera,JC Buttler,0,0,0,2,,2,2,0,-,2.0,0,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Fast
2,JJ Roy,PVD Chameera,JC Buttler,4,0,4,6,,6,3,0,-,3.0,0,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Fast
3,JJ Roy,PVD Chameera,JC Buttler,1,0,1,7,,7,4,0,-,4.0,0,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Fast
4,JC Buttler,PVD Chameera,JJ Roy,3,0,3,10,,3,1,0,-,5.0,0,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Fast
5,JJ Roy,PVD Chameera,JC Buttler,2,0,2,12,,9,5,0,-,6.0,0,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Fast
6,JC Buttler,PWH de Silva,JJ Roy,1,0,1,13,,4,2,0,-,1.0,1,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Legbreak
7,JJ Roy,PWH de Silva,JC Buttler,0,0,0,13,,9,6,1,-,2.0,1,bowled,JJ Roy,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,,Right arm Legbreak
8,DJ Malan,PWH de Silva,JC Buttler,0,0,0,13,,0,1,1,-,3.0,1,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Legbreak
9,DJ Malan,PWH de Silva,JC Buttler,1,0,1,14,,1,2,1,-,4.0,1,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Legbreak
