,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Naim,MA Starc,Liton Das,0,0,0,0,210,0,1,0,1,0,,,0,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
1,Mohammad Naim,MA Starc,Liton Das,1,0,1,1,209,1,2,0,2,0,,,0,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
2,Liton Das,MA Starc,Mohammad Naim,0,0,0,1,209,0,1,1,3,bowled,Liton Das,,0,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
3,Soumya Sarkar,MA Starc,Mohammad Naim,0,0,0,1,209,0,1,1,4,0,,,0,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
4,Soumya Sarkar,MA Starc,Mohammad Naim,1,0,1,2,208,1,2,1,5,0,,,0,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
5,Mohammad Naim,MA Starc,Soumya Sarkar,0,0,0,2,208,1,3,1,6,0,,,0,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
6,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,208,1,3,1,1,0,,,1,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
7,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,2,208,1,4,1,2,0,,,1,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
8,Soumya Sarkar,JR Hazlewood,Mohammad Naim,4,0,4,6,204,5,5,1,3,0,,,1,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
9,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,6,204,5,6,1,4,0,,,1,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
10,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,6,204,5,7,1,5,0,,,1,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
11,Soumya Sarkar,JR Hazlewood,Mohammad Naim,0,0,0,6,204,5,8,2,6,bowled,Soumya Sarkar,,1,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
12,Mohammad Naim,GJ Maxwell,Mushfiqur Rahim,1,0,1,7,203,2,4,2,1,0,,,2,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
13,Mushfiqur Rahim,GJ Maxwell,Mohammad Naim,0,1,1,8,202,0,1,2,2,0,,,2,wides,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
14,Mushfiqur Rahim,GJ Maxwell,Mohammad Naim,1,0,1,9,201,1,2,2,3,0,,,2,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
15,Mohammad Naim,GJ Maxwell,Mushfiqur Rahim,0,0,0,9,201,2,5,2,4,0,,,2,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
16,Mohammad Naim,GJ Maxwell,Mushfiqur Rahim,1,0,1,10,200,3,6,2,5,0,,,2,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
17,Mushfiqur Rahim,GJ Maxwell,Mohammad Naim,0,0,0,10,200,1,3,3,6,lbw,Mushfiqur Rahim,,2,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
18,Mahmudullah,GJ Maxwell,Mohammad Naim,0,0,0,10,200,0,1,3,7,0,,,2,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
19,Mohammad Naim,PJ Cummins,Mahmudullah,4,0,4,14,196,7,7,3,1,0,,,3,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
20,Mohammad Naim,PJ Cummins,Mahmudullah,0,0,0,14,196,7,8,3,2,0,,,3,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
21,Mohammad Naim,PJ Cummins,Mahmudullah,0,0,0,14,196,7,9,3,3,0,,,3,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
22,Mohammad Naim,PJ Cummins,Mahmudullah,4,0,4,18,192,11,10,3,4,0,,,3,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
23,Mohammad Naim,PJ Cummins,Mahmudullah,0,0,0,18,192,11,11,3,5,0,,,3,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
24,Mohammad Naim,PJ Cummins,Mahmudullah,1,0,1,19,191,12,12,3,6,0,,,3,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
25,Mohammad Naim,MA Starc,Mahmudullah,1,0,1,20,190,13,13,3,1,0,,,4,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
26,Mahmudullah,MA Starc,Mohammad Naim,0,0,0,20,190,0,2,3,2,0,,,4,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
27,Mahmudullah,MA Starc,Mohammad Naim,0,0,0,20,190,0,3,3,3,0,,,4,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
28,Mahmudullah,MA Starc,Mohammad Naim,0,0,0,20,190,0,4,3,4,0,,,4,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
29,Mahmudullah,MA Starc,Mohammad Naim,4,0,4,24,186,4,5,3,5,0,,,4,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
30,Mahmudullah,MA Starc,Mohammad Naim,4,0,4,28,182,8,6,3,6,0,,,4,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
31,Mohammad Naim,JR Hazlewood,Mahmudullah,4,0,4,32,178,17,14,3,1,0,,,5,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
32,Mohammad Naim,JR Hazlewood,Mahmudullah,0,0,0,32,178,17,15,3,2,0,,,5,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
33,Mohammad Naim,JR Hazlewood,Mahmudullah,0,0,0,32,178,17,16,4,3,caught,Mohammad Naim,PJ Cummins,5,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
34,Afif Hossain,JR Hazlewood,Mahmudullah,0,0,0,32,178,0,1,4,4,0,,,5,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
35,Afif Hossain,JR Hazlewood,Mahmudullah,0,0,0,32,178,0,2,4,5,0,,,5,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
36,Afif Hossain,JR Hazlewood,Mahmudullah,0,1,1,33,177,0,3,4,6,0,,,5,legbyes,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
37,Afif Hossain,A Zampa,Mahmudullah,0,0,0,33,177,0,4,5,1,caught,Afif Hossain,AJ Finch,6,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
38,Shamim Hossain,A Zampa,Mahmudullah,0,0,0,33,177,0,1,5,2,0,,,6,-,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Bangladesh_Australia_2021-11-04,Australia,Bangladesh,Australia,73
