,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Mohammad Rizwan,MA Starc,Babar Azam,0,1,1,1,165,0,1,0,1,byes,1,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
1,Babar Azam,MA Starc,Mohammad Rizwan,0,0,0,1,165,0,1,0,2,-,1,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
2,Babar Azam,MA Starc,Mohammad Rizwan,0,0,0,1,165,0,2,0,3,-,1,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
3,Babar Azam,MA Starc,Mohammad Rizwan,4,0,4,5,161,4,3,0,4,-,1,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
4,Babar Azam,MA Starc,Mohammad Rizwan,1,0,1,6,160,5,4,0,5,-,1,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
5,Mohammad Rizwan,MA Starc,Babar Azam,0,0,0,6,160,0,2,0,6,-,1,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
6,Babar Azam,JR Hazlewood,Mohammad Rizwan,0,0,0,6,160,5,5,0,1,-,2,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
7,Babar Azam,JR Hazlewood,Mohammad Rizwan,4,0,4,10,156,9,6,0,2,-,2,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
8,Babar Azam,JR Hazlewood,Mohammad Rizwan,1,0,1,11,155,10,7,0,3,-,2,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
9,Mohammad Rizwan,JR Hazlewood,Babar Azam,0,0,0,11,155,0,3,0,4,-,2,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
10,Mohammad Rizwan,JR Hazlewood,Babar Azam,0,0,0,11,155,0,4,0,5,-,2,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
11,Mohammad Rizwan,JR Hazlewood,Babar Azam,0,0,0,11,155,0,5,0,6,-,2,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
12,Babar Azam,GJ Maxwell,Mohammad Rizwan,0,0,0,11,155,10,8,0,1,-,3,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
13,Babar Azam,GJ Maxwell,Mohammad Rizwan,1,0,1,12,154,11,9,0,2,-,3,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
14,Mohammad Rizwan,GJ Maxwell,Babar Azam,4,0,4,16,150,4,6,0,3,-,3,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
15,Mohammad Rizwan,GJ Maxwell,Babar Azam,1,0,1,17,149,5,7,0,4,-,3,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
16,Babar Azam,GJ Maxwell,Mohammad Rizwan,0,0,0,17,149,11,10,0,5,-,3,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
17,Babar Azam,GJ Maxwell,Mohammad Rizwan,4,0,4,21,145,15,11,0,6,-,3,0,,,field,Australia,1,Dubai International Cricket Stadium,2021,11,Pakistan_Australia_2021-11-11,Australia,Pakistan,Australia,176
