,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Mohammad Rizwan,Mahedi Hasan,Babar Azam,0,0,0,0,127,0,1,0,-,1.0,0,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Offbreak
1,Mohammad Rizwan,Mahedi Hasan,Babar Azam,0,0,0,0,127,0,2,0,-,2.0,0,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Offbreak
2,Mohammad Rizwan,Mahedi Hasan,Babar Azam,3,0,3,3,124,3,3,0,-,3.0,0,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Offbreak
3,Babar Azam,Mahedi Hasan,Mohammad Rizwan,0,0,0,3,124,0,1,0,-,4.0,0,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Offbreak
4,Babar Azam,Mahedi Hasan,Mohammad Rizwan,1,0,1,4,123,1,2,0,-,5.0,0,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Offbreak
5,Mohammad Rizwan,Mahedi Hasan,Babar Azam,0,0,0,4,123,3,4,0,-,6.0,0,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Offbreak
6,Babar Azam,Taskin Ahmed,Mohammad Rizwan,0,0,0,4,123,1,3,0,-,1.0,1,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Fast
7,Babar Azam,Taskin Ahmed,Mohammad Rizwan,1,0,1,5,122,2,4,0,-,2.0,1,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Fast
8,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,1,1,6,121,3,4,0,wides,2.0,1,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Fast
9,Mohammad Rizwan,Taskin Ahmed,Babar Azam,0,0,0,6,121,3,5,0,-,3.0,1,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Fast
10,Mohammad Rizwan,Taskin Ahmed,Babar Azam,4,0,4,10,117,7,6,0,-,4.0,1,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Fast
11,Mohammad Rizwan,Taskin Ahmed,Babar Azam,2,0,2,12,115,9,7,0,-,5.0,1,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Fast
12,Mohammad Rizwan,Taskin Ahmed,Babar Azam,1,0,1,13,114,10,8,0,-,6.0,1,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Right arm Fast
13,Mohammad Rizwan,Mustafizur Rahman,Babar Azam,0,0,0,13,114,10,9,0,-,1.0,2,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Left arm Fast
14,Mohammad Rizwan,Mustafizur Rahman,Babar Azam,1,0,1,14,113,11,10,0,-,2.0,2,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Left arm Fast
15,Babar Azam,Mustafizur Rahman,Mohammad Rizwan,0,1,1,15,112,2,5,0,legbyes,3.0,2,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Left arm Fast
16,Mohammad Rizwan,Mustafizur Rahman,Babar Azam,0,1,1,16,111,11,10,0,wides,3.0,2,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Left arm Fast
17,Mohammad Rizwan,Mustafizur Rahman,Babar Azam,0,0,0,16,111,11,11,1,-,4.0,2,bowled,Mohammad Rizwan,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Right hand Bat,Right hand Bat,Left arm Fast
18,Fakhar Zaman,Mustafizur Rahman,Babar Azam,0,0,0,16,111,0,1,1,-,5.0,2,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-19,Pakistan,Pakistan,Bangladesh,True,132,Left hand Bat,Right hand Bat,Left arm Fast
