,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Guptill,B Kumar,DJ Mitchell,,0,0,0,0,0,1,1,-,0,,,1,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
1,MJ Guptill,B Kumar,DJ Mitchell,,1,0,1,1,1,2,2,-,0,,,1,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
2,DJ Mitchell,B Kumar,MJ Guptill,,0,0,0,1,0,1,3,-,bowled,DJ Mitchell,,1,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
3,MS Chapman,B Kumar,MJ Guptill,,0,0,0,1,0,1,4,-,0,,,1,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
4,MS Chapman,B Kumar,MJ Guptill,,0,0,0,1,0,2,5,-,0,,,1,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
5,MS Chapman,B Kumar,MJ Guptill,{'legbyes': 1},0,1,1,2,0,3,6,legbyes,0,,,1,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
6,MS Chapman,DL Chahar,MJ Guptill,,0,0,0,2,0,4,1,-,0,,,2,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
7,MS Chapman,DL Chahar,MJ Guptill,,2,0,2,4,2,5,2,-,0,,,2,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
8,MS Chapman,DL Chahar,MJ Guptill,,0,0,0,4,2,6,3,-,0,,,2,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
9,MS Chapman,DL Chahar,MJ Guptill,,4,0,4,8,6,7,4,-,0,,,2,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
10,MS Chapman,DL Chahar,MJ Guptill,,2,0,2,10,8,8,5,-,0,,,2,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
11,MS Chapman,DL Chahar,MJ Guptill,,1,0,1,11,9,9,6,-,0,,,2,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
12,MS Chapman,B Kumar,MJ Guptill,,0,0,0,11,9,10,1,-,0,,,3,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
13,MS Chapman,B Kumar,MJ Guptill,,0,0,0,11,9,11,2,-,0,,,3,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
14,MS Chapman,B Kumar,MJ Guptill,,4,0,4,15,13,12,3,-,0,,,3,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
15,MS Chapman,B Kumar,MJ Guptill,,0,0,0,15,13,13,4,-,0,,,3,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
16,MS Chapman,B Kumar,MJ Guptill,,0,0,0,15,13,14,5,-,0,,,3,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
17,MS Chapman,B Kumar,MJ Guptill,,0,0,0,15,13,15,6,-,0,,,3,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
18,MJ Guptill,Mohammed Siraj,MS Chapman,,1,0,1,16,2,3,1,-,0,,,4,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
19,MS Chapman,Mohammed Siraj,MJ Guptill,,0,0,0,16,13,16,2,-,0,,,4,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
20,MS Chapman,Mohammed Siraj,MJ Guptill,,0,0,0,16,13,17,3,-,0,,,4,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
21,MS Chapman,Mohammed Siraj,MJ Guptill,{'wides': 1},0,1,1,17,13,18,4,wides,0,,,4,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
22,MS Chapman,Mohammed Siraj,MJ Guptill,,1,0,1,18,14,19,5,-,0,,,4,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
23,MJ Guptill,Mohammed Siraj,MS Chapman,,1,0,1,19,3,4,6,-,0,,,4,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
24,MS Chapman,Mohammed Siraj,MJ Guptill,,1,0,1,20,15,20,7,-,0,,,4,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
25,MS Chapman,R Ashwin,MJ Guptill,,2,0,2,22,17,21,1,-,0,,,5,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
26,MS Chapman,R Ashwin,MJ Guptill,,0,0,0,22,17,22,2,-,0,,,5,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
27,MS Chapman,R Ashwin,MJ Guptill,,2,0,2,24,19,23,3,-,0,,,5,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
28,MS Chapman,R Ashwin,MJ Guptill,,1,0,1,25,20,24,4,-,0,,,5,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
29,MJ Guptill,R Ashwin,MS Chapman,,0,0,0,25,3,5,5,-,0,,,5,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
30,MJ Guptill,R Ashwin,MS Chapman,,1,0,1,26,4,6,6,-,0,,,5,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
31,MJ Guptill,DL Chahar,MS Chapman,,4,0,4,30,8,7,1,-,0,,,6,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
32,MJ Guptill,DL Chahar,MS Chapman,,1,0,1,31,9,8,2,-,0,,,6,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
33,MS Chapman,DL Chahar,MJ Guptill,,0,0,0,31,20,25,3,-,0,,,6,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
34,MS Chapman,DL Chahar,MJ Guptill,,4,0,4,35,24,26,4,-,0,,,6,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
35,MS Chapman,DL Chahar,MJ Guptill,,0,0,0,35,24,27,5,-,0,,,6,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
36,MS Chapman,DL Chahar,MJ Guptill,,6,0,6,41,30,28,6,-,0,,,6,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
37,MJ Guptill,R Ashwin,MS Chapman,,1,0,1,42,10,9,1,-,0,,,7,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
38,MS Chapman,R Ashwin,MJ Guptill,,1,0,1,43,31,29,2,-,0,,,7,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
39,MJ Guptill,R Ashwin,MS Chapman,,1,0,1,44,11,10,3,-,0,,,7,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
40,MS Chapman,R Ashwin,MJ Guptill,,0,0,0,44,31,30,4,-,0,,,7,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
41,MS Chapman,R Ashwin,MJ Guptill,,0,0,0,44,31,31,5,-,0,,,7,,field,India,1,"Sawai Mansingh Stadium, Jaipur",2021-11-17,New Zealand,India
