,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RG Sharma,TA Boult,Ishan Kishan,0,0,0,0,153,0,1,0,1,1,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
1,RG Sharma,TA Boult,Ishan Kishan,4,0,4,4,149,4,2,0,2,1,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
2,RG Sharma,TA Boult,Ishan Kishan,4,0,4,8,145,8,3,0,3,1,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
3,RG Sharma,TA Boult,Ishan Kishan,0,0,0,8,145,8,4,0,4,1,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
4,RG Sharma,TA Boult,Ishan Kishan,0,0,0,8,145,8,5,0,5,1,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
5,RG Sharma,TA Boult,Ishan Kishan,0,0,0,8,145,8,6,0,6,1,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
6,Ishan Kishan,AF Milne,RG Sharma,4,0,4,12,141,4,1,0,1,2,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
7,Ishan Kishan,AF Milne,RG Sharma,0,0,0,12,141,4,2,0,2,2,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
8,Ishan Kishan,AF Milne,RG Sharma,0,0,0,12,141,4,3,0,3,2,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
9,Ishan Kishan,AF Milne,RG Sharma,0,0,0,12,141,4,4,0,4,2,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
10,Ishan Kishan,AF Milne,RG Sharma,2,0,2,14,139,6,5,0,5,2,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
11,Ishan Kishan,AF Milne,RG Sharma,4,0,4,18,135,10,6,0,6,2,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
12,RG Sharma,TA Boult,Ishan Kishan,0,0,0,18,135,8,7,0,1,3,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
13,RG Sharma,TA Boult,Ishan Kishan,6,0,6,24,129,14,8,0,2,3,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
14,RG Sharma,TA Boult,Ishan Kishan,0,1,1,25,128,14,9,0,3,3,byes,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
15,Ishan Kishan,TA Boult,RG Sharma,4,0,4,29,124,14,7,0,4,3,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
16,Ishan Kishan,TA Boult,RG Sharma,0,0,0,29,124,14,8,0,5,3,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
17,Ishan Kishan,TA Boult,RG Sharma,0,0,0,29,124,14,9,0,6,3,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
18,RG Sharma,LH Ferguson,Ishan Kishan,0,0,0,29,124,14,10,0,1,4,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
19,RG Sharma,LH Ferguson,Ishan Kishan,6,0,6,35,118,20,11,0,2,4,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
20,RG Sharma,LH Ferguson,Ishan Kishan,3,0,3,38,115,23,12,0,3,4,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
21,Ishan Kishan,LH Ferguson,RG Sharma,0,0,0,38,115,14,10,0,4,4,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
22,Ishan Kishan,LH Ferguson,RG Sharma,0,0,0,38,115,14,11,0,5,4,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
23,Ishan Kishan,LH Ferguson,RG Sharma,1,0,1,39,114,15,12,0,6,4,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
24,Ishan Kishan,AF Milne,RG Sharma,0,0,0,39,114,15,13,0,1,5,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
25,Ishan Kishan,AF Milne,RG Sharma,0,0,0,39,114,15,14,0,2,5,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
26,Ishan Kishan,AF Milne,RG Sharma,4,0,4,43,110,19,15,0,3,5,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
27,Ishan Kishan,AF Milne,RG Sharma,4,0,4,47,106,23,16,0,4,5,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
28,Ishan Kishan,AF Milne,RG Sharma,1,0,1,48,105,24,17,0,5,5,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
29,RG Sharma,AF Milne,Ishan Kishan,1,0,1,49,104,24,13,0,6,5,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
30,RG Sharma,LH Ferguson,Ishan Kishan,4,0,4,53,100,28,14,0,1,6,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
31,RG Sharma,LH Ferguson,Ishan Kishan,1,0,1,54,99,29,15,0,2,6,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
32,Ishan Kishan,LH Ferguson,RG Sharma,4,0,4,58,95,28,18,0,3,6,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
33,Ishan Kishan,LH Ferguson,RG Sharma,1,0,1,59,94,29,19,0,4,6,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
34,RG Sharma,LH Ferguson,Ishan Kishan,6,0,6,65,88,35,16,0,5,6,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
35,RG Sharma,LH Ferguson,Ishan Kishan,4,0,4,69,84,39,17,0,6,6,-,0,,,bat,India,1,"Eden Gardens, Kolkata",2021,11,India_New Zealand_2021-11-21,India,India,New Zealand,184
