,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,P Nissanka,B Kumar,MD Gunathilaka,0,0,0,0,199,0,1,0,1,0,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
1,P Nissanka,B Kumar,MD Gunathilaka,1,0,1,1,198,1,2,0,2,0,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
2,MD Gunathilaka,B Kumar,P Nissanka,0,0,0,1,198,0,1,0,3,0,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
3,MD Gunathilaka,B Kumar,P Nissanka,1,0,1,2,197,1,2,0,4,0,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
4,P Nissanka,B Kumar,MD Gunathilaka,0,0,0,2,197,1,3,0,5,0,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
5,P Nissanka,B Kumar,MD Gunathilaka,0,0,0,2,197,1,4,0,6,0,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
6,MD Gunathilaka,JJ Bumrah,P Nissanka,0,1,1,3,196,1,3,0,1,1,,wides,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
7,MD Gunathilaka,JJ Bumrah,P Nissanka,0,1,1,4,195,1,4,0,2,1,,wides,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
8,MD Gunathilaka,JJ Bumrah,P Nissanka,0,0,0,4,195,1,5,0,3,1,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
9,MD Gunathilaka,JJ Bumrah,P Nissanka,0,0,0,4,195,1,6,0,4,1,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
10,MD Gunathilaka,JJ Bumrah,P Nissanka,0,2,2,6,193,1,7,0,5,1,"{'by': 'India', 'umpire': 'J Madanagopal', 'batter': 'MD Gunathilaka', 'decision': 'struck down'}",legbyes,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
11,MD Gunathilaka,JJ Bumrah,P Nissanka,0,0,0,6,193,1,8,0,6,1,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
12,MD Gunathilaka,JJ Bumrah,P Nissanka,0,0,0,6,193,1,9,0,7,1,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
13,MD Gunathilaka,JJ Bumrah,P Nissanka,1,0,1,7,192,2,10,0,8,1,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
14,MD Gunathilaka,B Kumar,P Nissanka,0,0,0,7,192,2,11,0,1,2,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
15,MD Gunathilaka,B Kumar,P Nissanka,4,0,4,11,188,6,12,0,2,2,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
16,MD Gunathilaka,B Kumar,P Nissanka,0,0,0,11,188,6,13,0,3,2,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
17,MD Gunathilaka,B Kumar,P Nissanka,0,0,0,11,188,6,14,0,4,2,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
18,MD Gunathilaka,B Kumar,P Nissanka,1,0,1,12,187,7,15,0,5,2,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
19,P Nissanka,B Kumar,MD Gunathilaka,1,0,1,13,186,2,5,0,6,2,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
20,P Nissanka,JJ Bumrah,MD Gunathilaka,1,0,1,14,185,3,6,0,1,3,,-,0,,,field,India,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,Sri Lanka,India,183
