,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,0,,0,1,0,-,1.0,0,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
1,RD Gaikwad,K Rabada,Ishan Kishan,2,0,2,2,,2,2,0,-,2.0,0,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
2,RD Gaikwad,K Rabada,Ishan Kishan,2,0,2,4,,4,3,0,-,3.0,0,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
3,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,4,,4,4,0,-,4.0,0,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
4,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,4,,4,5,0,-,5.0,0,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
5,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,4,,4,6,0,-,6.0,0,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
6,Ishan Kishan,WD Parnell,RD Gaikwad,0,0,0,4,,0,1,0,-,1.0,1,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
7,Ishan Kishan,WD Parnell,RD Gaikwad,4,0,4,8,,4,2,0,-,2.0,1,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
8,Ishan Kishan,WD Parnell,RD Gaikwad,1,0,1,9,,5,3,0,-,3.0,1,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
9,RD Gaikwad,WD Parnell,Ishan Kishan,1,0,1,10,,5,7,0,-,4.0,1,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
10,Ishan Kishan,WD Parnell,RD Gaikwad,0,0,0,10,,5,4,0,-,5.0,1,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
11,Ishan Kishan,WD Parnell,RD Gaikwad,0,0,0,10,,5,5,0,-,6.0,1,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
12,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,10,,5,8,0,-,1.0,2,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
13,RD Gaikwad,K Rabada,Ishan Kishan,4,0,4,14,,9,9,0,-,2.0,2,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
14,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,14,,9,10,0,-,3.0,2,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
15,RD Gaikwad,K Rabada,Ishan Kishan,6,0,6,20,,15,11,0,-,4.0,2,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
16,RD Gaikwad,K Rabada,Ishan Kishan,1,0,1,21,,16,12,0,-,5.0,2,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
17,Ishan Kishan,K Rabada,RD Gaikwad,1,0,1,22,,6,6,0,-,6.0,2,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
18,Ishan Kishan,WD Parnell,RD Gaikwad,0,0,0,22,,6,7,0,-,1.0,3,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
19,Ishan Kishan,WD Parnell,RD Gaikwad,2,0,2,24,,8,8,0,-,2.0,3,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
20,Ishan Kishan,WD Parnell,RD Gaikwad,0,0,0,24,,8,9,0,-,3.0,3,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
21,Ishan Kishan,WD Parnell,RD Gaikwad,2,0,2,26,,10,10,0,-,4.0,3,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
22,Ishan Kishan,WD Parnell,RD Gaikwad,1,0,1,27,,11,11,0,-,5.0,3,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
23,RD Gaikwad,WD Parnell,Ishan Kishan,1,0,1,28,,17,13,0,-,6.0,3,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
24,RD Gaikwad,A Nortje,Ishan Kishan,4,0,4,32,,21,14,0,-,1.0,4,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
25,RD Gaikwad,A Nortje,Ishan Kishan,4,0,4,36,,25,15,0,-,2.0,4,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
26,RD Gaikwad,A Nortje,Ishan Kishan,0,4,4,40,,25,16,0,legbyes,3.0,4,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
27,RD Gaikwad,A Nortje,Ishan Kishan,4,0,4,44,,29,17,0,-,4.0,4,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
28,RD Gaikwad,A Nortje,Ishan Kishan,4,0,4,48,,33,18,0,-,5.0,4,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
29,RD Gaikwad,A Nortje,Ishan Kishan,0,0,0,48,,33,19,0,-,6.0,4,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
30,Ishan Kishan,D Pretorius,RD Gaikwad,1,0,1,49,,12,12,0,-,1.0,5,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
31,RD Gaikwad,D Pretorius,Ishan Kishan,0,0,0,49,,33,20,0,-,2.0,5,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
32,RD Gaikwad,D Pretorius,Ishan Kishan,1,0,1,50,,34,21,0,-,3.0,5,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
33,Ishan Kishan,D Pretorius,RD Gaikwad,1,0,1,51,,13,13,0,-,4.0,5,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
34,RD Gaikwad,D Pretorius,Ishan Kishan,6,0,6,57,,40,22,0,-,5.0,5,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
35,RD Gaikwad,D Pretorius,Ishan Kishan,0,0,0,57,,40,23,0,-,6.0,5,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
36,Ishan Kishan,T Shamsi,RD Gaikwad,2,0,2,59,,15,14,0,-,1.0,6,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
37,Ishan Kishan,T Shamsi,RD Gaikwad,1,0,1,60,,16,15,0,-,2.0,6,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
38,RD Gaikwad,T Shamsi,Ishan Kishan,1,0,1,61,,41,24,0,-,3.0,6,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
39,Ishan Kishan,T Shamsi,RD Gaikwad,1,0,1,62,,17,16,0,-,4.0,6,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
40,RD Gaikwad,T Shamsi,Ishan Kishan,1,0,1,63,,42,25,0,-,5.0,6,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
41,Ishan Kishan,T Shamsi,RD Gaikwad,4,0,4,67,,21,17,0,-,6.0,6,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
42,RD Gaikwad,D Pretorius,Ishan Kishan,1,0,1,68,,43,26,0,-,1.0,7,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
43,Ishan Kishan,D Pretorius,RD Gaikwad,0,0,0,68,,21,18,0,-,2.0,7,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
44,Ishan Kishan,D Pretorius,RD Gaikwad,2,0,2,70,,23,19,0,-,3.0,7,0,,,,field,South Africa,1,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022,06,India_South Africa_2022-06-14,India,India,South Africa,True,179
