,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,KR Mayers,R Ngarava,J Charles,0,0,0,0,,0,1,0,-,1.0,0,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Left arm Fast
1,KR Mayers,R Ngarava,J Charles,0,0,0,0,,0,2,0,-,2.0,0,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Left arm Fast
2,KR Mayers,R Ngarava,J Charles,1,0,1,1,,1,3,0,-,3.0,0,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Left arm Fast
3,J Charles,R Ngarava,KR Mayers,0,4,4,5,,0,1,0,legbyes,4.0,0,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Right hand Bat,Left hand Bat,Left arm Fast
4,J Charles,R Ngarava,KR Mayers,0,0,0,5,,0,2,0,-,5.0,0,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Right hand Bat,Left hand Bat,Left arm Fast
5,J Charles,R Ngarava,KR Mayers,0,0,0,5,,0,3,0,-,6.0,0,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Right hand Bat,Left hand Bat,Left arm Fast
6,KR Mayers,TL Chatara,J Charles,0,0,0,5,,1,4,0,-,1.0,1,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Right arm Fast
7,KR Mayers,TL Chatara,J Charles,4,0,4,9,,5,5,0,-,2.0,1,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Right arm Fast
8,KR Mayers,TL Chatara,J Charles,0,1,1,10,,5,5,0,wides,2.0,1,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Right arm Fast
9,KR Mayers,TL Chatara,J Charles,1,0,1,11,,6,6,0,-,3.0,1,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Right arm Fast
10,J Charles,TL Chatara,KR Mayers,1,0,1,12,,1,4,0,-,4.0,1,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Right hand Bat,Left hand Bat,Right arm Fast
11,KR Mayers,TL Chatara,J Charles,1,0,1,13,,7,7,0,-,5.0,1,0,,,,bat,West Indies,1,"Bellerive Oval, Hobart",2022,10,West Indies_Zimbabwe_2022-10-19,West Indies,West Indies,Zimbabwe,True,153,Left hand Bat,Right hand Bat,Right arm Fast
