,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,KR Mayers,J Little,J Charles,1,0,1,1,1,1,1,1,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
1,J Charles,J Little,KR Mayers,0,0,0,1,0,1,2,1,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
2,J Charles,J Little,KR Mayers,0,0,0,1,0,2,3,1,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
3,J Charles,J Little,KR Mayers,4,0,4,5,4,3,4,1,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
4,J Charles,J Little,KR Mayers,1,0,1,6,5,4,5,1,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
5,KR Mayers,J Little,J Charles,0,0,0,6,1,2,6,1,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
6,J Charles,MR Adair,KR Mayers,2,0,2,8,7,5,1,2,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
7,J Charles,MR Adair,KR Mayers,0,0,0,8,7,6,2,2,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
8,J Charles,MR Adair,KR Mayers,0,0,0,8,7,7,3,2,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
9,J Charles,MR Adair,KR Mayers,1,0,1,9,8,8,4,2,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
10,KR Mayers,MR Adair,J Charles,0,0,0,9,1,3,5,2,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
11,KR Mayers,MR Adair,J Charles,0,0,0,9,1,4,6,2,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
12,J Charles,BJ McCarthy,KR Mayers,0,0,0,9,8,9,1,3,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
13,J Charles,BJ McCarthy,KR Mayers,0,0,0,9,8,10,2,3,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
14,J Charles,BJ McCarthy,KR Mayers,1,0,1,10,9,11,3,3,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
15,KR Mayers,BJ McCarthy,J Charles,0,0,0,10,1,5,4,3,caught,KR Mayers,HT Tector,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
16,E Lewis,BJ McCarthy,J Charles,0,0,0,10,0,1,5,3,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
17,E Lewis,BJ McCarthy,J Charles,1,0,1,11,1,2,6,3,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
18,E Lewis,C Campher,J Charles,1,0,1,12,2,3,1,4,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
19,J Charles,C Campher,E Lewis,0,0,0,12,9,12,2,4,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
20,J Charles,C Campher,E Lewis,4,0,4,16,13,13,3,4,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
21,J Charles,C Campher,E Lewis,4,0,4,20,17,14,4,4,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
22,J Charles,C Campher,E Lewis,6,0,6,26,23,15,5,4,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
23,J Charles,C Campher,E Lewis,1,0,1,27,24,16,6,4,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
24,J Charles,Simi Singh,E Lewis,0,0,0,27,24,17,1,5,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
25,J Charles,Simi Singh,E Lewis,0,0,0,27,24,18,2,5,caught,J Charles,C Campher,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
26,BA King,Simi Singh,E Lewis,4,0,4,31,4,1,3,5,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
27,BA King,Simi Singh,E Lewis,0,0,0,31,4,2,4,5,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
28,BA King,Simi Singh,E Lewis,0,0,0,31,4,3,5,5,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
29,BA King,Simi Singh,E Lewis,1,0,1,32,5,4,6,5,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
30,BA King,BJ McCarthy,E Lewis,1,0,1,33,6,5,1,6,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
31,E Lewis,BJ McCarthy,BA King,1,0,1,34,3,4,2,6,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
32,BA King,BJ McCarthy,E Lewis,1,0,1,35,7,6,3,6,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
33,E Lewis,BJ McCarthy,BA King,1,0,1,36,4,5,4,6,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
34,BA King,BJ McCarthy,E Lewis,4,0,4,40,11,7,5,6,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
35,BA King,BJ McCarthy,E Lewis,1,0,1,41,12,8,6,6,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
36,BA King,GJ Delany,E Lewis,1,0,1,42,13,9,1,7,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
37,E Lewis,GJ Delany,BA King,1,0,1,43,5,6,2,7,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
38,BA King,GJ Delany,E Lewis,1,0,1,44,14,10,3,7,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
39,E Lewis,GJ Delany,BA King,1,0,1,45,6,7,4,7,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
40,BA King,GJ Delany,E Lewis,0,0,0,45,14,11,5,7,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
41,BA King,GJ Delany,E Lewis,1,0,1,46,15,12,6,7,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
42,BA King,C Campher,E Lewis,0,0,0,46,15,13,1,8,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
43,BA King,C Campher,E Lewis,4,0,4,50,19,14,2,8,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
44,BA King,C Campher,E Lewis,1,0,1,51,20,15,3,8,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
45,E Lewis,C Campher,BA King,1,0,1,52,7,8,4,8,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
46,BA King,C Campher,E Lewis,4,0,4,56,24,16,5,8,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
47,BA King,C Campher,E Lewis,2,0,2,58,26,17,6,8,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
48,E Lewis,J Little,BA King,1,0,1,59,8,9,1,9,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
49,BA King,J Little,E Lewis,1,0,1,60,27,18,2,9,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
50,E Lewis,J Little,BA King,2,0,2,62,10,10,3,9,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
51,E Lewis,J Little,BA King,1,0,1,63,11,11,4,9,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
52,BA King,J Little,E Lewis,1,0,1,64,28,19,5,9,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
53,E Lewis,J Little,BA King,0,0,0,64,11,12,6,9,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
54,BA King,MR Adair,E Lewis,1,0,1,65,29,20,1,10,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
55,E Lewis,MR Adair,BA King,0,0,0,65,11,13,2,10,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
56,E Lewis,MR Adair,BA King,0,0,0,65,11,14,3,10,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
57,E Lewis,MR Adair,BA King,1,0,1,66,12,15,4,10,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
58,BA King,MR Adair,E Lewis,1,0,1,67,30,21,5,10,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
59,E Lewis,MR Adair,BA King,0,0,0,67,12,16,6,10,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
60,BA King,GJ Delany,E Lewis,0,0,0,67,30,22,1,11,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
61,BA King,GJ Delany,E Lewis,1,0,1,68,31,23,2,11,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
62,E Lewis,GJ Delany,BA King,1,0,1,69,13,17,3,11,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
63,BA King,GJ Delany,E Lewis,1,0,1,70,32,24,4,11,0,,,-,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
64,E Lewis,GJ Delany,BA King,0,1,1,71,13,18,5,11,0,,,wides,,bat,West Indies,1,"Bellerive Oval, Hobart",2022-10-21,West Indies,Ireland
