,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,JC Buttler,Fazalhaq Farooqi,AD Hales,0,0,0,0,112,0,1,0,1,-,1,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
1,JC Buttler,Fazalhaq Farooqi,AD Hales,4,0,4,4,108,4,2,0,2,-,1,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
2,JC Buttler,Fazalhaq Farooqi,AD Hales,0,0,0,4,108,4,3,0,3,-,1,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
3,JC Buttler,Fazalhaq Farooqi,AD Hales,0,1,1,5,107,4,4,0,4,wides,1,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
4,JC Buttler,Fazalhaq Farooqi,AD Hales,0,0,0,5,107,4,5,0,5,-,1,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
5,JC Buttler,Fazalhaq Farooqi,AD Hales,0,0,0,5,107,4,6,0,6,-,1,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
6,JC Buttler,Fazalhaq Farooqi,AD Hales,0,0,0,5,107,4,7,0,7,-,1,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
7,AD Hales,Azmatullah Omarzai,JC Buttler,0,1,1,6,106,0,1,0,1,wides,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
8,AD Hales,Azmatullah Omarzai,JC Buttler,1,0,1,7,105,1,2,0,2,-,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
9,JC Buttler,Azmatullah Omarzai,AD Hales,4,0,4,11,101,8,8,0,3,-,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
10,JC Buttler,Azmatullah Omarzai,AD Hales,0,0,0,11,101,8,9,0,4,-,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
11,JC Buttler,Azmatullah Omarzai,AD Hales,1,0,1,12,100,9,10,0,5,-,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
12,AD Hales,Azmatullah Omarzai,JC Buttler,0,1,1,13,99,1,3,0,6,wides,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
13,AD Hales,Azmatullah Omarzai,JC Buttler,1,0,1,14,98,2,4,0,7,-,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
14,JC Buttler,Azmatullah Omarzai,AD Hales,0,0,0,14,98,9,11,0,8,-,2,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
15,AD Hales,Fazalhaq Farooqi,JC Buttler,0,0,0,14,98,2,5,0,1,-,3,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
16,AD Hales,Fazalhaq Farooqi,JC Buttler,1,0,1,15,97,3,6,0,2,-,3,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
17,JC Buttler,Fazalhaq Farooqi,AD Hales,0,0,0,15,97,9,12,0,3,-,3,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
18,JC Buttler,Fazalhaq Farooqi,AD Hales,4,0,4,19,93,13,13,0,4,-,3,0,,,,field,England,2,Perth Stadium,2022,10,Afghanistan_England_2022-10-22,England,England,Afghanistan,113
