,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,FH Allen,M Theekshana,DP Conway,0,0,0,0,,0,1,0,-,1.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,,Left hand Bat,Right arm Offbreak
1,FH Allen,M Theekshana,DP Conway,1,0,1,1,,1,2,0,-,2.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,,Left hand Bat,Right arm Offbreak
2,DP Conway,M Theekshana,FH Allen,1,0,1,2,,1,1,0,-,3.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Left hand Bat,,Right arm Offbreak
3,FH Allen,M Theekshana,DP Conway,0,0,0,2,,1,3,1,-,4.0,bowled,FH Allen,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,,Left hand Bat,Right arm Offbreak
4,KS Williamson,M Theekshana,DP Conway,1,0,1,3,,1,1,1,-,5.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Left hand Bat,Right arm Offbreak
5,DP Conway,M Theekshana,KS Williamson,0,0,0,3,,1,2,1,-,6.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Left hand Bat,Right hand Bat,Right arm Offbreak
6,KS Williamson,CAK Rajitha,DP Conway,0,0,0,3,,1,2,1,-,1.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Left hand Bat,Right arm Medium
7,KS Williamson,CAK Rajitha,DP Conway,0,0,0,3,,1,3,1,-,2.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Left hand Bat,Right arm Medium
8,KS Williamson,CAK Rajitha,DP Conway,1,0,1,4,,2,4,1,-,3.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Left hand Bat,Right arm Medium
9,DP Conway,CAK Rajitha,KS Williamson,0,1,1,5,,1,3,1,legbyes,4.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Left hand Bat,Right hand Bat,Right arm Medium
10,KS Williamson,CAK Rajitha,DP Conway,0,0,0,5,,2,5,1,-,5.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Left hand Bat,Right arm Medium
11,KS Williamson,CAK Rajitha,DP Conway,1,0,1,6,,3,6,1,-,6.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Left hand Bat,Right arm Medium
12,KS Williamson,DM de Silva,DP Conway,1,0,1,7,,4,7,1,-,1.0,0,,,2,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Left hand Bat,Right arm Offbreak
13,DP Conway,DM de Silva,KS Williamson,0,0,0,7,,1,4,2,-,2.0,bowled,DP Conway,,2,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Left hand Bat,Right hand Bat,Right arm Offbreak
14,GD Phillips,DM de Silva,KS Williamson,0,0,0,7,,0,1,2,-,3.0,0,,,2,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Offbreak
15,GD Phillips,DM de Silva,KS Williamson,4,0,4,11,,4,2,2,-,4.0,0,,,2,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Offbreak
16,GD Phillips,DM de Silva,KS Williamson,0,0,0,11,,4,3,2,-,5.0,0,,,2,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Offbreak
17,GD Phillips,DM de Silva,KS Williamson,0,0,0,11,,4,4,2,-,6.0,0,,,2,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Offbreak
18,KS Williamson,CAK Rajitha,GD Phillips,0,0,0,11,,4,8,2,-,1.0,0,,,3,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Medium
19,KS Williamson,CAK Rajitha,GD Phillips,0,0,0,11,,4,9,2,-,2.0,0,,,3,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Medium
20,KS Williamson,CAK Rajitha,GD Phillips,4,0,4,15,,8,10,2,-,3.0,0,,,3,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Medium
21,KS Williamson,CAK Rajitha,GD Phillips,0,0,0,15,,8,11,2,-,4.0,0,,,3,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Medium
22,KS Williamson,CAK Rajitha,GD Phillips,0,0,0,15,,8,12,2,-,5.0,0,,,3,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Medium
23,KS Williamson,CAK Rajitha,GD Phillips,0,0,0,15,,8,13,3,-,6.0,caught,KS Williamson,BKG Mendis,3,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Medium
24,GD Phillips,M Theekshana,DJ Mitchell,0,0,0,15,,4,5,3,-,1.0,0,,,4,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Offbreak
25,GD Phillips,M Theekshana,DJ Mitchell,1,0,1,16,,5,6,3,-,2.0,0,,,4,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Offbreak
26,DJ Mitchell,M Theekshana,GD Phillips,1,0,1,17,,1,1,3,-,3.0,0,,,4,bat,New Zealand,1,Sydney Cricket Ground,2022,10,New Zealand_Sri Lanka_2022-10-29,New Zealand,New Zealand,Sri Lanka,True,167,Right hand Bat,Right hand Bat,Right arm Offbreak
