,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,PR Stirling,TA Boult,A Balbirnie,0,0,0,0,0,1,1,1,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
1,PR Stirling,TA Boult,A Balbirnie,1,0,1,1,1,2,2,1,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
2,A Balbirnie,TA Boult,PR Stirling,0,0,0,1,0,1,3,1,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
3,A Balbirnie,TA Boult,PR Stirling,0,0,0,1,0,2,4,1,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
4,A Balbirnie,TA Boult,PR Stirling,0,0,0,1,0,3,5,1,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
5,A Balbirnie,TA Boult,PR Stirling,6,0,6,7,6,4,6,1,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
6,PR Stirling,TG Southee,A Balbirnie,1,0,1,8,2,3,1,2,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
7,A Balbirnie,TG Southee,PR Stirling,0,0,0,8,6,5,2,2,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
8,A Balbirnie,TG Southee,PR Stirling,0,0,0,8,6,6,3,2,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
9,A Balbirnie,TG Southee,PR Stirling,1,0,1,9,7,7,4,2,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
10,PR Stirling,TG Southee,A Balbirnie,0,0,0,9,2,4,5,2,"{'by': 'New Zealand', 'umpire': 'HDPK Dharmasena', 'batter': 'PR Stirling', 'decision': 'struck down', 'umpires_call': True}",-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
11,PR Stirling,TG Southee,A Balbirnie,0,1,1,10,2,5,6,2,,legbyes,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
12,PR Stirling,TA Boult,A Balbirnie,0,0,0,10,2,6,1,3,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
13,PR Stirling,TA Boult,A Balbirnie,0,0,0,10,2,7,2,3,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
14,PR Stirling,TA Boult,A Balbirnie,2,0,2,12,4,8,3,3,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
15,PR Stirling,TA Boult,A Balbirnie,2,0,2,14,6,9,4,3,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
16,PR Stirling,TA Boult,A Balbirnie,4,0,4,18,10,10,5,3,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
17,PR Stirling,TA Boult,A Balbirnie,1,0,1,19,11,11,6,3,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
18,PR Stirling,LH Ferguson,A Balbirnie,0,0,0,19,11,12,1,4,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
19,PR Stirling,LH Ferguson,A Balbirnie,0,0,0,19,11,13,2,4,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
20,PR Stirling,LH Ferguson,A Balbirnie,1,0,1,20,12,14,3,4,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
21,A Balbirnie,LH Ferguson,PR Stirling,2,0,2,22,9,8,4,4,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
22,A Balbirnie,LH Ferguson,PR Stirling,1,0,1,23,10,9,5,4,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
23,PR Stirling,LH Ferguson,A Balbirnie,3,0,3,26,15,15,6,4,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
