,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,FH Allen,J Little,DP Conway,1,0,1,1,,1,1,0,-,1.0,0,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Left arm Fast
1,DP Conway,J Little,FH Allen,1,0,1,2,,1,1,0,-,2.0,0,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Left arm Fast
2,FH Allen,J Little,DP Conway,0,0,0,2,,1,2,0,-,3.0,0,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Left arm Fast
3,FH Allen,J Little,DP Conway,0,0,0,2,,1,3,0,-,4.0,0,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Left arm Fast
4,FH Allen,J Little,DP Conway,0,0,0,2,,1,4,0,-,5.0,0,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Left arm Fast
5,FH Allen,J Little,DP Conway,2,0,2,4,,3,5,0,-,6.0,0,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Left arm Fast
6,DP Conway,MR Adair,FH Allen,0,4,4,8,,1,2,0,legbyes,1.0,1,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
7,DP Conway,MR Adair,FH Allen,0,0,0,8,,1,3,0,-,2.0,1,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
8,DP Conway,MR Adair,FH Allen,0,0,0,8,,1,4,0,-,3.0,1,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
9,DP Conway,MR Adair,FH Allen,0,0,0,8,,1,5,0,-,4.0,1,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
10,DP Conway,MR Adair,FH Allen,3,0,3,11,,4,6,0,-,5.0,1,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
11,FH Allen,MR Adair,DP Conway,0,0,0,11,,3,6,0,-,6.0,1,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Fast
12,DP Conway,BJ McCarthy,FH Allen,1,0,1,12,,5,7,0,-,1.0,2,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
13,FH Allen,BJ McCarthy,DP Conway,1,0,1,13,,4,7,0,-,2.0,2,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Fast
14,DP Conway,BJ McCarthy,FH Allen,0,0,0,13,,5,8,0,-,3.0,2,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
15,DP Conway,BJ McCarthy,FH Allen,0,0,0,13,,5,9,0,-,4.0,2,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
16,DP Conway,BJ McCarthy,FH Allen,0,1,1,14,,5,10,0,legbyes,5.0,2,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
17,FH Allen,BJ McCarthy,DP Conway,2,0,2,16,,6,8,0,-,6.0,2,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Fast
18,DP Conway,GJ Delany,FH Allen,1,0,1,17,,6,11,0,-,1.0,3,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Legbreak
19,FH Allen,GJ Delany,DP Conway,4,0,4,21,,10,9,0,-,2.0,3,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Legbreak
20,FH Allen,GJ Delany,DP Conway,0,0,0,21,,10,10,0,-,3.0,3,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Legbreak
21,FH Allen,GJ Delany,DP Conway,4,0,4,25,,14,11,0,-,4.0,3,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Legbreak
22,FH Allen,GJ Delany,DP Conway,4,0,4,29,,18,12,0,-,5.0,3,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Legbreak
23,FH Allen,GJ Delany,DP Conway,0,0,0,29,,18,13,0,-,6.0,3,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Legbreak
24,DP Conway,J Little,FH Allen,0,0,0,29,,6,12,0,-,1.0,4,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Left arm Fast
25,DP Conway,J Little,FH Allen,0,0,0,29,,6,13,0,-,2.0,4,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Left arm Fast
26,DP Conway,J Little,FH Allen,1,0,1,30,,7,14,0,-,3.0,4,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Left arm Fast
27,FH Allen,J Little,DP Conway,0,1,1,31,,18,14,0,legbyes,4.0,4,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Left arm Fast
28,DP Conway,J Little,FH Allen,0,1,1,32,,7,15,0,legbyes,5.0,4,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Left arm Fast
29,FH Allen,J Little,DP Conway,4,0,4,36,,22,15,0,-,6.0,4,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Left arm Fast
30,DP Conway,MR Adair,FH Allen,4,0,4,40,,11,16,0,-,1.0,5,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
31,DP Conway,MR Adair,FH Allen,1,0,1,41,,12,17,0,-,2.0,5,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,,Right arm Fast
32,FH Allen,MR Adair,DP Conway,0,1,1,42,,22,16,0,wides,2.0,5,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Fast
33,FH Allen,MR Adair,DP Conway,6,0,6,48,,28,17,0,-,3.0,5,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Fast
34,FH Allen,MR Adair,DP Conway,4,0,4,52,,32,18,0,-,4.0,5,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Fast
35,FH Allen,MR Adair,DP Conway,0,0,0,52,,32,19,1,-,5.0,5,caught,FH Allen,F Hand,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,,Left hand Bat,Right arm Fast
36,KS Williamson,MR Adair,DP Conway,0,0,0,52,,0,1,1,-,6.0,5,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Fast
37,DP Conway,F Hand,KS Williamson,1,0,1,53,,13,18,1,-,1.0,6,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Medium
38,KS Williamson,F Hand,DP Conway,0,0,0,53,,0,2,1,-,2.0,6,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Medium
39,KS Williamson,F Hand,DP Conway,1,0,1,54,,1,3,1,-,3.0,6,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Medium
40,DP Conway,F Hand,KS Williamson,0,0,0,54,,13,19,1,-,4.0,6,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Medium
41,DP Conway,F Hand,KS Williamson,1,0,1,55,,14,20,1,-,5.0,6,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Medium
42,KS Williamson,F Hand,DP Conway,1,0,1,56,,2,4,1,-,6.0,6,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Medium
43,KS Williamson,GJ Delany,DP Conway,0,0,0,56,,2,5,1,-,1.0,7,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Legbreak
44,KS Williamson,GJ Delany,DP Conway,0,0,0,56,,2,6,1,-,2.0,7,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Legbreak
45,KS Williamson,GJ Delany,DP Conway,1,0,1,57,,3,7,1,-,3.0,7,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Legbreak
46,DP Conway,GJ Delany,KS Williamson,1,0,1,58,,15,21,1,-,4.0,7,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Legbreak
47,KS Williamson,GJ Delany,DP Conway,1,0,1,59,,4,8,1,-,5.0,7,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Legbreak
48,DP Conway,GJ Delany,KS Williamson,0,0,0,59,,15,22,1,-,6.0,7,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Legbreak
49,KS Williamson,BJ McCarthy,DP Conway,4,0,4,63,,8,9,1,-,1.0,8,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Fast
50,KS Williamson,BJ McCarthy,DP Conway,1,0,1,64,,9,10,1,-,2.0,8,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Fast
51,DP Conway,BJ McCarthy,KS Williamson,1,0,1,65,,16,23,1,-,3.0,8,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Fast
52,KS Williamson,BJ McCarthy,DP Conway,1,0,1,66,,10,11,1,-,4.0,8,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Fast
53,DP Conway,BJ McCarthy,KS Williamson,1,0,1,67,,17,24,1,-,5.0,8,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Fast
54,KS Williamson,BJ McCarthy,DP Conway,2,0,2,69,,12,12,1,-,6.0,8,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Fast
55,DP Conway,GH Dockrell,KS Williamson,0,0,0,69,,17,25,1,-,1.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Left arm Orthodox
56,DP Conway,GH Dockrell,KS Williamson,0,1,1,70,,17,26,1,wides,1.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Left arm Orthodox
57,DP Conway,GH Dockrell,KS Williamson,1,0,1,71,,18,27,1,-,2.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Left arm Orthodox
58,KS Williamson,GH Dockrell,DP Conway,1,0,1,72,,13,13,1,-,3.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Left arm Orthodox
59,DP Conway,GH Dockrell,KS Williamson,0,0,0,72,,18,28,1,-,4.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Left arm Orthodox
60,DP Conway,GH Dockrell,KS Williamson,0,1,1,73,,18,29,1,wides,4.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Left arm Orthodox
61,DP Conway,GH Dockrell,KS Williamson,1,0,1,74,,19,30,1,-,5.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Left arm Orthodox
62,KS Williamson,GH Dockrell,DP Conway,1,0,1,75,,14,14,1,-,6.0,9,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Left arm Orthodox
63,KS Williamson,F Hand,DP Conway,1,0,1,76,,15,15,1,-,1.0,10,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Medium
64,DP Conway,F Hand,KS Williamson,2,0,2,78,,21,31,1,-,2.0,10,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Medium
65,DP Conway,F Hand,KS Williamson,4,0,4,82,,25,32,1,-,3.0,10,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Medium
66,DP Conway,F Hand,KS Williamson,1,0,1,83,,26,33,1,-,4.0,10,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Medium
67,KS Williamson,F Hand,DP Conway,4,0,4,87,,19,16,1,-,5.0,10,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Medium
68,KS Williamson,F Hand,DP Conway,6,0,6,93,,25,17,1,-,6.0,10,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Left hand Bat,Right arm Medium
69,DP Conway,GJ Delany,KS Williamson,0,1,1,94,,26,34,1,wides,0.0,11,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Legbreak
70,DP Conway,GJ Delany,KS Williamson,2,0,2,96,,28,35,1,-,1.0,11,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Legbreak
71,DP Conway,GJ Delany,KS Williamson,0,0,0,96,,28,36,2,-,2.0,11,caught,DP Conway,MR Adair,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Left hand Bat,Right hand Bat,Right arm Legbreak
72,GD Phillips,GJ Delany,KS Williamson,0,0,0,96,,0,1,2,-,3.0,11,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Legbreak
73,GD Phillips,GJ Delany,KS Williamson,6,0,6,102,,6,2,2,-,4.0,11,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Legbreak
74,GD Phillips,GJ Delany,KS Williamson,1,0,1,103,,7,3,2,-,5.0,11,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Legbreak
75,KS Williamson,GJ Delany,GD Phillips,0,0,0,103,,25,18,2,-,6.0,11,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Legbreak
76,GD Phillips,BJ McCarthy,KS Williamson,1,0,1,104,,8,4,2,-,1.0,12,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Fast
77,KS Williamson,BJ McCarthy,GD Phillips,1,0,1,105,,26,19,2,-,2.0,12,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Fast
78,GD Phillips,BJ McCarthy,KS Williamson,0,0,0,105,,8,5,2,-,3.0,12,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Fast
79,GD Phillips,BJ McCarthy,KS Williamson,4,0,4,109,,12,6,2,-,4.0,12,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Fast
80,GD Phillips,BJ McCarthy,KS Williamson,4,0,4,113,,16,7,2,-,5.0,12,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Fast
81,GD Phillips,BJ McCarthy,KS Williamson,1,0,1,114,,17,8,2,-,6.0,12,0,,,,field,Ireland,1,Adelaide Oval,2022,11,New Zealand_Ireland_2022-11-04,New Zealand,New Zealand,Ireland,True,185,Right hand Bat,Right hand Bat,Right arm Fast
