,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,DA Warner,Fazalhaq Farooqi,C Green,0,0,0,0,,0,1,0,-,1.0,0,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
1,DA Warner,Fazalhaq Farooqi,C Green,0,0,0,0,,0,2,0,-,2.0,0,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
2,DA Warner,Fazalhaq Farooqi,C Green,4,0,4,4,,4,3,0,-,3.0,0,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
3,DA Warner,Fazalhaq Farooqi,C Green,2,0,2,6,,6,4,0,-,4.0,0,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
4,DA Warner,Fazalhaq Farooqi,C Green,0,0,0,6,,6,5,0,-,5.0,0,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
5,DA Warner,Fazalhaq Farooqi,C Green,0,0,0,6,,6,6,0,-,6.0,0,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
6,C Green,Mujeeb Ur Rahman,DA Warner,3,0,3,9,,3,1,0,-,1.0,1,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Right arm Offbreak
7,DA Warner,Mujeeb Ur Rahman,C Green,4,0,4,13,,10,7,0,-,2.0,1,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Offbreak
8,DA Warner,Mujeeb Ur Rahman,C Green,4,0,4,17,,14,8,0,-,3.0,1,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Offbreak
9,DA Warner,Mujeeb Ur Rahman,C Green,0,1,1,18,,14,9,0,wides,3.0,1,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Offbreak
10,DA Warner,Mujeeb Ur Rahman,C Green,4,0,4,22,,18,10,0,-,4.0,1,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Offbreak
11,DA Warner,Mujeeb Ur Rahman,C Green,0,0,0,22,,18,11,0,-,5.0,1,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Offbreak
12,DA Warner,Mujeeb Ur Rahman,C Green,0,0,0,22,,18,12,0,-,6.0,1,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Offbreak
13,C Green,Fazalhaq Farooqi,DA Warner,0,0,0,22,,3,2,1,-,1.0,2,caught,C Green,Gulbadin Naib,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Left arm Fast
14,MR Marsh,Fazalhaq Farooqi,DA Warner,0,0,0,22,,0,1,1,-,2.0,2,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Left arm Fast
15,MR Marsh,Fazalhaq Farooqi,DA Warner,0,0,0,22,,0,2,1,-,3.0,2,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Left arm Fast
16,MR Marsh,Fazalhaq Farooqi,DA Warner,1,0,1,23,,1,3,1,-,4.0,2,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Left arm Fast
17,DA Warner,Fazalhaq Farooqi,MR Marsh,4,0,4,27,,22,13,1,-,5.0,2,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
18,DA Warner,Fazalhaq Farooqi,MR Marsh,0,0,0,27,,22,14,1,-,6.0,2,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Left arm Fast
19,MR Marsh,Naveen-ul-Haq,DA Warner,1,0,1,28,,2,4,1,-,1.0,3,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Right arm Medium
20,DA Warner,Naveen-ul-Haq,MR Marsh,1,0,1,29,,23,15,1,-,2.0,3,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Medium
21,MR Marsh,Naveen-ul-Haq,DA Warner,4,0,4,33,,6,5,1,-,3.0,3,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Right arm Medium
22,MR Marsh,Naveen-ul-Haq,DA Warner,3,0,3,36,,9,6,1,-,4.0,3,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Right arm Medium
23,DA Warner,Naveen-ul-Haq,MR Marsh,0,0,0,36,,23,16,1,-,5.0,3,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Left hand Bat,Right hand Bat,Right arm Medium
24,MR Marsh,Mujeeb Ur Rahman,DA Warner,6,0,6,42,,15,7,1,-,1.0,4,0,,,,field,Afghanistan,1,Adelaide Oval,2022,11,Australia_Afghanistan_2022-11-04,Australia,Australia,Afghanistan,True,168,Right hand Bat,Left hand Bat,Right arm Offbreak
