,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,JC Buttler,B Kumar,AD Hales,0,1,1,1,0,1,1,wides,1,0,field,England,2,Adelaide Oval,2022-11-10,England,India
1,JC Buttler,B Kumar,AD Hales,4,0,4,5,4,2,2,-,1,0,field,England,2,Adelaide Oval,2022-11-10,England,India
2,JC Buttler,B Kumar,AD Hales,0,0,0,5,4,3,3,-,1,0,field,England,2,Adelaide Oval,2022-11-10,England,India
3,JC Buttler,B Kumar,AD Hales,4,0,4,9,8,4,4,-,1,0,field,England,2,Adelaide Oval,2022-11-10,England,India
4,JC Buttler,B Kumar,AD Hales,0,0,0,9,8,5,5,-,1,0,field,England,2,Adelaide Oval,2022-11-10,England,India
5,JC Buttler,B Kumar,AD Hales,0,0,0,9,8,6,6,-,1,0,field,England,2,Adelaide Oval,2022-11-10,England,India
6,JC Buttler,B Kumar,AD Hales,4,0,4,13,12,7,7,-,1,0,field,England,2,Adelaide Oval,2022-11-10,England,India
7,AD Hales,Arshdeep Singh,JC Buttler,1,0,1,14,1,1,1,-,2,0,field,England,2,Adelaide Oval,2022-11-10,England,India
8,JC Buttler,Arshdeep Singh,AD Hales,4,0,4,18,16,8,2,-,2,0,field,England,2,Adelaide Oval,2022-11-10,England,India
9,JC Buttler,Arshdeep Singh,AD Hales,0,1,1,19,16,9,3,wides,2,0,field,England,2,Adelaide Oval,2022-11-10,England,India
10,JC Buttler,Arshdeep Singh,AD Hales,0,0,0,19,16,10,4,-,2,0,field,England,2,Adelaide Oval,2022-11-10,England,India
11,JC Buttler,Arshdeep Singh,AD Hales,0,0,0,19,16,11,5,-,2,0,field,England,2,Adelaide Oval,2022-11-10,England,India
12,JC Buttler,Arshdeep Singh,AD Hales,1,0,1,20,17,12,6,-,2,0,field,England,2,Adelaide Oval,2022-11-10,England,India
13,AD Hales,Arshdeep Singh,JC Buttler,1,0,1,21,2,2,7,-,2,0,field,England,2,Adelaide Oval,2022-11-10,England,India
14,AD Hales,B Kumar,JC Buttler,0,0,0,21,2,3,1,-,3,0,field,England,2,Adelaide Oval,2022-11-10,England,India
15,AD Hales,B Kumar,JC Buttler,1,0,1,22,3,4,2,-,3,0,field,England,2,Adelaide Oval,2022-11-10,England,India
16,JC Buttler,B Kumar,AD Hales,1,0,1,23,18,13,3,-,3,0,field,England,2,Adelaide Oval,2022-11-10,England,India
17,AD Hales,B Kumar,JC Buttler,2,0,2,25,5,5,4,-,3,0,field,England,2,Adelaide Oval,2022-11-10,England,India
18,AD Hales,B Kumar,JC Buttler,6,0,6,31,11,6,5,-,3,0,field,England,2,Adelaide Oval,2022-11-10,England,India
19,AD Hales,B Kumar,JC Buttler,2,0,2,33,13,7,6,-,3,0,field,England,2,Adelaide Oval,2022-11-10,England,India
20,JC Buttler,AR Patel,AD Hales,4,0,4,37,22,14,1,-,4,0,field,England,2,Adelaide Oval,2022-11-10,England,India
21,JC Buttler,AR Patel,AD Hales,1,0,1,38,23,15,2,-,4,0,field,England,2,Adelaide Oval,2022-11-10,England,India
22,AD Hales,AR Patel,JC Buttler,0,0,0,38,13,8,3,-,4,0,field,England,2,Adelaide Oval,2022-11-10,England,India
23,AD Hales,AR Patel,JC Buttler,1,0,1,39,14,9,4,-,4,0,field,England,2,Adelaide Oval,2022-11-10,England,India
24,JC Buttler,AR Patel,AD Hales,1,0,1,40,24,16,5,-,4,0,field,England,2,Adelaide Oval,2022-11-10,England,India
25,AD Hales,AR Patel,JC Buttler,1,0,1,41,15,10,6,-,4,0,field,England,2,Adelaide Oval,2022-11-10,England,India
26,AD Hales,Mohammed Shami,JC Buttler,0,0,0,41,15,11,1,-,5,0,field,England,2,Adelaide Oval,2022-11-10,England,India
27,AD Hales,Mohammed Shami,JC Buttler,6,0,6,47,21,12,2,-,5,0,field,England,2,Adelaide Oval,2022-11-10,England,India
28,AD Hales,Mohammed Shami,JC Buttler,0,0,0,47,21,13,3,-,5,0,field,England,2,Adelaide Oval,2022-11-10,England,India
29,AD Hales,Mohammed Shami,JC Buttler,0,0,0,47,21,14,4,-,5,0,field,England,2,Adelaide Oval,2022-11-10,England,India
30,AD Hales,Mohammed Shami,JC Buttler,4,0,4,51,25,15,5,-,5,0,field,England,2,Adelaide Oval,2022-11-10,England,India
31,AD Hales,Mohammed Shami,JC Buttler,1,0,1,52,26,16,6,-,5,0,field,England,2,Adelaide Oval,2022-11-10,England,India
32,AD Hales,AR Patel,JC Buttler,0,0,0,52,26,17,1,-,6,0,field,England,2,Adelaide Oval,2022-11-10,England,India
33,AD Hales,AR Patel,JC Buttler,6,0,6,58,32,18,2,-,6,0,field,England,2,Adelaide Oval,2022-11-10,England,India
34,AD Hales,AR Patel,JC Buttler,1,0,1,59,33,19,3,-,6,0,field,England,2,Adelaide Oval,2022-11-10,England,India
35,JC Buttler,AR Patel,AD Hales,0,0,0,59,24,17,4,-,6,0,field,England,2,Adelaide Oval,2022-11-10,England,India
36,JC Buttler,AR Patel,AD Hales,0,0,0,59,24,18,5,-,6,0,field,England,2,Adelaide Oval,2022-11-10,England,India
37,JC Buttler,AR Patel,AD Hales,4,0,4,63,28,19,6,-,6,0,field,England,2,Adelaide Oval,2022-11-10,England,India
38,AD Hales,R Ashwin,JC Buttler,1,0,1,64,34,20,1,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
39,JC Buttler,R Ashwin,AD Hales,0,0,0,64,28,20,2,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
40,JC Buttler,R Ashwin,AD Hales,0,2,2,66,28,21,3,wides,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
41,AD Hales,R Ashwin,JC Buttler,1,0,1,67,35,21,4,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
42,JC Buttler,R Ashwin,AD Hales,1,0,1,68,29,22,5,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
43,AD Hales,R Ashwin,JC Buttler,6,0,6,74,41,22,6,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
44,AD Hales,R Ashwin,JC Buttler,1,0,1,75,42,23,7,-,7,0,field,England,2,Adelaide Oval,2022-11-10,England,India
45,AD Hales,AR Patel,JC Buttler,0,0,0,75,42,24,1,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
46,AD Hales,AR Patel,JC Buttler,6,0,6,81,48,25,2,-,8,0,field,England,2,Adelaide Oval,2022-11-10,England,India
