,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,0,0,1,1,0,,,1,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
1,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,1,0,1,1,1,2,2,0,,,1,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
2,Rahmanullah Gurbaz,Nasum Ahmed,Hazratullah,0,0,0,1,0,1,3,0,,,1,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
3,Rahmanullah Gurbaz,Nasum Ahmed,Hazratullah,0,0,0,1,0,2,4,caught,Rahmanullah Gurbaz,Yasir Ali Chowdhury,1,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
4,Darwish Rasooli,Nasum Ahmed,Hazratullah,0,0,0,1,0,1,5,0,,,1,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
5,Darwish Rasooli,Nasum Ahmed,Hazratullah,0,0,0,1,0,2,6,0,,,1,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
6,Hazratullah,Mahedi Hasan,Darwish Rasooli,4,0,4,5,5,3,1,0,,,2,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
7,Hazratullah,Mahedi Hasan,Darwish Rasooli,0,0,0,5,5,4,2,0,,,2,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
8,Hazratullah,Mahedi Hasan,Darwish Rasooli,0,0,0,5,5,5,3,0,,,2,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
9,Hazratullah,Mahedi Hasan,Darwish Rasooli,1,0,1,6,6,6,4,0,,,2,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
10,Darwish Rasooli,Mahedi Hasan,Hazratullah,0,0,0,6,0,3,5,0,,,2,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
11,Darwish Rasooli,Mahedi Hasan,Hazratullah,2,0,2,8,2,4,6,0,,,2,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
12,Hazratullah,Nasum Ahmed,Darwish Rasooli,0,0,0,8,6,7,1,caught,Hazratullah,Mohammad Naim,3,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
13,Darwish Rasooli,Nasum Ahmed,Najibullah Zadran,0,0,0,8,2,5,2,0,,,3,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
14,Darwish Rasooli,Nasum Ahmed,Najibullah Zadran,0,0,0,8,2,6,3,bowled,Darwish Rasooli,,3,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
15,Karim Janat,Nasum Ahmed,Najibullah Zadran,0,0,0,8,0,1,4,0,,,3,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
16,Karim Janat,Nasum Ahmed,Najibullah Zadran,1,0,1,9,1,2,5,0,,,3,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
17,Najibullah Zadran,Nasum Ahmed,Karim Janat,0,0,0,9,0,1,6,0,,,3,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
18,Karim Janat,Mustafizur Rahman,Najibullah Zadran,0,0,0,9,1,3,1,0,,,4,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
19,Karim Janat,Mustafizur Rahman,Najibullah Zadran,0,0,0,9,1,4,2,0,,,4,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
20,Karim Janat,Mustafizur Rahman,Najibullah Zadran,1,0,1,10,2,5,3,0,,,4,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
21,Najibullah Zadran,Mustafizur Rahman,Karim Janat,4,0,4,14,4,2,4,0,,,4,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
22,Najibullah Zadran,Mustafizur Rahman,Karim Janat,1,0,1,15,5,3,5,0,,,4,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
23,Karim Janat,Mustafizur Rahman,Najibullah Zadran,0,0,0,15,2,6,6,0,,,4,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
24,Najibullah Zadran,Nasum Ahmed,Karim Janat,1,0,1,16,6,4,1,0,,,5,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
25,Karim Janat,Nasum Ahmed,Najibullah Zadran,4,0,4,20,6,7,2,0,,,5,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
26,Karim Janat,Nasum Ahmed,Najibullah Zadran,0,0,0,20,6,8,3,caught,Karim Janat,Mahedi Hasan,5,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
27,Mohammad Nabi,Nasum Ahmed,Najibullah Zadran,0,0,0,20,0,1,4,0,,,5,"{'by': 'Afghanistan', 'umpire': 'Masudur Rahman', 'batter': 'Mohammad Nabi', 'decision': 'upheld'}",-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
28,Mohammad Nabi,Nasum Ahmed,Najibullah Zadran,0,0,0,20,0,2,5,0,,,5,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
29,Mohammad Nabi,Nasum Ahmed,Najibullah Zadran,0,0,0,20,0,3,6,0,,,5,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
30,Najibullah Zadran,Shoriful Islam,Mohammad Nabi,0,0,0,20,6,5,1,0,,,6,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
31,Najibullah Zadran,Shoriful Islam,Mohammad Nabi,3,0,3,23,9,6,2,0,,,6,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
32,Mohammad Nabi,Shoriful Islam,Najibullah Zadran,4,0,4,27,4,4,3,0,,,6,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
33,Mohammad Nabi,Shoriful Islam,Najibullah Zadran,0,1,1,28,4,5,4,0,,,6,,legbyes,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
34,Najibullah Zadran,Shoriful Islam,Mohammad Nabi,1,0,1,29,10,7,5,0,,,6,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
35,Mohammad Nabi,Shoriful Islam,Najibullah Zadran,0,0,0,29,4,6,6,0,,,6,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
36,Najibullah Zadran,Nasum Ahmed,Mohammad Nabi,1,0,1,30,11,8,1,0,,,7,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
37,Mohammad Nabi,Nasum Ahmed,Najibullah Zadran,0,0,0,30,4,7,2,0,,,7,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
38,Mohammad Nabi,Nasum Ahmed,Najibullah Zadran,1,0,1,31,5,8,3,0,,,7,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
39,Najibullah Zadran,Nasum Ahmed,Mohammad Nabi,0,0,0,31,11,9,4,0,,,7,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
40,Najibullah Zadran,Nasum Ahmed,Mohammad Nabi,1,0,1,32,12,10,5,0,,,7,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
41,Mohammad Nabi,Nasum Ahmed,Najibullah Zadran,0,0,0,32,5,9,6,0,,,7,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
42,Najibullah Zadran,Mahedi Hasan,Mohammad Nabi,1,0,1,33,13,11,1,0,,,8,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
43,Mohammad Nabi,Mahedi Hasan,Najibullah Zadran,4,0,4,37,9,10,2,0,,,8,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
44,Mohammad Nabi,Mahedi Hasan,Najibullah Zadran,1,0,1,38,10,11,3,0,,,8,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
45,Najibullah Zadran,Mahedi Hasan,Mohammad Nabi,0,0,0,38,13,12,4,0,,,8,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
46,Najibullah Zadran,Mahedi Hasan,Mohammad Nabi,0,0,0,38,13,13,5,0,,,8,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
47,Najibullah Zadran,Mahedi Hasan,Mohammad Nabi,0,0,0,38,13,14,6,0,,,8,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
48,Mohammad Nabi,Shakib Al Hasan,Najibullah Zadran,1,0,1,39,11,12,1,0,,,9,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
49,Najibullah Zadran,Shakib Al Hasan,Mohammad Nabi,1,0,1,40,14,15,2,0,,,9,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
50,Mohammad Nabi,Shakib Al Hasan,Najibullah Zadran,1,0,1,41,12,13,3,0,,,9,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
51,Najibullah Zadran,Shakib Al Hasan,Mohammad Nabi,0,0,0,41,14,16,4,0,,,9,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
52,Najibullah Zadran,Shakib Al Hasan,Mohammad Nabi,1,0,1,42,15,17,5,0,,,9,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
53,Mohammad Nabi,Shakib Al Hasan,Najibullah Zadran,0,0,0,42,12,14,6,0,,,9,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
54,Najibullah Zadran,Mustafizur Rahman,Mohammad Nabi,1,0,1,43,16,18,1,0,,,10,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
55,Mohammad Nabi,Mustafizur Rahman,Najibullah Zadran,1,0,1,44,13,15,2,0,,,10,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
56,Najibullah Zadran,Mustafizur Rahman,Mohammad Nabi,0,1,1,45,16,19,3,0,,,10,,wides,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
57,Najibullah Zadran,Mustafizur Rahman,Mohammad Nabi,6,0,6,51,22,20,4,0,,,10,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
58,Najibullah Zadran,Mustafizur Rahman,Mohammad Nabi,2,0,2,53,24,21,5,0,,,10,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
59,Najibullah Zadran,Mustafizur Rahman,Mohammad Nabi,0,0,0,53,24,22,6,0,,,10,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
60,Najibullah Zadran,Mustafizur Rahman,Mohammad Nabi,0,0,0,53,24,23,7,0,,,10,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
61,Mohammad Nabi,Shakib Al Hasan,Najibullah Zadran,0,0,0,53,13,16,1,0,,,11,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
62,Mohammad Nabi,Shakib Al Hasan,Najibullah Zadran,1,0,1,54,14,17,2,0,,,11,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
63,Najibullah Zadran,Shakib Al Hasan,Mohammad Nabi,1,0,1,55,25,24,3,0,,,11,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
64,Mohammad Nabi,Shakib Al Hasan,Najibullah Zadran,2,0,2,57,16,18,4,0,,,11,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
65,Mohammad Nabi,Shakib Al Hasan,Najibullah Zadran,0,0,0,57,16,19,5,caught,Mohammad Nabi,Afif Hossain,11,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
66,Azmatullah Omarzai,Shakib Al Hasan,Najibullah Zadran,0,0,0,57,0,1,6,0,,,11,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
67,Najibullah Zadran,Mahedi Hasan,Azmatullah Omarzai,1,0,1,58,26,25,1,0,,,12,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
68,Azmatullah Omarzai,Mahedi Hasan,Najibullah Zadran,0,0,0,58,0,2,2,0,,,12,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
69,Azmatullah Omarzai,Mahedi Hasan,Najibullah Zadran,1,0,1,59,1,3,3,0,,,12,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
70,Najibullah Zadran,Mahedi Hasan,Azmatullah Omarzai,1,0,1,60,27,26,4,0,,,12,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
71,Azmatullah Omarzai,Mahedi Hasan,Najibullah Zadran,0,0,0,60,1,4,5,0,,,12,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
72,Azmatullah Omarzai,Mahedi Hasan,Najibullah Zadran,1,0,1,61,2,5,6,0,,,12,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
73,Azmatullah Omarzai,Shakib Al Hasan,Najibullah Zadran,1,0,1,62,3,6,1,0,,,13,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
74,Najibullah Zadran,Shakib Al Hasan,Azmatullah Omarzai,0,0,0,62,27,27,2,caught,Najibullah Zadran,Munim Shahriar,13,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
75,Rashid Khan,Shakib Al Hasan,Azmatullah Omarzai,0,0,0,62,0,1,3,0,,,13,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
76,Rashid Khan,Shakib Al Hasan,Azmatullah Omarzai,1,0,1,63,1,2,4,0,,,13,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
77,Azmatullah Omarzai,Shakib Al Hasan,Rashid Khan,0,1,1,64,3,7,5,0,,,13,,wides,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
78,Azmatullah Omarzai,Shakib Al Hasan,Rashid Khan,1,0,1,65,4,8,6,0,,,13,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022-03-03,Bangladesh,Afghanistan,Bangladesh
