,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,PR Stirling,B Kumar,A Balbirnie,,0,0,0,0,,0,1,0,-,1.0,0,,,0,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
1,PR Stirling,B Kumar,A Balbirnie,,0,0,0,0,,0,2,0,-,2.0,0,,,0,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
2,PR Stirling,B Kumar,A Balbirnie,,0,1,1,1,,0,3,0,legbyes,3.0,0,,,0,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
3,A Balbirnie,B Kumar,PR Stirling,,0,0,0,1,,0,1,0,-,4.0,0,,,0,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
4,A Balbirnie,B Kumar,PR Stirling,,0,0,0,1,,0,2,1,-,5.0,bowled,A Balbirnie,,0,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
5,GJ Delany,B Kumar,PR Stirling,"{'by': 'India', 'umpire': 'M Hawthorne', 'batter': 'GJ Delany', 'decision': 'struck down'}",0,0,0,1,,0,1,1,-,6.0,0,,,0,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
6,PR Stirling,HH Pandya,GJ Delany,,0,1,1,2,,0,4,1,wides,0.0,0,,,1,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
7,PR Stirling,HH Pandya,GJ Delany,,4,0,4,6,,4,5,1,-,1.0,0,,,1,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
8,PR Stirling,HH Pandya,GJ Delany,,0,0,0,6,,4,6,2,-,2.0,caught,PR Stirling,DJ Hooda,1,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
9,GJ Delany,HH Pandya,HT Tector,,2,0,2,8,,2,2,2,-,3.0,0,,,1,field,India,1,"The Village, Malahide, Dublin",2022,06,Ireland_India_2022-06-26,India,Ireland,India,False,108,Right hand Bat,Right hand Bat,Right arm Medium
