,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Guptill,MR Adair,FH Allen,0,0,0,0,0,1,1,-,1,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
1,MJ Guptill,MR Adair,FH Allen,1,0,1,1,1,2,2,-,1,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
2,FH Allen,MR Adair,MJ Guptill,0,1,1,2,0,1,3,legbyes,1,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
3,MJ Guptill,MR Adair,FH Allen,2,0,2,4,3,3,4,-,1,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
4,MJ Guptill,MR Adair,FH Allen,0,0,0,4,3,4,5,-,1,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
5,MJ Guptill,MR Adair,FH Allen,0,0,0,4,3,5,6,-,1,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
6,FH Allen,CA Young,MJ Guptill,0,0,0,4,0,2,1,-,2,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
7,FH Allen,CA Young,MJ Guptill,4,0,4,8,4,3,2,-,2,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
8,FH Allen,CA Young,MJ Guptill,6,0,6,14,10,4,3,-,2,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
9,FH Allen,CA Young,MJ Guptill,0,0,0,14,10,5,4,-,2,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
10,FH Allen,CA Young,MJ Guptill,4,0,4,18,14,6,5,-,2,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
11,FH Allen,CA Young,MJ Guptill,0,0,0,18,14,7,6,-,2,bowled,FH Allen,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
12,MJ Guptill,MR Adair,D Cleaver,0,0,0,18,3,6,1,-,3,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
13,MJ Guptill,MR Adair,D Cleaver,6,0,6,24,9,7,2,-,3,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
14,MJ Guptill,MR Adair,D Cleaver,1,0,1,25,10,8,3,-,3,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
