,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,AJ Finch,M Theekshana,DA Warner,,0,0,0,0,0,1,1,1,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
1,AJ Finch,M Theekshana,DA Warner,,0,0,0,0,0,2,2,1,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
2,AJ Finch,M Theekshana,DA Warner,"{'by': 'Australia', 'umpire': 'HDPK Dharmasena', 'batter': 'AJ Finch', 'decision': 'upheld'}",0,0,0,0,0,3,3,1,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
3,AJ Finch,M Theekshana,DA Warner,,0,0,0,0,0,4,4,1,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
4,AJ Finch,M Theekshana,DA Warner,,0,0,0,0,0,5,5,1,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
5,AJ Finch,M Theekshana,DA Warner,,2,0,2,2,2,6,6,1,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
6,DA Warner,N Thushara,AJ Finch,,3,0,3,5,3,1,1,2,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
7,AJ Finch,N Thushara,DA Warner,,1,0,1,6,3,7,2,2,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
8,DA Warner,N Thushara,AJ Finch,,4,0,4,10,7,2,3,2,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
9,DA Warner,N Thushara,AJ Finch,,0,0,0,10,7,3,4,2,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
10,DA Warner,N Thushara,AJ Finch,,0,0,0,10,7,4,5,2,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
11,DA Warner,N Thushara,AJ Finch,,1,0,1,11,8,5,6,2,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
12,DA Warner,M Theekshana,AJ Finch,,0,0,0,11,8,6,1,3,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
13,DA Warner,M Theekshana,AJ Finch,,0,0,0,11,8,7,2,3,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
14,DA Warner,M Theekshana,AJ Finch,,0,0,0,11,8,8,3,3,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
15,DA Warner,M Theekshana,AJ Finch,,2,0,2,13,10,9,4,3,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
16,DA Warner,M Theekshana,AJ Finch,,1,0,1,14,11,10,5,3,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
17,AJ Finch,M Theekshana,DA Warner,,0,0,0,14,3,8,6,3,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
