,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,P Nissanka,GJ Maxwell,MD Gunathilaka,1,0,1,1,127,1,1,0,1,0,,,1,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
1,MD Gunathilaka,GJ Maxwell,P Nissanka,0,0,0,1,127,0,1,0,2,0,,,1,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
2,MD Gunathilaka,GJ Maxwell,P Nissanka,0,0,0,1,127,0,2,0,3,0,,,1,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
3,MD Gunathilaka,GJ Maxwell,P Nissanka,4,0,4,5,123,4,3,0,4,0,,,1,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
4,MD Gunathilaka,GJ Maxwell,P Nissanka,0,0,0,5,123,4,4,1,5,caught,MD Gunathilaka,MR Marsh,1,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
5,P Nissanka,GJ Maxwell,KIC Asalanka,0,0,0,5,123,1,2,1,6,0,,,1,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
6,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,5,123,0,1,1,1,0,,,2,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
7,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,5,123,0,2,1,2,0,,,2,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
8,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,5,123,0,3,1,3,0,,,2,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
9,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,5,123,0,4,1,4,0,,,2,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
10,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,5,123,0,5,1,5,0,,,2,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
11,KIC Asalanka,JR Hazlewood,P Nissanka,0,0,0,5,123,0,6,1,6,0,,,2,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
12,P Nissanka,JA Richardson,KIC Asalanka,0,0,0,5,123,1,3,1,1,0,,,3,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
13,P Nissanka,JA Richardson,KIC Asalanka,0,0,0,5,123,1,4,1,2,0,,,3,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
14,P Nissanka,JA Richardson,KIC Asalanka,2,0,2,7,121,3,5,1,3,0,,,3,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
15,P Nissanka,JA Richardson,KIC Asalanka,0,0,0,7,121,3,6,2,4,caught,P Nissanka,MR Marsh,3,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
16,BKG Mendis,JA Richardson,KIC Asalanka,0,0,0,7,121,0,1,2,5,0,,,3,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
17,BKG Mendis,JA Richardson,KIC Asalanka,0,0,0,7,121,0,2,2,6,0,,,3,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
18,KIC Asalanka,JR Hazlewood,BKG Mendis,0,0,0,7,121,0,7,2,1,0,,,4,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
19,KIC Asalanka,JR Hazlewood,BKG Mendis,1,0,1,8,120,1,8,2,2,0,,,4,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
20,BKG Mendis,JR Hazlewood,KIC Asalanka,0,0,0,8,120,0,3,2,3,0,,,4,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
21,BKG Mendis,JR Hazlewood,KIC Asalanka,1,0,1,9,119,1,4,2,4,0,,,4,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
22,KIC Asalanka,JR Hazlewood,BKG Mendis,1,0,1,10,118,2,9,2,5,0,,,4,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
23,BKG Mendis,JR Hazlewood,KIC Asalanka,2,0,2,12,116,3,5,2,6,0,,,4,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
24,KIC Asalanka,JA Richardson,BKG Mendis,6,0,6,18,110,8,10,2,1,0,,,5,0,field,Australia,1,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Sri Lanka,Australia
