,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,DA Warner,KR Mayers,C Green,0,0,0,0,145,0,1,0,1,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
1,DA Warner,KR Mayers,C Green,4,0,4,4,141,4,2,0,2,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
2,DA Warner,KR Mayers,C Green,4,0,4,8,137,8,3,0,3,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
3,DA Warner,KR Mayers,C Green,0,0,0,8,137,8,4,0,4,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
4,DA Warner,KR Mayers,C Green,0,0,0,8,137,8,5,0,5,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
5,DA Warner,KR Mayers,C Green,0,0,0,8,137,8,6,0,6,1,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
6,C Green,AS Joseph,DA Warner,1,0,1,9,136,1,1,0,1,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
7,DA Warner,AS Joseph,C Green,1,0,1,10,135,9,7,0,2,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
8,C Green,AS Joseph,DA Warner,0,0,0,10,135,1,2,0,3,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
9,C Green,AS Joseph,DA Warner,0,0,0,10,135,1,3,0,4,2,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
10,C Green,AS Joseph,DA Warner,0,0,0,10,135,1,4,1,5,2,-,caught,C Green,JO Holder,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
11,AJ Finch,AS Joseph,DA Warner,0,1,1,11,134,0,1,1,6,2,legbyes,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
12,AJ Finch,KR Mayers,DA Warner,0,1,1,12,133,0,2,1,1,3,legbyes,0,,,"{'by': 'West Indies', 'umpire': 'SJ Nogajski', 'batter': 'AJ Finch', 'decision': 'struck down'}",field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
13,DA Warner,KR Mayers,AJ Finch,2,0,2,14,131,11,8,1,2,3,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
14,DA Warner,KR Mayers,AJ Finch,4,0,4,18,127,15,9,1,3,3,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
15,DA Warner,KR Mayers,AJ Finch,0,1,1,19,126,15,10,1,4,3,wides,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
16,DA Warner,KR Mayers,AJ Finch,0,0,0,19,126,15,11,1,5,3,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
17,DA Warner,KR Mayers,AJ Finch,2,0,2,21,124,17,12,1,6,3,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
18,DA Warner,KR Mayers,AJ Finch,2,0,2,23,122,19,13,1,7,3,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
19,AJ Finch,JO Holder,DA Warner,0,1,1,24,121,0,3,1,1,4,wides,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
20,AJ Finch,JO Holder,DA Warner,0,0,0,24,121,0,4,1,2,4,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
21,AJ Finch,JO Holder,DA Warner,0,0,0,24,121,0,5,1,3,4,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
22,AJ Finch,JO Holder,DA Warner,1,0,1,25,120,1,6,1,4,4,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
23,DA Warner,JO Holder,AJ Finch,6,0,6,31,114,25,14,1,5,4,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
24,DA Warner,JO Holder,AJ Finch,0,0,0,31,114,25,15,1,6,4,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
25,DA Warner,JO Holder,AJ Finch,0,0,0,31,114,25,16,1,7,4,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
26,AJ Finch,OC McCoy,DA Warner,0,0,0,31,114,1,7,1,1,5,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
27,AJ Finch,OC McCoy,DA Warner,0,0,0,31,114,1,8,1,2,5,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
28,AJ Finch,OC McCoy,DA Warner,0,0,0,31,114,1,9,1,3,5,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
29,AJ Finch,OC McCoy,DA Warner,1,0,1,32,113,2,10,1,4,5,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
30,DA Warner,OC McCoy,AJ Finch,0,0,0,32,113,25,17,1,5,5,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
31,DA Warner,OC McCoy,AJ Finch,4,0,4,36,109,29,18,1,6,5,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
32,AJ Finch,AS Joseph,DA Warner,1,0,1,37,108,3,11,1,1,6,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
33,DA Warner,AS Joseph,AJ Finch,4,0,4,41,104,33,19,1,2,6,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
34,DA Warner,AS Joseph,AJ Finch,0,0,0,41,104,33,20,1,3,6,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
35,DA Warner,AS Joseph,AJ Finch,4,0,4,45,100,37,21,1,4,6,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
36,DA Warner,AS Joseph,AJ Finch,0,0,0,45,100,37,22,1,5,6,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
37,DA Warner,AS Joseph,AJ Finch,0,0,0,45,100,37,23,1,6,6,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
38,AJ Finch,AJ Hosein,DA Warner,1,0,1,46,99,4,12,1,1,7,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
39,DA Warner,AJ Hosein,AJ Finch,1,0,1,47,98,38,24,1,2,7,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
40,AJ Finch,AJ Hosein,DA Warner,1,0,1,48,97,5,13,1,3,7,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
41,DA Warner,AJ Hosein,AJ Finch,4,0,4,52,93,42,25,1,4,7,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
42,DA Warner,AJ Hosein,AJ Finch,1,0,1,53,92,43,26,1,5,7,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
43,AJ Finch,AJ Hosein,DA Warner,0,0,0,53,92,5,14,1,6,7,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
44,DA Warner,OF Smith,AJ Finch,0,0,0,53,92,43,27,1,1,8,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
45,DA Warner,OF Smith,AJ Finch,4,0,4,57,88,47,28,1,2,8,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
46,DA Warner,OF Smith,AJ Finch,2,0,2,59,86,49,29,1,3,8,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
47,DA Warner,OF Smith,AJ Finch,0,0,0,59,86,49,30,1,4,8,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
48,DA Warner,OF Smith,AJ Finch,1,0,1,60,85,50,31,1,5,8,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
49,AJ Finch,OF Smith,DA Warner,2,0,2,62,83,7,15,1,6,8,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
50,DA Warner,Y Cariah,AJ Finch,6,0,6,68,77,56,32,1,1,9,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
51,DA Warner,Y Cariah,AJ Finch,1,0,1,69,76,57,33,1,2,9,-,0,,,,field,West Indies,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,Australia,West Indies
