,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,KR Mayers,MA Starc,J Charles,0,0,0,0,178,0,1,0,1,0,,,0,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
1,KR Mayers,MA Starc,J Charles,0,0,0,0,178,0,2,0,2,0,,,0,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
2,KR Mayers,MA Starc,J Charles,0,0,0,0,178,0,3,0,3,0,,,0,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
3,KR Mayers,MA Starc,J Charles,6,0,6,6,172,6,4,0,4,0,,,0,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
4,KR Mayers,MA Starc,J Charles,0,0,0,6,172,6,5,1,5,caught and bowled,KR Mayers,,0,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
5,BA King,MA Starc,J Charles,0,0,0,6,172,0,1,1,6,0,,,0,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
6,J Charles,JR Hazlewood,BA King,0,0,0,6,172,0,1,1,1,0,,,1,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
7,J Charles,JR Hazlewood,BA King,0,1,1,7,171,0,2,1,2,0,,,1,legbyes,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
8,BA King,JR Hazlewood,J Charles,0,0,0,7,171,0,2,1,3,0,,,1,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
9,BA King,JR Hazlewood,J Charles,0,0,0,7,171,0,3,1,4,0,,,1,-,,field,West Indies,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,10,Australia_West Indies_2022-10-07,Australia,West Indies,Australia,147
