,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,DA Warner,CR Woakes,C Green,0,0,0,0,208,0,1,0,1,1,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
1,DA Warner,CR Woakes,C Green,2,0,2,2,206,2,2,0,2,1,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
2,DA Warner,CR Woakes,C Green,6,0,6,8,200,8,3,0,3,1,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
3,DA Warner,CR Woakes,C Green,4,0,4,12,196,12,4,0,4,1,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
4,DA Warner,CR Woakes,C Green,1,0,1,13,195,13,5,0,5,1,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
5,C Green,CR Woakes,DA Warner,1,0,1,14,194,1,1,0,6,1,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
6,C Green,RJW Topley,DA Warner,0,1,1,15,193,1,2,0,1,2,,wides,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
7,C Green,RJW Topley,DA Warner,0,0,0,15,193,1,3,1,2,2,"{'by': 'England', 'umpire': 'DM Koch', 'batter': 'C Green', 'decision': 'upheld'}",-,caught,C Green,JC Buttler,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
8,MR Marsh,RJW Topley,DA Warner,0,0,0,15,193,0,1,1,3,2,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
9,MR Marsh,RJW Topley,DA Warner,0,1,1,16,192,0,2,1,4,2,,wides,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
10,MR Marsh,RJW Topley,DA Warner,0,0,0,16,192,0,3,1,5,2,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
11,MR Marsh,RJW Topley,DA Warner,0,0,0,16,192,0,4,1,6,2,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
12,MR Marsh,RJW Topley,DA Warner,1,0,1,17,191,1,5,1,7,2,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
13,DA Warner,RJW Topley,MR Marsh,3,0,3,20,188,16,6,1,8,2,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
14,DA Warner,CR Woakes,MR Marsh,1,0,1,21,187,17,7,1,1,3,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
15,MR Marsh,CR Woakes,DA Warner,6,0,6,27,181,7,6,1,2,3,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
16,MR Marsh,CR Woakes,DA Warner,0,0,0,27,181,7,7,1,3,3,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
17,MR Marsh,CR Woakes,DA Warner,0,0,0,27,181,7,8,1,4,3,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
18,MR Marsh,CR Woakes,DA Warner,0,1,1,28,180,7,9,1,5,3,,legbyes,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
19,DA Warner,CR Woakes,MR Marsh,0,0,0,28,180,17,8,1,6,3,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
20,MR Marsh,MA Wood,DA Warner,0,0,0,28,180,7,10,1,1,4,,-,0,,,field,Australia,2,Perth Stadium,2022,10,England_Australia_2022-10-09,England,Australia,England,200
