,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,OC McCoy,SA Yadav,0,0,0,0,0,1,1,1,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
1,RG Sharma,OC McCoy,SA Yadav,0,0,0,0,0,2,2,1,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
2,RG Sharma,OC McCoy,SA Yadav,1,0,1,1,1,3,3,1,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
3,SA Yadav,OC McCoy,RG Sharma,0,0,0,1,0,1,4,1,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
4,SA Yadav,OC McCoy,RG Sharma,4,0,4,5,4,2,5,1,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
5,SA Yadav,OC McCoy,RG Sharma,0,0,0,5,4,3,6,1,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
6,RG Sharma,JO Holder,SA Yadav,6,0,6,11,7,4,1,2,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
7,RG Sharma,JO Holder,SA Yadav,1,0,1,12,8,5,2,2,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
8,SA Yadav,JO Holder,RG Sharma,4,0,4,16,8,4,3,2,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
9,SA Yadav,JO Holder,RG Sharma,1,0,1,17,9,5,4,2,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
10,RG Sharma,JO Holder,SA Yadav,1,0,1,18,9,6,5,2,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
11,SA Yadav,JO Holder,RG Sharma,0,1,1,19,9,6,6,2,{'wides': 1},wides,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
12,SA Yadav,JO Holder,RG Sharma,1,0,1,20,10,7,7,2,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
13,SA Yadav,AJ Hosein,RG Sharma,0,0,0,20,10,8,1,3,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
14,SA Yadav,AJ Hosein,RG Sharma,0,0,0,20,10,9,2,3,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
15,SA Yadav,AJ Hosein,RG Sharma,0,0,0,20,10,10,3,3,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
16,SA Yadav,AJ Hosein,RG Sharma,1,0,1,21,11,11,4,3,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
17,RG Sharma,AJ Hosein,SA Yadav,0,0,0,21,9,7,5,3,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
18,RG Sharma,AJ Hosein,SA Yadav,4,0,4,25,13,8,6,3,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
19,SA Yadav,AS Joseph,RG Sharma,2,0,2,27,13,12,1,4,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
20,SA Yadav,AS Joseph,RG Sharma,6,0,6,33,19,13,2,4,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
21,SA Yadav,AS Joseph,RG Sharma,0,4,4,37,19,14,3,4,{'byes': 4},byes,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
22,SA Yadav,AS Joseph,RG Sharma,1,0,1,38,20,15,4,4,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
23,RG Sharma,AS Joseph,SA Yadav,1,0,1,39,14,9,5,4,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
24,SA Yadav,AS Joseph,RG Sharma,4,0,4,43,24,16,6,4,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
25,RG Sharma,AJ Hosein,SA Yadav,0,0,0,43,14,10,1,5,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
26,RG Sharma,AJ Hosein,SA Yadav,0,0,0,43,14,11,2,5,,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2022-07-29,India,West Indies
