,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,KR Mayers,B Kumar,SSJ Brooks,0,0,0,0,190,0,1,0,1,1,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
1,KR Mayers,B Kumar,SSJ Brooks,4,0,4,4,186,4,2,0,2,1,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
2,KR Mayers,B Kumar,SSJ Brooks,1,0,1,5,185,5,3,0,3,1,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
3,SSJ Brooks,B Kumar,KR Mayers,2,0,2,7,183,2,1,0,4,1,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
4,SSJ Brooks,B Kumar,KR Mayers,4,0,4,11,179,6,2,0,5,1,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
5,SSJ Brooks,B Kumar,KR Mayers,0,0,0,11,179,6,3,0,6,1,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
6,KR Mayers,Arshdeep Singh,SSJ Brooks,6,0,6,17,173,11,4,0,1,2,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
7,KR Mayers,Arshdeep Singh,SSJ Brooks,0,1,1,18,172,11,5,0,2,2,wides,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
8,KR Mayers,Arshdeep Singh,SSJ Brooks,4,0,4,22,168,15,6,0,3,2,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
9,KR Mayers,Arshdeep Singh,SSJ Brooks,0,0,0,22,168,15,7,1,4,2,-,caught,KR Mayers,B Kumar,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
10,JO Holder,Arshdeep Singh,SSJ Brooks,0,0,0,22,168,0,1,1,5,2,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
11,JO Holder,Arshdeep Singh,SSJ Brooks,0,0,0,22,168,0,2,1,6,2,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
12,JO Holder,Arshdeep Singh,SSJ Brooks,0,0,0,22,168,0,3,1,7,2,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
13,SSJ Brooks,RA Jadeja,JO Holder,0,0,0,22,168,6,4,1,1,3,-,0,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2022,07,India_West Indies_2022-07-29,India,West Indies,India,122
