,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,BA King,DJ Hooda,KR Mayers,0,0,0,0,138,0,1,0,1,1,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
1,BA King,DJ Hooda,KR Mayers,1,0,1,1,137,1,2,0,2,1,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
2,KR Mayers,DJ Hooda,BA King,0,0,0,1,137,0,1,0,3,1,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
3,KR Mayers,DJ Hooda,BA King,0,0,0,1,137,0,2,0,4,1,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
4,KR Mayers,DJ Hooda,BA King,0,0,0,1,137,0,3,0,5,1,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
5,KR Mayers,DJ Hooda,BA King,0,0,0,1,137,0,4,0,6,1,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
6,BA King,B Kumar,KR Mayers,0,0,0,1,137,1,3,0,1,2,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
7,BA King,B Kumar,KR Mayers,0,0,0,1,137,1,4,0,2,2,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
8,BA King,B Kumar,KR Mayers,2,0,2,3,135,3,5,0,3,2,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
9,BA King,B Kumar,KR Mayers,0,0,0,3,135,3,6,0,4,2,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
10,BA King,B Kumar,KR Mayers,4,0,4,7,131,7,7,0,5,2,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
11,BA King,B Kumar,KR Mayers,0,0,0,7,131,7,8,0,6,2,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
12,KR Mayers,Avesh Khan,BA King,0,0,0,7,131,0,5,0,1,3,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
13,KR Mayers,Avesh Khan,BA King,4,0,4,11,127,4,6,0,2,3,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
14,KR Mayers,Avesh Khan,BA King,6,0,6,17,121,10,7,0,3,3,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
15,KR Mayers,Avesh Khan,BA King,2,0,2,19,119,12,8,0,4,3,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
16,KR Mayers,Avesh Khan,BA King,1,0,1,20,118,13,9,0,5,3,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
17,BA King,Avesh Khan,KR Mayers,2,0,2,22,116,9,9,0,6,3,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
18,KR Mayers,B Kumar,BA King,2,0,2,24,114,15,10,0,1,4,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
19,KR Mayers,B Kumar,BA King,4,0,4,28,110,19,11,0,2,4,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
20,KR Mayers,B Kumar,BA King,0,0,0,28,110,19,12,0,3,4,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
21,KR Mayers,B Kumar,BA King,4,0,4,32,106,23,13,0,4,4,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
22,KR Mayers,B Kumar,BA King,0,0,0,32,106,23,14,0,5,4,"{'by': 'India', 'umpire': 'N Duguid', 'batter': 'KR Mayers', 'decision': 'struck down'}",-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
23,KR Mayers,B Kumar,BA King,0,0,0,32,106,23,15,0,6,4,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
24,BA King,HH Pandya,KR Mayers,1,0,1,33,105,10,10,0,1,5,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
25,KR Mayers,HH Pandya,BA King,6,0,6,39,99,29,16,0,2,5,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
26,KR Mayers,HH Pandya,BA King,0,0,0,39,99,29,17,0,3,5,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
27,KR Mayers,HH Pandya,BA King,0,1,1,40,98,29,18,0,4,5,,legbyes,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
28,BA King,HH Pandya,KR Mayers,1,0,1,41,97,11,11,0,5,5,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
29,KR Mayers,HH Pandya,BA King,0,0,0,41,97,29,19,0,6,5,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
30,BA King,Arshdeep Singh,KR Mayers,0,0,0,41,97,11,12,0,1,6,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
31,BA King,Arshdeep Singh,KR Mayers,0,0,0,41,97,11,13,0,2,6,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
32,BA King,Arshdeep Singh,KR Mayers,0,0,0,41,97,11,14,0,3,6,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
33,BA King,Arshdeep Singh,KR Mayers,0,0,0,41,97,11,15,0,4,6,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
34,BA King,Arshdeep Singh,KR Mayers,4,0,4,45,93,15,16,0,5,6,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
35,BA King,Arshdeep Singh,KR Mayers,0,0,0,45,93,15,17,0,6,6,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
36,KR Mayers,R Ashwin,BA King,4,0,4,49,89,33,20,0,1,7,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
37,KR Mayers,R Ashwin,BA King,1,0,1,50,88,34,21,0,2,7,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
38,BA King,R Ashwin,KR Mayers,4,0,4,54,84,19,18,0,3,7,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
39,BA King,R Ashwin,KR Mayers,1,0,1,55,83,20,19,0,4,7,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
40,KR Mayers,R Ashwin,BA King,0,0,0,55,83,34,22,0,5,7,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
41,KR Mayers,R Ashwin,BA King,1,0,1,56,82,35,23,0,6,7,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
42,KR Mayers,HH Pandya,BA King,1,0,1,57,81,36,24,0,1,8,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
43,BA King,HH Pandya,KR Mayers,0,0,0,57,81,20,20,1,2,8,,-,bowled,BA King,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
44,N Pooran,HH Pandya,KR Mayers,1,0,1,58,80,1,1,1,3,8,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
45,KR Mayers,HH Pandya,N Pooran,1,0,1,59,79,37,25,1,4,8,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
46,N Pooran,HH Pandya,KR Mayers,1,0,1,60,78,2,2,1,5,8,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
47,KR Mayers,HH Pandya,N Pooran,1,0,1,61,77,38,26,1,6,8,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
48,KR Mayers,R Ashwin,N Pooran,1,0,1,62,76,39,27,1,1,9,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
49,N Pooran,R Ashwin,KR Mayers,0,0,0,62,76,2,3,1,2,9,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
50,N Pooran,R Ashwin,KR Mayers,0,0,0,62,76,2,4,1,3,9,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
51,N Pooran,R Ashwin,KR Mayers,0,0,0,62,76,2,5,1,4,9,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
52,N Pooran,R Ashwin,KR Mayers,1,0,1,63,75,3,6,1,5,9,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
53,KR Mayers,R Ashwin,N Pooran,0,0,0,63,75,39,28,1,6,9,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
54,N Pooran,HH Pandya,KR Mayers,0,0,0,63,75,3,7,1,1,10,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
55,N Pooran,HH Pandya,KR Mayers,0,1,1,64,74,3,8,1,2,10,,legbyes,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
56,KR Mayers,HH Pandya,N Pooran,0,0,0,64,74,39,29,1,3,10,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
57,KR Mayers,HH Pandya,N Pooran,0,0,0,64,74,39,30,1,4,10,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
58,KR Mayers,HH Pandya,N Pooran,0,0,0,64,74,39,31,1,5,10,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
59,KR Mayers,HH Pandya,N Pooran,1,0,1,65,73,40,32,1,6,10,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
60,KR Mayers,R Ashwin,N Pooran,1,0,1,66,72,41,33,1,1,11,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
61,N Pooran,R Ashwin,KR Mayers,0,0,0,66,72,3,9,1,2,11,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
62,N Pooran,R Ashwin,KR Mayers,4,0,4,70,68,7,10,1,3,11,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
63,N Pooran,R Ashwin,KR Mayers,0,0,0,70,68,7,11,1,4,11,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
64,N Pooran,R Ashwin,KR Mayers,0,0,0,70,68,7,12,1,5,11,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
65,N Pooran,R Ashwin,KR Mayers,1,0,1,71,67,8,13,1,6,11,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
66,N Pooran,HH Pandya,KR Mayers,0,0,0,71,67,8,14,1,1,12,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
67,N Pooran,HH Pandya,KR Mayers,0,0,0,71,67,8,15,1,2,12,,-,0,,,field,India,1,"Warner Park, Basseterre, St Kitts",2022,08,West Indies_India_2022-08-02,India,West Indies,India
