,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,BA King,B Kumar,{'wides': 1},KR Mayers,0,1,1,1,0,1,1,wides,1,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
1,BA King,B Kumar,,KR Mayers,4,0,4,5,4,2,2,-,1,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
2,BA King,B Kumar,,KR Mayers,0,0,0,5,4,3,3,-,1,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
3,BA King,B Kumar,,KR Mayers,4,0,4,9,8,4,4,-,1,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
4,BA King,B Kumar,,KR Mayers,1,0,1,10,9,5,5,-,1,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
5,KR Mayers,B Kumar,,BA King,4,0,4,14,4,1,6,-,1,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
6,KR Mayers,B Kumar,,BA King,0,0,0,14,4,2,7,-,1,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
7,BA King,Avesh Khan,,KR Mayers,0,0,0,14,9,6,1,-,2,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
8,BA King,Avesh Khan,,KR Mayers,4,0,4,18,13,7,2,-,2,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
9,BA King,Avesh Khan,,KR Mayers,0,0,0,18,13,8,3,-,2,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
10,BA King,Avesh Khan,,KR Mayers,0,0,0,18,13,9,4,-,2,caught and bowled,BA King,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
11,DC Thomas,Avesh Khan,,KR Mayers,0,0,0,18,0,1,5,-,2,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
12,DC Thomas,Avesh Khan,,KR Mayers,0,0,0,18,0,2,6,-,2,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
13,KR Mayers,B Kumar,,DC Thomas,0,0,0,18,4,3,1,-,3,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
14,KR Mayers,B Kumar,,DC Thomas,0,0,0,18,4,4,2,-,3,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
15,KR Mayers,B Kumar,,DC Thomas,1,0,1,19,5,5,3,-,3,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
16,DC Thomas,B Kumar,,KR Mayers,1,0,1,20,1,3,4,-,3,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
17,KR Mayers,B Kumar,,DC Thomas,2,0,2,22,7,6,5,-,3,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
18,KR Mayers,B Kumar,,DC Thomas,0,0,0,22,7,7,6,-,3,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
19,DC Thomas,Avesh Khan,,KR Mayers,0,0,0,22,1,4,1,-,4,caught,DC Thomas,DJ Hooda,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
20,KR Mayers,Avesh Khan,,N Pooran,0,0,0,22,7,8,2,-,4,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
21,KR Mayers,Avesh Khan,,N Pooran,1,0,1,23,8,9,3,-,4,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
22,N Pooran,Avesh Khan,,KR Mayers,1,0,1,24,1,1,4,-,4,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
23,KR Mayers,Avesh Khan,,N Pooran,1,0,1,25,9,10,5,-,4,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
24,N Pooran,Avesh Khan,{'wides': 1},KR Mayers,0,1,1,26,1,2,6,wides,4,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
25,N Pooran,Avesh Khan,,KR Mayers,1,0,1,27,2,3,7,-,4,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
26,N Pooran,AR Patel,,KR Mayers,4,0,4,31,6,4,1,-,5,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
27,N Pooran,AR Patel,,KR Mayers,6,0,6,37,12,5,2,-,5,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
28,N Pooran,AR Patel,,KR Mayers,0,0,0,37,12,6,3,-,5,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
29,N Pooran,AR Patel,,KR Mayers,6,0,6,43,18,7,4,-,5,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
30,N Pooran,AR Patel,,KR Mayers,6,0,6,49,24,8,5,-,5,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
31,N Pooran,AR Patel,,KR Mayers,0,0,0,49,24,9,6,-,5,run out,N Pooran,RR Pant;SV Samson,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
32,KR Mayers,Arshdeep Singh,,R Powell,4,0,4,53,13,11,1,-,6,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
33,KR Mayers,Arshdeep Singh,{'legbyes': 1},R Powell,0,1,1,54,13,12,2,legbyes,6,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
34,R Powell,Arshdeep Singh,,KR Mayers,4,0,4,58,4,1,3,-,6,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
35,R Powell,Arshdeep Singh,,KR Mayers,1,0,1,59,5,2,4,-,6,0,,,,field,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022-08-06,West Indies,India
