,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,JO Holder,AR Patel,SSJ Brooks,0,0,0,0,188,0,1,0,-,1.0,0,,,0,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
1,JO Holder,AR Patel,SSJ Brooks,0,0,0,0,188,0,2,0,-,2.0,0,,,0,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
2,JO Holder,AR Patel,SSJ Brooks,0,0,0,0,188,0,3,1,-,3.0,bowled,JO Holder,,0,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
3,DC Thomas,AR Patel,SSJ Brooks,0,0,0,0,188,0,1,1,-,4.0,0,,,0,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
4,DC Thomas,AR Patel,SSJ Brooks,0,0,0,0,188,0,2,1,-,5.0,0,,,0,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
5,DC Thomas,AR Patel,SSJ Brooks,0,0,0,0,188,0,3,1,-,6.0,0,,,0,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
6,SSJ Brooks,Arshdeep Singh,DC Thomas,0,0,0,0,188,0,1,1,-,1.0,0,,,1,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Medium
7,SSJ Brooks,Arshdeep Singh,DC Thomas,0,0,0,0,188,0,2,1,-,2.0,0,,,1,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Medium
8,SSJ Brooks,Arshdeep Singh,DC Thomas,1,0,1,1,187,1,3,1,-,3.0,0,,,1,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Medium
9,DC Thomas,Arshdeep Singh,SSJ Brooks,4,0,4,5,183,4,4,1,-,4.0,0,,,1,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Medium
10,DC Thomas,Arshdeep Singh,SSJ Brooks,1,0,1,6,182,5,5,1,-,5.0,0,,,1,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Medium
11,SSJ Brooks,Arshdeep Singh,DC Thomas,1,0,1,7,181,2,4,1,-,6.0,0,,,1,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Medium
12,SSJ Brooks,AR Patel,DC Thomas,0,0,0,7,181,2,5,1,-,1.0,0,,,2,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
13,SSJ Brooks,AR Patel,DC Thomas,0,1,1,8,180,2,5,1,wides,1.0,0,,,2,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
14,SSJ Brooks,AR Patel,DC Thomas,0,0,0,8,180,2,6,1,-,2.0,0,,,2,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
15,SSJ Brooks,AR Patel,DC Thomas,0,0,0,8,180,2,7,1,-,3.0,0,,,2,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
16,SSJ Brooks,AR Patel,DC Thomas,1,0,1,9,179,3,8,1,-,4.0,0,,,2,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
17,DC Thomas,AR Patel,SSJ Brooks,0,0,0,9,179,5,6,1,-,5.0,0,,,2,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
18,DC Thomas,AR Patel,SSJ Brooks,0,0,0,9,179,5,7,1,-,6.0,0,,,2,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Orthodox
19,SSJ Brooks,Arshdeep Singh,DC Thomas,1,0,1,10,178,4,9,1,-,1.0,0,,,3,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-07,India,West Indies,India,False,100,Right hand Bat,Right hand Bat,Left arm Medium
