,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,FH Allen,Naseem Shah,DP Conway,0,0,0,0,0,1,1,1,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
1,FH Allen,Naseem Shah,DP Conway,0,0,0,0,0,2,2,1,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
2,FH Allen,Naseem Shah,DP Conway,0,0,0,0,0,3,3,1,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
3,FH Allen,Naseem Shah,DP Conway,2,0,2,2,2,4,4,1,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
4,FH Allen,Naseem Shah,DP Conway,1,0,1,3,3,5,5,1,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
5,DP Conway,Naseem Shah,FH Allen,0,0,0,3,0,1,6,1,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
6,FH Allen,Shahnawaz Dhani,DP Conway,0,0,0,3,3,6,1,2,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
7,FH Allen,Shahnawaz Dhani,DP Conway,1,0,1,4,4,7,2,2,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
8,DP Conway,Shahnawaz Dhani,FH Allen,0,0,0,4,0,2,3,2,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
9,DP Conway,Shahnawaz Dhani,FH Allen,1,0,1,5,1,3,4,2,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
10,FH Allen,Shahnawaz Dhani,DP Conway,0,0,0,5,4,8,5,2,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
11,FH Allen,Shahnawaz Dhani,DP Conway,0,1,1,6,4,9,6,2,wides,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
12,FH Allen,Shahnawaz Dhani,DP Conway,6,0,6,12,10,10,7,2,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
13,DP Conway,Naseem Shah,FH Allen,1,0,1,13,2,4,1,3,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
14,FH Allen,Naseem Shah,DP Conway,1,0,1,14,11,11,2,3,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
15,DP Conway,Naseem Shah,FH Allen,4,0,4,18,6,5,3,3,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
16,DP Conway,Naseem Shah,FH Allen,0,1,1,19,6,6,4,3,wides,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
17,DP Conway,Naseem Shah,FH Allen,0,4,4,23,6,7,5,3,legbyes,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
18,DP Conway,Naseem Shah,FH Allen,1,0,1,24,7,8,6,3,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
19,FH Allen,Naseem Shah,DP Conway,1,0,1,25,12,12,7,3,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
20,FH Allen,Mohammad Wasim,DP Conway,1,0,1,26,13,13,1,4,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
21,DP Conway,Mohammad Wasim,FH Allen,0,1,1,27,7,9,2,4,legbyes,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
22,FH Allen,Mohammad Wasim,DP Conway,4,0,4,31,17,14,3,4,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
23,FH Allen,Mohammad Wasim,DP Conway,1,0,1,32,18,15,4,4,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
24,DP Conway,Mohammad Wasim,FH Allen,1,0,1,33,8,10,5,4,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
25,FH Allen,Mohammad Wasim,DP Conway,1,0,1,34,19,16,6,4,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
26,FH Allen,Shahnawaz Dhani,DP Conway,0,0,0,34,19,17,1,5,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
27,FH Allen,Shahnawaz Dhani,DP Conway,0,0,0,34,19,18,2,5,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
28,FH Allen,Shahnawaz Dhani,DP Conway,0,0,0,34,19,19,3,5,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
29,FH Allen,Shahnawaz Dhani,DP Conway,6,0,6,40,25,20,4,5,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
30,FH Allen,Shahnawaz Dhani,DP Conway,0,0,0,40,25,21,5,5,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
31,FH Allen,Shahnawaz Dhani,DP Conway,6,0,6,46,31,22,6,5,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
32,DP Conway,Mohammad Wasim,FH Allen,0,0,0,46,8,11,1,6,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
33,DP Conway,Mohammad Wasim,FH Allen,2,0,2,48,10,12,2,6,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
34,DP Conway,Mohammad Wasim,FH Allen,0,0,0,48,10,13,3,6,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
35,DP Conway,Mohammad Wasim,FH Allen,0,0,0,48,10,14,4,6,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
36,DP Conway,Mohammad Wasim,FH Allen,4,0,4,52,14,15,5,6,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
37,DP Conway,Mohammad Wasim,FH Allen,0,1,1,53,14,16,6,6,wides,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
38,DP Conway,Mohammad Wasim,FH Allen,4,0,4,57,18,17,7,6,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
39,FH Allen,Shadab Khan,DP Conway,1,0,1,58,32,23,1,7,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
40,DP Conway,Shadab Khan,FH Allen,1,0,1,59,19,18,2,7,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
41,FH Allen,Shadab Khan,DP Conway,0,0,0,59,32,24,3,7,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
42,FH Allen,Shadab Khan,DP Conway,6,0,6,65,38,25,4,7,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
43,FH Allen,Shadab Khan,DP Conway,2,0,2,67,40,26,5,7,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
44,FH Allen,Shadab Khan,DP Conway,1,0,1,68,41,27,6,7,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
45,FH Allen,Mohammad Nawaz,DP Conway,0,0,0,68,41,28,1,8,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
46,FH Allen,Mohammad Nawaz,DP Conway,1,0,1,69,42,29,2,8,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
47,DP Conway,Mohammad Nawaz,FH Allen,2,0,2,71,21,19,3,8,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
48,DP Conway,Mohammad Nawaz,FH Allen,1,0,1,72,22,20,4,8,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
49,FH Allen,Mohammad Nawaz,DP Conway,1,0,1,73,43,30,5,8,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
50,DP Conway,Mohammad Nawaz,FH Allen,1,0,1,74,23,21,6,8,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
51,DP Conway,Shadab Khan,FH Allen,2,0,2,76,25,22,1,9,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
52,DP Conway,Shadab Khan,FH Allen,0,0,0,76,25,23,2,9,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
53,DP Conway,Shadab Khan,FH Allen,0,0,0,76,25,24,3,9,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
54,DP Conway,Shadab Khan,FH Allen,4,0,4,80,29,25,4,9,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
55,DP Conway,Shadab Khan,FH Allen,0,0,0,80,29,26,5,9,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
56,DP Conway,Shadab Khan,FH Allen,1,0,1,81,30,27,6,9,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
57,DP Conway,Iftikhar Ahmed,FH Allen,1,0,1,82,31,28,1,10,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
58,FH Allen,Iftikhar Ahmed,DP Conway,0,3,3,85,43,31,2,10,wides,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
59,FH Allen,Iftikhar Ahmed,DP Conway,2,0,2,87,45,32,3,10,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
60,FH Allen,Iftikhar Ahmed,DP Conway,6,0,6,93,51,33,4,10,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
61,FH Allen,Iftikhar Ahmed,DP Conway,0,0,0,93,51,34,5,10,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
62,FH Allen,Iftikhar Ahmed,DP Conway,1,0,1,94,52,35,6,10,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
63,DP Conway,Iftikhar Ahmed,FH Allen,1,0,1,95,32,29,7,10,-,0,,,bat,Pakistan,2,"Hagley Oval, Christchurch",2022-10-11,New Zealand,Pakistan
