,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Nazmul Hossain Shanto,TA Boult,Liton Das,0,0,0,0,208,0,1,0,1,1,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
1,Nazmul Hossain Shanto,TA Boult,Liton Das,0,0,0,0,208,0,2,0,2,1,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
2,Nazmul Hossain Shanto,TA Boult,Liton Das,1,0,1,1,207,1,3,0,3,1,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
3,Liton Das,TA Boult,Nazmul Hossain Shanto,0,0,0,1,207,0,1,0,4,1,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
4,Liton Das,TA Boult,Nazmul Hossain Shanto,0,0,0,1,207,0,2,0,5,1,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
5,Liton Das,TA Boult,Nazmul Hossain Shanto,1,0,1,2,206,1,3,0,6,1,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
6,Liton Das,TG Southee,Nazmul Hossain Shanto,0,1,1,3,205,1,4,0,1,2,wides,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
7,Liton Das,TG Southee,Nazmul Hossain Shanto,0,0,0,3,205,1,5,0,2,2,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
8,Liton Das,TG Southee,Nazmul Hossain Shanto,4,0,4,7,201,5,6,0,3,2,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
9,Liton Das,TG Southee,Nazmul Hossain Shanto,1,0,1,8,200,6,7,0,4,2,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
10,Nazmul Hossain Shanto,TG Southee,Liton Das,0,0,0,8,200,1,4,0,5,2,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
11,Nazmul Hossain Shanto,TG Southee,Liton Das,4,0,4,12,196,5,5,0,6,2,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
12,Nazmul Hossain Shanto,TG Southee,Liton Das,0,0,0,12,196,5,6,0,7,2,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
