,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,FH Allen,Naseem Shah,DP Conway,0,0,0,0,0,1,1,0,,,1,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
1,FH Allen,Naseem Shah,DP Conway,4,0,4,4,4,2,2,0,,,1,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
2,FH Allen,Naseem Shah,DP Conway,0,0,0,4,4,3,3,0,,,1,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
3,FH Allen,Naseem Shah,DP Conway,4,0,4,8,8,4,4,0,,,1,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
4,FH Allen,Naseem Shah,DP Conway,4,0,4,12,12,5,5,0,,,1,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
5,FH Allen,Naseem Shah,DP Conway,0,0,0,12,12,6,6,caught,FH Allen,Mohammad Nawaz,1,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
6,DP Conway,Haris Rauf,KS Williamson,0,0,0,12,0,1,1,0,,,2,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
7,DP Conway,Haris Rauf,KS Williamson,0,1,1,13,0,2,2,0,,,2,wides,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
8,DP Conway,Haris Rauf,KS Williamson,0,0,0,13,0,3,3,0,,,2,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
9,DP Conway,Haris Rauf,KS Williamson,1,0,1,14,1,4,4,0,,,2,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
10,KS Williamson,Haris Rauf,DP Conway,4,0,4,18,4,1,5,0,,,2,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
11,KS Williamson,Haris Rauf,DP Conway,4,0,4,22,8,2,6,0,,,2,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
12,KS Williamson,Haris Rauf,DP Conway,0,0,0,22,8,3,7,0,,,2,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
13,DP Conway,Mohammad Wasim,KS Williamson,4,0,4,26,5,5,1,0,,,3,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
14,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,26,5,6,2,0,,,3,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
15,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,26,5,7,3,0,,,3,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
16,DP Conway,Mohammad Wasim,KS Williamson,4,0,4,30,9,8,4,0,,,3,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
17,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,30,9,9,5,0,,,3,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
18,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,30,9,10,6,0,,,3,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
19,KS Williamson,Naseem Shah,DP Conway,4,0,4,34,12,4,1,0,,,4,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
20,KS Williamson,Naseem Shah,DP Conway,4,0,4,38,16,5,2,0,,,4,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
21,KS Williamson,Naseem Shah,DP Conway,0,0,0,38,16,6,3,0,,,4,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
22,KS Williamson,Naseem Shah,DP Conway,0,0,0,38,16,7,4,0,,,4,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
23,KS Williamson,Naseem Shah,DP Conway,3,0,3,41,19,8,5,0,,,4,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
24,DP Conway,Naseem Shah,KS Williamson,1,0,1,42,10,11,6,0,,,4,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
25,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,42,10,12,1,0,,,5,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
26,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,42,10,13,2,0,,,5,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
27,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,42,10,14,3,0,,,5,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
28,DP Conway,Mohammad Wasim,KS Williamson,2,0,2,44,12,15,4,0,,,5,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
29,DP Conway,Mohammad Wasim,KS Williamson,2,0,2,46,14,16,5,0,,,5,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
30,DP Conway,Mohammad Wasim,KS Williamson,0,0,0,46,14,17,6,0,,,5,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
31,KS Williamson,Haris Rauf,DP Conway,1,0,1,47,20,9,1,0,,,6,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
32,DP Conway,Haris Rauf,KS Williamson,0,0,0,47,14,18,2,bowled,DP Conway,,6,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
33,GD Phillips,Haris Rauf,KS Williamson,2,0,2,49,2,1,3,0,,,6,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
34,GD Phillips,Haris Rauf,KS Williamson,0,0,0,49,2,2,4,0,,,6,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
35,GD Phillips,Haris Rauf,KS Williamson,0,0,0,49,2,3,5,0,,,6,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
36,GD Phillips,Haris Rauf,KS Williamson,2,0,2,51,4,4,6,0,,,6,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
37,KS Williamson,Shadab Khan,GD Phillips,1,0,1,52,21,10,1,0,,,7,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
38,GD Phillips,Shadab Khan,KS Williamson,2,0,2,54,6,5,2,0,,,7,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
39,GD Phillips,Shadab Khan,KS Williamson,1,0,1,55,7,6,3,0,,,7,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
40,KS Williamson,Shadab Khan,GD Phillips,1,0,1,56,22,11,4,0,,,7,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
41,GD Phillips,Shadab Khan,KS Williamson,1,0,1,57,8,7,5,0,,,7,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
42,KS Williamson,Shadab Khan,GD Phillips,1,0,1,58,23,12,6,0,,,7,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
43,KS Williamson,Mohammad Nawaz,GD Phillips,1,0,1,59,24,13,1,0,,,8,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
44,GD Phillips,Mohammad Nawaz,KS Williamson,0,0,0,59,8,8,2,0,,,8,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
45,GD Phillips,Mohammad Nawaz,KS Williamson,1,0,1,60,9,9,3,0,,,8,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
46,KS Williamson,Mohammad Nawaz,GD Phillips,1,0,1,61,25,14,4,0,,,8,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
47,GD Phillips,Mohammad Nawaz,KS Williamson,1,0,1,62,10,10,5,0,,,8,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
48,KS Williamson,Mohammad Nawaz,GD Phillips,1,0,1,63,26,15,6,0,,,8,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
49,KS Williamson,Shadab Khan,GD Phillips,1,0,1,64,27,16,1,0,,,9,-,field,Pakistan,1,"Hagley Oval, Christchurch",2022-10-14,New Zealand,Pakistan
