,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,CJ Bowes,CAK Rajitha,TL Seifert,0,0,0,0,182,0,1,0,1,1,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
1,CJ Bowes,CAK Rajitha,TL Seifert,0,0,0,0,182,0,2,0,2,1,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
2,CJ Bowes,CAK Rajitha,TL Seifert,1,0,1,1,181,1,3,0,3,1,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
3,TL Seifert,CAK Rajitha,CJ Bowes,1,0,1,2,180,1,1,0,4,1,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
4,CJ Bowes,CAK Rajitha,TL Seifert,1,0,1,3,179,2,4,0,5,1,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
5,TL Seifert,CAK Rajitha,CJ Bowes,6,0,6,9,173,7,2,0,6,1,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
6,CJ Bowes,M Theekshana,TL Seifert,4,0,4,13,169,6,5,0,1,2,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
7,CJ Bowes,M Theekshana,TL Seifert,2,0,2,15,167,8,6,0,2,2,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
8,CJ Bowes,M Theekshana,TL Seifert,0,0,0,15,167,8,7,0,3,2,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
9,CJ Bowes,M Theekshana,TL Seifert,0,0,0,15,167,8,8,0,4,2,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
10,CJ Bowes,M Theekshana,TL Seifert,0,0,0,15,167,8,9,0,5,2,"{'by': 'Sri Lanka', 'umpire': 'CM Brown', 'batter': 'CJ Bowes', 'decision': 'struck down', 'type': 'wicket'}",-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
11,CJ Bowes,M Theekshana,TL Seifert,1,0,1,16,166,9,10,0,6,2,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
12,CJ Bowes,PM Liyanagamage,TL Seifert,1,0,1,17,165,10,11,0,1,3,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
13,TL Seifert,PM Liyanagamage,CJ Bowes,1,0,1,18,164,8,3,0,2,3,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
14,CJ Bowes,PM Liyanagamage,TL Seifert,1,0,1,19,163,11,12,0,3,3,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
15,TL Seifert,PM Liyanagamage,CJ Bowes,4,0,4,23,159,12,4,0,4,3,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
16,TL Seifert,PM Liyanagamage,CJ Bowes,1,0,1,24,158,13,5,0,5,3,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
17,CJ Bowes,PM Liyanagamage,TL Seifert,4,0,4,28,154,15,13,0,6,3,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
18,TL Seifert,CBRLS Kumara,CJ Bowes,4,0,4,32,150,17,6,0,1,4,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
19,TL Seifert,CBRLS Kumara,CJ Bowes,4,0,4,36,146,21,7,0,2,4,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
20,TL Seifert,CBRLS Kumara,CJ Bowes,0,0,0,36,146,21,8,0,3,4,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
21,TL Seifert,CBRLS Kumara,CJ Bowes,1,0,1,37,145,22,9,0,4,4,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
22,CJ Bowes,CBRLS Kumara,TL Seifert,1,0,1,38,144,16,14,0,5,4,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
23,TL Seifert,CBRLS Kumara,CJ Bowes,1,0,1,39,143,23,10,0,6,4,,-,0,,,field,New Zealand,2,"John Davies Oval, Queenstown",2023,04,Sri Lanka_New Zealand_2023-04-08,New Zealand,New Zealand,Sri Lanka
