,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,PD Salt,Mohammad Hasnain,AD Hales,1,0,1,1,157,1,1,0,1,1,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
1,AD Hales,Mohammad Hasnain,PD Salt,0,0,0,1,157,0,1,0,2,1,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
2,AD Hales,Mohammad Hasnain,PD Salt,1,0,1,2,156,1,2,0,3,1,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
3,PD Salt,Mohammad Hasnain,AD Hales,0,0,0,2,156,1,2,0,4,1,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
4,PD Salt,Mohammad Hasnain,AD Hales,1,0,1,3,155,2,3,0,5,1,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
5,AD Hales,Mohammad Hasnain,PD Salt,0,0,0,3,155,1,3,0,6,1,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
6,PD Salt,Mohammad Nawaz,AD Hales,6,0,6,9,149,8,4,0,1,2,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
7,PD Salt,Mohammad Nawaz,AD Hales,0,0,0,9,149,8,5,0,2,2,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
8,PD Salt,Mohammad Nawaz,AD Hales,1,0,1,10,148,9,6,0,3,2,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
9,AD Hales,Mohammad Nawaz,PD Salt,0,0,0,10,148,1,4,0,4,2,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
10,AD Hales,Mohammad Nawaz,PD Salt,2,0,2,12,146,3,5,0,5,2,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
11,AD Hales,Mohammad Nawaz,PD Salt,1,0,1,13,145,4,6,0,6,2,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
12,AD Hales,Mohammad Hasnain,PD Salt,0,0,0,13,145,4,7,0,1,3,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
13,AD Hales,Mohammad Hasnain,PD Salt,0,0,0,13,145,4,8,0,2,3,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
14,AD Hales,Mohammad Hasnain,PD Salt,0,0,0,13,145,4,9,0,3,3,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
15,AD Hales,Mohammad Hasnain,PD Salt,4,0,4,17,141,8,10,0,4,3,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
16,AD Hales,Mohammad Hasnain,PD Salt,6,0,6,23,135,14,11,0,5,3,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
17,AD Hales,Mohammad Hasnain,PD Salt,1,0,1,24,134,15,12,0,6,3,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
18,AD Hales,Shahnawaz Dhani,PD Salt,1,0,1,25,133,16,13,0,1,4,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
19,PD Salt,Shahnawaz Dhani,AD Hales,1,0,1,26,132,10,7,0,2,4,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
20,AD Hales,Shahnawaz Dhani,PD Salt,0,0,0,26,132,16,14,0,3,4,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
21,AD Hales,Shahnawaz Dhani,PD Salt,4,0,4,30,128,20,15,0,4,4,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
22,AD Hales,Shahnawaz Dhani,PD Salt,1,0,1,31,127,21,16,0,5,4,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
23,PD Salt,Shahnawaz Dhani,AD Hales,1,0,1,32,126,11,8,0,6,4,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
24,PD Salt,Haris Rauf,AD Hales,4,0,4,36,122,15,9,0,1,5,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
25,PD Salt,Haris Rauf,AD Hales,1,0,1,37,121,16,10,0,2,5,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
26,AD Hales,Haris Rauf,PD Salt,0,0,0,37,121,21,17,0,3,5,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
27,AD Hales,Haris Rauf,PD Salt,0,0,0,37,121,21,18,0,4,5,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
28,AD Hales,Haris Rauf,PD Salt,4,0,4,41,117,25,19,0,5,5,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
29,AD Hales,Haris Rauf,PD Salt,1,0,1,42,116,26,20,0,6,5,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
30,AD Hales,Shahnawaz Dhani,PD Salt,0,0,0,42,116,26,21,1,1,6,bowled,AD Hales,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
31,DJ Malan,Shahnawaz Dhani,PD Salt,0,0,0,42,116,0,1,2,2,6,bowled,DJ Malan,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
32,BM Duckett,Shahnawaz Dhani,PD Salt,0,0,0,42,116,0,1,2,3,6,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
33,BM Duckett,Shahnawaz Dhani,PD Salt,2,0,2,44,114,2,2,2,4,6,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
34,BM Duckett,Shahnawaz Dhani,PD Salt,0,0,0,44,114,2,3,2,5,6,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
35,BM Duckett,Shahnawaz Dhani,PD Salt,4,0,4,48,110,6,4,2,6,6,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
36,PD Salt,Usman Qadir,BM Duckett,2,0,2,50,108,18,11,2,1,7,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
37,PD Salt,Usman Qadir,BM Duckett,1,0,1,51,107,19,12,2,2,7,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
38,BM Duckett,Usman Qadir,PD Salt,0,0,0,51,107,6,5,2,3,7,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
39,BM Duckett,Usman Qadir,PD Salt,1,0,1,52,106,7,6,2,4,7,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
40,PD Salt,Usman Qadir,BM Duckett,0,0,0,52,106,19,13,2,5,7,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
41,PD Salt,Usman Qadir,BM Duckett,1,0,1,53,105,20,14,2,6,7,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
42,PD Salt,Mohammad Nawaz,BM Duckett,1,0,1,54,104,21,15,2,1,8,0,,,,-,bat,England,1,"National Stadium, Karachi",2022,09,England_Pakistan_2022-09-22,Pakistan,England,Pakistan,199
