,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,PD Salt,Mohammad Nawaz,AD Hales,2,0,2,2,2,1,1,-,1,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
1,PD Salt,Mohammad Nawaz,AD Hales,4,0,4,6,6,2,2,-,1,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
2,PD Salt,Mohammad Nawaz,AD Hales,0,1,1,7,6,3,3,legbyes,1,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
3,AD Hales,Mohammad Nawaz,PD Salt,1,0,1,8,1,1,4,-,1,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
4,PD Salt,Mohammad Nawaz,AD Hales,4,0,4,12,10,4,5,-,1,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
5,PD Salt,Mohammad Nawaz,AD Hales,1,0,1,13,11,5,6,-,1,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
6,PD Salt,Mohammad Hasnain,AD Hales,4,0,4,17,15,6,1,-,2,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
7,PD Salt,Mohammad Hasnain,AD Hales,0,0,0,17,15,7,2,-,2,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
8,PD Salt,Mohammad Hasnain,AD Hales,1,0,1,18,16,8,3,-,2,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
9,AD Hales,Mohammad Hasnain,PD Salt,1,0,1,19,2,2,4,-,2,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
10,PD Salt,Mohammad Hasnain,AD Hales,1,0,1,20,17,9,5,-,2,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
11,AD Hales,Mohammad Hasnain,PD Salt,0,0,0,20,2,3,6,-,2,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
12,PD Salt,Mohammad Wasim,AD Hales,1,0,1,21,18,10,1,-,3,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
13,AD Hales,Mohammad Wasim,PD Salt,0,0,0,21,2,4,2,-,3,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
14,AD Hales,Mohammad Wasim,PD Salt,2,0,2,23,4,5,3,-,3,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
15,AD Hales,Mohammad Wasim,PD Salt,4,0,4,27,8,6,4,-,3,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
16,AD Hales,Mohammad Wasim,PD Salt,4,0,4,31,12,7,5,-,3,0,,,,field,Pakistan,1,"Gaddafi Stadium, Lahore",2022-10-02,England,England,Pakistan
