,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Mohammad Rizwan,B Kumar,Babar Azam,4,0,4,4,4,1,1,1,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
1,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,4,4,2,2,1,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
2,Mohammad Rizwan,B Kumar,Babar Azam,1,0,1,5,5,3,3,1,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
3,Babar Azam,B Kumar,Mohammad Rizwan,0,0,0,5,0,1,4,1,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
4,Babar Azam,B Kumar,Mohammad Rizwan,4,0,4,9,4,2,5,1,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
5,Babar Azam,B Kumar,Mohammad Rizwan,0,0,0,9,4,3,6,1,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
6,Mohammad Rizwan,Arshdeep Singh,Babar Azam,0,0,0,9,5,4,1,2,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
7,Mohammad Rizwan,Arshdeep Singh,Babar Azam,0,0,0,9,5,5,2,2,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
8,Mohammad Rizwan,Arshdeep Singh,Babar Azam,1,0,1,10,6,6,3,2,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
9,Babar Azam,Arshdeep Singh,Mohammad Rizwan,1,0,1,11,5,4,4,2,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
10,Mohammad Rizwan,Arshdeep Singh,Babar Azam,0,0,0,11,6,7,5,2,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
11,Mohammad Rizwan,Arshdeep Singh,Babar Azam,0,0,0,11,6,8,6,2,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
12,Babar Azam,B Kumar,Mohammad Rizwan,1,0,1,12,6,5,1,3,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
13,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,12,6,9,2,3,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
14,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,12,6,10,3,3,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
15,Mohammad Rizwan,B Kumar,Babar Azam,1,0,1,13,7,11,4,3,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
16,Babar Azam,B Kumar,Mohammad Rizwan,2,0,2,15,8,6,5,3,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
17,Babar Azam,B Kumar,Mohammad Rizwan,4,0,4,19,12,7,6,3,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
18,Mohammad Rizwan,Ravi Bishnoi,Babar Azam,1,0,1,20,8,12,1,4,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
19,Babar Azam,Ravi Bishnoi,Mohammad Rizwan,2,0,2,22,14,8,2,4,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
20,Babar Azam,Ravi Bishnoi,Mohammad Rizwan,0,0,0,22,14,9,3,4,0,,,-,,field,Pakistan,2,Dubai International Cricket Stadium,2022-09-04,Pakistan,Pakistan,India
