,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Q de Kock,DL Chahar,T Bavuma,0,0,0,0,,0,1,0,-,1.0,0,,,0,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
1,Q de Kock,DL Chahar,T Bavuma,1,0,1,1,,1,2,0,-,2.0,0,,,0,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
2,T Bavuma,DL Chahar,Q de Kock,0,0,0,1,,0,1,0,-,3.0,0,,,0,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
3,T Bavuma,DL Chahar,Q de Kock,0,0,0,1,,0,2,0,-,4.0,0,,,0,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
4,T Bavuma,DL Chahar,Q de Kock,0,0,0,1,,0,3,0,-,5.0,0,,,0,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
5,T Bavuma,DL Chahar,Q de Kock,0,0,0,1,,0,4,1,-,6.0,bowled,T Bavuma,,0,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
6,Q de Kock,Arshdeep Singh,RR Rossouw,0,0,0,1,,1,3,1,-,1.0,0,,,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
7,Q de Kock,Arshdeep Singh,RR Rossouw,0,0,0,1,,1,4,2,-,2.0,bowled,Q de Kock,,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
8,AK Markram,Arshdeep Singh,RR Rossouw,0,0,0,1,,0,1,2,-,3.0,0,,,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
9,AK Markram,Arshdeep Singh,RR Rossouw,4,0,4,5,,4,2,2,-,4.0,0,,,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
10,AK Markram,Arshdeep Singh,RR Rossouw,0,1,1,6,,4,3,2,wides,4.0,0,,,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
11,AK Markram,Arshdeep Singh,RR Rossouw,0,2,2,8,,4,4,2,wides,4.0,0,,,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
12,RR Rossouw,Arshdeep Singh,AK Markram,0,0,0,8,,0,1,3,-,5.0,caught,RR Rossouw,RR Pant,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
13,DA Miller,Arshdeep Singh,AK Markram,0,0,0,8,,0,1,4,-,6.0,bowled,DA Miller,,1,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
14,AK Markram,DL Chahar,T Stubbs,0,0,0,8,,4,5,4,-,1.0,0,,,2,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
15,AK Markram,DL Chahar,T Stubbs,1,0,1,9,,5,6,4,-,2.0,0,,,2,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
16,T Stubbs,DL Chahar,AK Markram,0,0,0,9,,0,1,5,-,3.0,caught,T Stubbs,Arshdeep Singh,2,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
17,AK Markram,DL Chahar,WD Parnell,4,0,4,13,,9,7,5,-,4.0,0,,,2,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
18,AK Markram,DL Chahar,WD Parnell,1,0,1,14,,10,8,5,-,5.0,0,,,2,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
19,WD Parnell,DL Chahar,AK Markram,0,0,0,14,,0,1,5,-,6.0,0,,,2,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
20,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,14,,10,9,5,-,1.0,0,,,3,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
21,AK Markram,Arshdeep Singh,WD Parnell,4,0,4,18,,14,10,5,-,2.0,0,,,3,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
22,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,18,,14,11,5,-,3.0,0,,,3,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
23,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,18,,14,12,5,-,4.0,0,,,3,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
24,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,18,,14,13,5,-,5.0,0,,,3,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
25,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,18,,14,14,5,-,6.0,0,,,3,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
26,WD Parnell,DL Chahar,AK Markram,2,0,2,20,,2,2,5,-,1.0,0,,,4,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
27,WD Parnell,DL Chahar,AK Markram,0,0,0,20,,2,3,5,-,2.0,0,,,4,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
28,WD Parnell,DL Chahar,AK Markram,0,0,0,20,,2,4,5,-,3.0,0,,,4,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
29,WD Parnell,DL Chahar,AK Markram,0,0,0,20,,2,5,5,-,4.0,0,,,4,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
30,WD Parnell,DL Chahar,AK Markram,0,0,0,20,,2,6,5,-,5.0,0,,,4,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
31,WD Parnell,DL Chahar,AK Markram,6,0,6,26,,8,7,5,-,6.0,0,,,4,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
32,AK Markram,Arshdeep Singh,WD Parnell,3,0,3,29,,17,15,5,-,1.0,0,,,5,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
33,WD Parnell,Arshdeep Singh,AK Markram,1,0,1,30,,9,8,5,-,2.0,0,,,5,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
34,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,30,,17,16,5,-,3.0,0,,,5,"{'by': 'India', 'umpire': 'Nitin Menon', 'batter': 'AK Markram', 'decision': 'struck down'}",field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
35,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,30,,17,17,5,-,4.0,0,,,5,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
36,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,30,,17,18,5,-,5.0,0,,,5,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
37,AK Markram,Arshdeep Singh,WD Parnell,0,0,0,30,,17,19,5,-,6.0,0,,,5,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
38,WD Parnell,R Ashwin,AK Markram,1,0,1,31,,10,9,5,-,1.0,0,,,6,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
39,AK Markram,R Ashwin,WD Parnell,1,0,1,32,,18,20,5,-,2.0,0,,,6,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
40,WD Parnell,R Ashwin,AK Markram,1,0,1,33,,11,10,5,-,3.0,0,,,6,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
41,AK Markram,R Ashwin,WD Parnell,1,0,1,34,,19,21,5,-,4.0,0,,,6,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
42,WD Parnell,R Ashwin,AK Markram,0,0,0,34,,11,11,5,-,5.0,0,,,6,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
43,WD Parnell,R Ashwin,AK Markram,1,0,1,35,,12,12,5,-,6.0,0,,,6,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
44,WD Parnell,HV Patel,AK Markram,1,0,1,36,,13,13,5,-,1.0,0,,,7,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
45,AK Markram,HV Patel,WD Parnell,0,0,0,36,,19,22,5,-,2.0,0,,,7,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
46,AK Markram,HV Patel,WD Parnell,0,0,0,36,,19,23,5,-,3.0,0,,,7,,field,India,1,"Greenfield International Stadium, Thiruvananthapuram",2022,09,South Africa_India_2022-09-28,India,South Africa,India,False,106
