,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,FH Allen,SM Curran,TL Seifert,4,0,4,4,171,4,1,0,1,1,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
1,FH Allen,SM Curran,TL Seifert,3,0,3,7,168,7,2,0,2,1,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
2,TL Seifert,SM Curran,FH Allen,0,0,0,7,168,0,1,0,3,1,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
3,TL Seifert,SM Curran,FH Allen,4,0,4,11,164,4,2,0,4,1,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
4,TL Seifert,SM Curran,FH Allen,0,0,0,11,164,4,3,0,5,1,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
5,TL Seifert,SM Curran,FH Allen,0,0,0,11,164,4,4,0,6,1,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
6,FH Allen,L Wood,TL Seifert,4,0,4,15,160,11,3,0,1,2,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
7,FH Allen,L Wood,TL Seifert,0,1,1,16,159,11,4,0,2,2,wides,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
8,FH Allen,L Wood,TL Seifert,4,0,4,20,155,15,5,0,3,2,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
9,FH Allen,L Wood,TL Seifert,1,0,1,21,154,16,6,0,4,2,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
10,TL Seifert,L Wood,FH Allen,1,0,1,22,153,5,5,0,5,2,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
11,FH Allen,L Wood,TL Seifert,0,0,0,22,153,16,7,1,6,2,-,bowled,FH Allen,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
12,DJ Mitchell,L Wood,TL Seifert,2,0,2,24,151,2,1,1,7,2,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
13,TL Seifert,BA Carse,DJ Mitchell,0,0,0,24,151,5,6,1,1,3,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
14,TL Seifert,BA Carse,DJ Mitchell,6,0,6,30,145,11,7,1,2,3,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
15,TL Seifert,BA Carse,DJ Mitchell,0,0,0,30,145,11,8,1,3,3,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
16,TL Seifert,BA Carse,DJ Mitchell,0,0,0,30,145,11,9,1,4,3,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
17,TL Seifert,BA Carse,DJ Mitchell,4,0,4,34,141,15,10,1,5,3,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
18,TL Seifert,BA Carse,DJ Mitchell,1,0,1,35,140,16,11,1,6,3,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
19,TL Seifert,L Wood,DJ Mitchell,1,0,1,36,139,17,12,1,1,4,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
20,DJ Mitchell,L Wood,TL Seifert,6,0,6,42,133,8,2,1,2,4,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
21,DJ Mitchell,L Wood,TL Seifert,1,0,1,43,132,9,3,1,3,4,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
22,TL Seifert,L Wood,DJ Mitchell,4,0,4,47,128,21,13,1,4,4,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
23,TL Seifert,L Wood,DJ Mitchell,1,0,1,48,127,22,14,1,5,4,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
24,DJ Mitchell,L Wood,TL Seifert,2,0,2,50,125,11,4,1,6,4,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
25,TL Seifert,AU Rashid,DJ Mitchell,0,0,0,50,125,22,15,1,1,5,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
26,TL Seifert,AU Rashid,DJ Mitchell,4,0,4,54,121,26,16,1,2,5,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
27,TL Seifert,AU Rashid,DJ Mitchell,0,0,0,54,121,26,17,1,3,5,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
28,TL Seifert,AU Rashid,DJ Mitchell,6,0,6,60,115,32,18,1,4,5,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
29,TL Seifert,AU Rashid,DJ Mitchell,4,0,4,64,111,36,19,1,5,5,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
30,TL Seifert,AU Rashid,DJ Mitchell,0,1,1,65,110,36,20,1,6,5,legbyes,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
31,TL Seifert,SM Curran,DJ Mitchell,0,0,0,65,110,36,21,1,1,6,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
32,TL Seifert,SM Curran,DJ Mitchell,1,0,1,66,109,37,22,1,2,6,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
33,DJ Mitchell,SM Curran,TL Seifert,1,0,1,67,108,12,5,1,3,6,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
34,TL Seifert,SM Curran,DJ Mitchell,1,0,1,68,107,38,23,1,4,6,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
35,DJ Mitchell,SM Curran,TL Seifert,1,0,1,69,106,13,6,1,5,6,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
36,TL Seifert,SM Curran,DJ Mitchell,4,0,4,73,102,42,24,1,6,6,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
37,DJ Mitchell,Rehan Ahmed,TL Seifert,1,0,1,74,101,14,7,1,1,7,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
38,TL Seifert,Rehan Ahmed,DJ Mitchell,1,0,1,75,100,43,25,2,2,7,-,run out,DJ Mitchell,Rehan Ahmed;L Wood,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
39,TL Seifert,Rehan Ahmed,GD Phillips,1,0,1,76,99,44,26,2,3,7,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
40,GD Phillips,Rehan Ahmed,TL Seifert,0,0,0,76,99,0,1,2,4,7,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
41,GD Phillips,Rehan Ahmed,TL Seifert,1,0,1,77,98,1,2,2,5,7,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
42,TL Seifert,Rehan Ahmed,GD Phillips,1,0,1,78,97,45,27,2,6,7,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
43,TL Seifert,AU Rashid,GD Phillips,1,0,1,79,96,46,28,2,1,8,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
44,GD Phillips,AU Rashid,TL Seifert,1,0,1,80,95,2,3,2,2,8,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
45,TL Seifert,AU Rashid,GD Phillips,0,0,0,80,95,46,29,2,3,8,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
46,TL Seifert,AU Rashid,GD Phillips,1,0,1,81,94,47,30,2,4,8,-,0,,,bat,England,2,"Trent Bridge, Nottingham",2023,09,England_New Zealand_2023-09-05,New Zealand,New Zealand,England,179
