,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,BA King,BC Fortuin,KR Mayers,4,0,4,4,127,4,1,0,1,0,,,1,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
1,BA King,BC Fortuin,KR Mayers,6,0,6,10,121,10,2,0,2,0,,,1,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
2,BA King,BC Fortuin,KR Mayers,1,0,1,11,120,11,3,0,3,0,,,1,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
3,KR Mayers,BC Fortuin,BA King,6,0,6,17,114,6,1,0,4,0,,,1,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
4,KR Mayers,BC Fortuin,BA King,0,0,0,17,114,6,2,1,5,caught,KR Mayers,Q de Kock,1,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
5,J Charles,BC Fortuin,BA King,0,0,0,17,114,0,1,1,6,0,,,1,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
6,BA King,WD Parnell,J Charles,6,0,6,23,108,17,4,1,1,0,,,2,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
7,BA King,WD Parnell,J Charles,4,0,4,27,104,21,5,1,2,0,,,2,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
8,BA King,WD Parnell,J Charles,1,0,1,28,103,22,6,1,3,0,,,2,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
9,J Charles,WD Parnell,BA King,1,0,1,29,102,1,2,1,4,0,,,2,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
10,BA King,WD Parnell,J Charles,1,0,1,30,101,23,7,1,5,0,,,2,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
11,J Charles,WD Parnell,BA King,4,0,4,34,97,5,3,1,6,0,,,2,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
12,BA King,SSB Magala,J Charles,0,0,0,34,97,23,8,2,1,bowled,BA King,,3,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
13,N Pooran,SSB Magala,J Charles,4,0,4,38,93,4,1,2,2,0,,,3,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
14,N Pooran,SSB Magala,J Charles,1,0,1,39,92,5,2,2,3,0,,,3,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
15,J Charles,SSB Magala,N Pooran,1,0,1,40,91,6,4,2,4,0,,,3,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
16,N Pooran,SSB Magala,J Charles,4,0,4,44,87,9,3,2,5,0,,,3,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
17,N Pooran,SSB Magala,J Charles,2,0,2,46,85,11,4,2,6,0,,,3,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
18,J Charles,T Shamsi,N Pooran,6,0,6,52,79,12,5,2,1,0,,,4,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
19,J Charles,T Shamsi,N Pooran,0,0,0,52,79,12,6,2,2,0,,,4,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
20,J Charles,T Shamsi,N Pooran,6,0,6,58,73,18,7,2,3,0,,,4,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
21,J Charles,T Shamsi,N Pooran,2,0,2,60,71,20,8,2,4,0,,,4,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
22,J Charles,T Shamsi,N Pooran,1,0,1,61,70,21,9,2,5,0,,,4,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
23,N Pooran,T Shamsi,J Charles,1,0,1,62,69,12,5,2,6,0,,,4,-,,field,West Indies,2,"SuperSport Park, Centurion",2023,03,South Africa_West Indies_2023-03-25,West Indies,West Indies,South Africa
