,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,BA King,WD Parnell,KR Mayers,1,0,1,1,,1,1,0,-,1.0,0,,,0,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
1,KR Mayers,WD Parnell,BA King,1,0,1,2,,1,1,0,-,2.0,0,,,0,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
2,BA King,WD Parnell,KR Mayers,0,0,0,2,,1,2,1,-,3.0,caught,BA King,RR Hendricks,0,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
3,J Charles,WD Parnell,KR Mayers,0,0,0,2,,0,1,1,-,4.0,0,,,0,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
4,J Charles,WD Parnell,KR Mayers,4,0,4,6,,4,2,1,-,5.0,0,,,0,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
5,J Charles,WD Parnell,KR Mayers,4,0,4,10,,8,3,1,-,6.0,0,,,0,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
6,KR Mayers,AK Markram,J Charles,0,0,0,10,,1,2,1,-,1.0,0,,,1,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
7,KR Mayers,AK Markram,J Charles,0,0,0,10,,1,3,1,-,2.0,0,,,1,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
8,KR Mayers,AK Markram,J Charles,0,0,0,10,,1,4,1,-,3.0,0,,,1,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
9,KR Mayers,AK Markram,J Charles,0,0,0,10,,1,5,1,-,4.0,0,,,1,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
10,KR Mayers,AK Markram,J Charles,1,0,1,11,,2,6,1,-,5.0,0,,,1,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
11,J Charles,AK Markram,KR Mayers,0,0,0,11,,8,4,1,-,6.0,0,,,1,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
12,KR Mayers,WD Parnell,J Charles,4,0,4,15,,6,7,1,-,1.0,0,,,2,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
13,KR Mayers,WD Parnell,J Charles,1,0,1,16,,7,8,1,-,2.0,0,,,2,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
14,J Charles,WD Parnell,KR Mayers,4,0,4,20,,12,5,1,-,3.0,0,,,2,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
15,J Charles,WD Parnell,KR Mayers,2,0,2,22,,14,6,1,-,4.0,0,,,2,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
16,J Charles,WD Parnell,KR Mayers,4,0,4,26,,18,7,1,-,5.0,0,,,2,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
17,J Charles,WD Parnell,KR Mayers,0,1,1,27,,18,8,1,wides,5.0,0,,,2,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
18,J Charles,WD Parnell,KR Mayers,1,0,1,28,,19,9,1,-,6.0,0,,,2,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
19,J Charles,K Rabada,KR Mayers,4,0,4,32,,23,10,1,-,1.0,0,,,3,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
20,J Charles,K Rabada,KR Mayers,0,0,0,32,,23,11,1,-,2.0,0,,,3,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
21,J Charles,K Rabada,KR Mayers,0,0,0,32,,23,12,1,-,3.0,0,,,3,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
22,J Charles,K Rabada,KR Mayers,0,0,0,32,,23,13,1,-,4.0,0,,,3,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
23,J Charles,K Rabada,KR Mayers,1,0,1,33,,24,14,1,-,5.0,0,,,3,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
24,KR Mayers,K Rabada,J Charles,0,0,0,33,,7,9,1,-,6.0,0,,,3,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
25,J Charles,M Jansen,KR Mayers,6,0,6,39,,30,15,1,-,1.0,0,,,4,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
26,J Charles,M Jansen,KR Mayers,4,0,4,43,,34,16,1,-,2.0,0,,,4,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
27,J Charles,M Jansen,KR Mayers,0,0,0,43,,34,17,1,-,3.0,0,,,4,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
28,J Charles,M Jansen,KR Mayers,6,0,6,49,,40,18,1,-,4.0,0,,,4,field,South Africa,1,"SuperSport Park, Centurion",2023,03,West Indies_South Africa_2023-03-26,South Africa,West Indies,South Africa,False,258
