,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,P Nissanka,HH Pandya,BKG Mendis,0,0,0,0,162,0,1,0,-,1.0,0,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,,Right hand Bat,Right arm Medium
1,P Nissanka,HH Pandya,BKG Mendis,0,1,1,1,161,0,2,0,wides,1.0,0,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,,Right hand Bat,Right arm Medium
2,P Nissanka,HH Pandya,BKG Mendis,1,0,1,2,160,1,3,0,-,2.0,0,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,,Right hand Bat,Right arm Medium
3,BKG Mendis,HH Pandya,P Nissanka,0,0,0,2,160,0,1,0,-,3.0,0,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Medium
4,BKG Mendis,HH Pandya,P Nissanka,0,0,0,2,160,0,2,0,-,4.0,0,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Medium
5,BKG Mendis,HH Pandya,P Nissanka,0,0,0,2,160,0,3,0,-,5.0,0,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Medium
6,BKG Mendis,HH Pandya,P Nissanka,1,0,1,3,159,1,4,0,-,6.0,0,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Medium
7,BKG Mendis,Shivam Mavi,P Nissanka,0,0,0,3,159,1,5,0,-,1.0,1,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Fast
8,BKG Mendis,Shivam Mavi,P Nissanka,4,0,4,7,155,5,6,0,-,2.0,1,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Fast
9,BKG Mendis,Shivam Mavi,P Nissanka,4,0,4,11,151,9,7,0,-,3.0,1,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Fast
10,BKG Mendis,Shivam Mavi,P Nissanka,1,0,1,12,150,10,8,0,-,4.0,1,0,,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,Right hand Bat,,Right arm Fast
11,P Nissanka,Shivam Mavi,BKG Mendis,0,0,0,12,150,1,4,1,-,5.0,1,bowled,P Nissanka,,,field,Sri Lanka,2,"Wankhede Stadium, Mumbai",2023,01,India_Sri Lanka_2023-01-03,India,Sri Lanka,India,False,160,,Right hand Bat,Right arm Fast
